t,capcost,fom,vom,cf_improvement
2010,4599.21325,22.99606625,0,1
2011,4271.573915,22.60496044,0,1
2012,3943.93458,22.21385463,0,1
2013,2737.239659,21.82274881,0,1
2014,2059.750689,21.431643,0,1
2015,2056.506584,21.04053719,0,1
2016,1790.754797,20.64943138,0,1
2017,1095.694323,19.86721975,0,1
2018,1099.66478,13.8028681,0,1
2019,948.5876334,11.3830516,0,1
2020,890.0130898,10.68015708,0,1
2021,856.7138355,10.28056603,0,1
2022,823.4145813,9.880974976,0,1
2023,790.1153271,9.481383925,0,1
2024,756.8160729,9.081792875,0,1
2025,723.5168187,8.682201824,0,1
2026,690.2175645,8.282610774,0,1
2027,656.9183103,7.883019723,0,1
2028,623.6190561,7.483428673,0,1
2029,590.3198018,7.083837622,0,1
2030,557.0205476,6.684246572,0,1
2031,541.0894722,6.493073667,0,1
2032,525.1583968,6.301900762,0,1
2033,509.2273215,6.110727858,0,1
2034,493.2962461,5.919554953,0,1
2035,477.3651707,5.728382048,0,1
2036,465.2770429,5.583324515,0,1
2037,453.1889152,5.438266982,0,1
2038,441.1007874,5.293209449,0,1
2039,429.0126596,5.148151915,0,1
2040,416.9245319,5.003094382,0,1
2041,409.5924298,4.915109157,0,1
2042,402.2603277,4.827123932,0,1
2043,394.9282256,4.739138707,0,1
2044,387.5961235,4.651153482,0,1
2045,380.2640214,4.563168256,0,1
2046,374.4410739,4.493292887,0,1
2047,368.6181265,4.423417518,0,1
2048,362.7951791,4.353542149,0,1
2049,356.9722317,4.28366678,0,1
2050,351.1492842,4.213791411,0,1
