r,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p1,6901362,7077311,5400381,5675570,6498672,4718140,2861235,4005729,6760220,132412,4742930,5043459,3244060,3244060,3244060,3244060,3244060,3244060,3244060,3244060,3244060,3163948,3083829,3003717,2923599,2843487,2763375,2683256,2603144,2523026,2442914,2442914,2442914,2442914,2442914,2442914,2442914,2442914,2442914,2442914,2442914
p3,3708505,4146466,3227762,3050237,3561792,2658527,3806672,2057244,4401147,65218,3504737,3540045,1597820,1597820,1597820,1597820,1597820,1597820,1597820,1597820,1597820,1558362,1518901,1479443,1439981,1400523,1361065,1321604,1282146,1242684,1203226,1203226,1203226,1203226,1203226,1203226,1203226,1203226,1203226,1203226,1203226
p18,153117,327010,281097,126129,178672,165660,1186716,41715,530386,0,578490,522697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p36,413910,321180,115440,335080,57810,13000,394130,563710,117700,394130,4630,17030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p37,147980,68675,259670,156075,255105,55000,0,0,370170,0,94130,1536400,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
p42,147980,68675,259670,156075,255105,55000,0,0,370170,0,94130,1536400,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
p103,1827500,887500,327500,302500,427270,250500,13490,12845,134865,441775,280680,260865,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445,3423445
p127,2653160,1033690,354890,480370,615618,339600,13490,74347,194453,667257,281284,263007,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445,3621445
p129,1676340,296810,55610,361130,382403,180900,0,124868,120982,457798,1226,4348,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000,402000
p134,192920,498860,187140,1343870,1878100,1207000,1297980,1621770,176140,3416400,70380,131240,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740,414740
