r,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p1,3780433.333,6635926.667,7376853.333,6579733.333,4930100,8261333.333,9146666.667,6928640,6930786.667,6820193.333,6573226.667,6405426.667,6112880,5778840,5718173.333,6671153.333,6975793.333,7211953.333,6854480,6849760,6727540,6644600,6597193.333,6541860,6488566.667,6444053.333,6433106.667,6449386.667,6474560,6510520,6531440,6531440,6531440,6531440,6531440,6531440,6531440,6531440,6531440,6531440,6531440
p3,2060576.667,3403563.333,3716146.667,3293313.333,2501230,4325333.333,4720666.667,3465546.667,3483666.667,3561936.667,3426773.333,3342873.333,3196600,3029580,2999246.667,3475736.667,3628056.667,3746136.667,3567400,3565040,3503930,3462460,3438756.667,3411090,3384443.333,3362186.667,3356713.333,3364853.333,3377440,3395420,3405880,3405880,3405880,3405880,3405880,3405880,3405880,3405880,3405880,3405880,3405880
p18,85180,42800,13860,1723.333333,18090,97333.33333,73666.66667,613.333333,9136.666667,75920,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080,70080
p36,125510,110250,68510,64200,35010,31000,382000,131760,125010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p37,4535680,4671905,4024145,4921560,4285630,4608500,4936000,6477905,5855585,5743660,7055325,7966435,7345155,7317975,7329720,6753475,6816700,7986575,8546105,9659520,10187965,10203640,10186675,10210915,10183915,10187670,10508075,10416595,10311300,10242120,10478050,10478050,10478050,10478050,10478050,10478050,10478050,10478050,10478050,10478050,10478050
p42,4535680,4671905,4024145,4921560,4285630,4608500,4936000,6477905,5855585,5743660,7055325,7966435,7345155,7317975,7329720,6753475,6816700,7986575,8546105,9659520,10187965,10203640,10186675,10210915,10183915,10187670,10508075,10416595,10311300,10242120,10478050,10478050,10478050,10478050,10478050,10478050,10478050,10478050,10478050,10478050,10478050
p103,5609000,5506500,6911500,4370000,8541460,10071000,10244000,8349210,6225355,4809830,4161355,3731645,1189215,693490,1682625,0,586210,1310400,3224400,2058625,3144250,1376745,3150720,3018605,3972205,3547440,3547440,3547440,3547440,3547440,3190335,3190335,3190335,3190335,3190335,3190335,3190335,3190335,3190335,3190335,3190335
p127,11277666.67,12132833.33,14924166.67,14217000,16403943.33,17915333.33,18757666.67,20320603.33,18522711.67,17172783.33,16573935,16260611.67,13224535,12282626.67,13743268.33,21295566.67,22649173.33,23317633.33,25208100,23515845,24763703.33,23198721.67,24604070,24112818.33,24739651.67,24041726.67,23765126.67,23570350,23513876.67,23460863.33,23079481.67,23079481.67,23079481.67,23079481.67,23079481.67,23079481.67,23079481.67,23079481.67,23079481.67,23079481.67,23079481.67
p129,11337333.33,13252666.67,16025333.33,19694000,15724966.67,15688666.67,17027333.33,23942786.67,24594713.33,24725906.67,24825160,25057933.33,24070640,23178273.33,24121286.67,21791133.33,23325926.67,23214466.67,23167400,22114440,22438906.67,22843953.33,22106700,21388426.67,20734893.33,20188573.33,19635373.33,19245820,19132873.33,19026846.67,18978293.33,18978293.33,18978293.33,18978293.33,18978293.33,18978293.33,18978293.33,18978293.33,18978293.33,18978293.33,18978293.33
p134,1040810,1088330,779820,4051480,2068640,1490000,1830000,2839540,2839540,1916340,1655440,1208320,1195520,1191870,1211810,1261980,1266510,877960,1191990,1195480,1436540,1449180,1449510,1455590,1462010,1472410,1491410,1599630,1680680,1663150,1533410,1533410,1533410,1533410,1533410,1533410,1533410,1533410,1533410,1533410,1533410
