r,rr,length_miles,USD2004perMW
p1,p2,132.46,123589.84
p1,p3,257.67,212899.52
p1,p4,164.16,145947.96
p1,p5,178.83,150564.05
p1,p6,451.94,368825.31
p1,p7,413.53,342695.45
p1,p8,544.29,449934.47
p1,p9,896.82,893087.12
p1,p10,1205.87,1059836.48
p1,p11,1409.17,1157753.07
p1,p12,715.94,589060.14
p1,p13,1061.48,778660.36
p1,p14,291.77,239608.76
p1,p15,460.51,375603.1
p1,p16,709.93,534124.58
p1,p17,444.89,384502.42
p1,p18,597.86,513983.51
p1,p19,823.11,662918.17
p1,p20,744.94,619211.24
p1,p21,927.43,717007.86
p1,p22,899.92,734129.18
p1,p23,943.21,765892.61
p1,p24,1112.75,836201.88
p1,p25,805.72,600513.55
p1,p26,946.16,718617.07
p1,p27,1208.61,888248.2
p1,p28,1349.5,985059.67
p1,p29,1261.26,951297.55
p1,p30,1472.97,1061998.88
p1,p31,1349.75,1012472.62
p1,p32,1051.01,808378.76
p1,p33,1203.72,900528.47
p1,p34,1280.57,953283.55
p1,p35,855.79,687558.64
p1,p36,1083.87,825991.75
p1,p37,1265.42,933110.18
p1,p38,1359.75,983613.27
p1,p39,1158.26,865407.39
p1,p40,1397.41,1009220.18
p1,p41,1464.9,1049602.71
p1,p42,1317.73,952168.15
p1,p43,1478.79,1055938.81
p1,p44,1378.16,993948.68
p1,p45,1476.65,1051527.39
p1,p46,1616.84,1138363.5
p1,p47,1537.7,1138577.44
p1,p48,1711.34,1192717.86
p1,p49,1501.67,1069418.53
p1,p50,1683.28,1177075.3
p1,p51,1710.86,1193958.61
p1,p52,1424.8,1025662.2
p1,p53,1588.93,1117026.27
p1,p54,1617.32,1143993.93
p1,p55,1779.72,1241173.2
p1,p56,1803.98,1247664.75
p1,p57,1983.24,1379247.28
p1,p58,2302.63,1565030.53
p1,p59,1588.05,1172875.51
p1,p60,1710.13,1238031.08
p1,p61,1756.29,1285871.14
p1,p62,1704.62,1237735.77
p1,p63,1891.32,1342693.2
p1,p64,1985.57,1485041.25
p1,p65,1985.62,1485342.06
p1,p66,2174.17,1503611.34
p1,p67,2149.16,1564789.89
p1,p68,1470.02,1046734.97
p1,p69,1600.59,1122140.25
p1,p70,1569.79,1106327.83
p1,p71,1670.36,1171656.36
p1,p72,1834.9,1272040.96
