r,rr,length_miles,USD2004perMW
p41065,p06037,846,919161.37
p06071,p49027,488,615130.6
p30087,p30017,10,92038.28
p31111,p31101,10,92038.28
p35005,p35027,10,92038.28
p35037,p35019,10,92038.28
p46019,p46003,10,92038.28
p08003,p20023,10,92038.28
p38003,p27001,10,92038.28
p40003,p48023,10,92038.28
p48037,p48001,10,92038.28
p06037,p41065,846,919161.37
p49027,p06071,488,615130.6
p30017,p30087,10,92038.28
p31101,p31111,10,92038.28
p35027,p35005,10,92038.28
p35019,p35037,10,92038.28
p46003,p46019,10,92038.28
p20023,p08003,10,92038.28
p27001,p38003,10,92038.28
p48023,p40003,10,92038.28
p48001,p48037,10,92038.28

