transmission_capacity_future_LCC_1000miles_demand1_wind1_subferc_20230629.csvr,rr,status,trtype,t,MW
p1,p9,Possible,LCC,0,100000
p1,p18,Possible,LCC,0,100000
p1,p25,Possible,LCC,0,100000
p5,p9,Possible,LCC,0,100000
p5,p13,Possible,LCC,0,100000
p5,p15,Possible,LCC,0,100000
p5,p18,Possible,LCC,0,100000
p5,p25,Possible,LCC,0,100000
p9,p13,Possible,LCC,0,100000
p9,p15,Possible,LCC,0,100000
p9,p25,Possible,LCC,0,100000
p9,p28,Possible,LCC,0,100000
p10,p25,Possible,LCC,0,100000
p10,p31,Possible,LCC,0,100000
p13,p18,Possible,LCC,0,100000
p13,p24,Possible,LCC,0,100000
p13,p31,Possible,LCC,0,100000
p13,p61,Possible,LCC,0,100000
p15,p24,Possible,LCC,0,100000
p15,p25,Possible,LCC,0,100000
p15,p31,Possible,LCC,0,100000
p18,p25,Possible,LCC,0,100000
p18,p33,Possible,LCC,0,100000
p18,p41,Possible,LCC,0,100000
p18,p43,Possible,LCC,0,100000
p24,p25,Possible,LCC,0,100000
p24,p28,Possible,LCC,0,100000
p24,p41,Possible,LCC,0,100000
p24,p43,Possible,LCC,0,100000
p24,p50,Possible,LCC,0,100000
p24,p63,Possible,LCC,0,100000
p24,p76,Possible,LCC,0,100000
p24,p80,Possible,LCC,0,100000
p25,p28,Possible,LCC,0,100000
p25,p31,Possible,LCC,0,100000
p25,p33,Possible,LCC,0,100000
p25,p37,Possible,LCC,0,100000
p25,p38,Possible,LCC,0,100000
p25,p41,Possible,LCC,0,100000
p25,p45,Possible,LCC,0,100000
p25,p50,Possible,LCC,0,100000
p25,p53,Possible,LCC,0,100000
p25,p54,Possible,LCC,0,100000
p25,p61,Possible,LCC,0,100000
p28,p53,Possible,LCC,0,100000
p28,p61,Possible,LCC,0,100000
p31,p33,Possible,LCC,0,100000
p31,p41,Possible,LCC,0,100000
p31,p50,Possible,LCC,0,100000
p31,p63,Possible,LCC,0,100000
p31,p87,Possible,LCC,0,100000
p33,p37,Possible,LCC,0,100000
p33,p38,Possible,LCC,0,100000
p33,p45,Possible,LCC,0,100000
p33,p53,Possible,LCC,0,100000
p33,p54,Possible,LCC,0,100000
p33,p61,Possible,LCC,0,100000
p33,p80,Possible,LCC,0,100000
p33,p81,Possible,LCC,0,100000
p33,p85,Possible,LCC,0,100000
p37,p41,Possible,LCC,0,100000
p37,p50,Possible,LCC,0,100000
p37,p80,Possible,LCC,0,100000
p37,p92,Possible,LCC,0,100000
