r,rr,status,trtype,t,MW
p49049,p49035,Certain,AC,2026,450 
p16053,p41037,Certain,AC,2026,400
p41037,p41031,Certain,AC,2030,1500
p53077,p53071,Certain,AC,2030,400
p53071,p41031,Certain,AC,2039,1500
