r,rr,USD2004perMW
p1,p2,123589.84
p1,p3,212899.52
p1,p4,145947.96
p1,p5,150564.05
p1,p6,368825.31
p1,p7,342695.45
p1,p8,449934.47
p1,p9,893087.12
p1,p10,1059836.48
p1,p11,1157753.07
p1,p12,589060.14
p1,p13,778660.36
p1,p14,239608.76
p1,p15,375603.1
p1,p16,534124.58
p1,p17,384502.42
p1,p18,513983.51
p1,p19,662918.17
p1,p20,619211.24
p1,p21,717007.86
p1,p22,734129.18
p1,p23,765892.61
p1,p24,836201.88
p1,p25,600513.55
p1,p26,718617.07
p1,p27,888248.2
p1,p28,985059.67
p1,p29,951297.55
p1,p30,1061998.88
p1,p31,1012472.62
p1,p32,808378.76
p1,p33,900528.47
p1,p34,953283.55
p1,p35,687558.64
p1,p36,825991.75
p1,p37,933110.18
p1,p38,983613.27
p1,p39,865407.39
p1,p40,1009220.18
p1,p41,1049602.71
p1,p42,952168.15
p1,p43,1055938.81
p1,p44,993948.68
p1,p45,1051527.39
p1,p46,1138363.5
p1,p47,1138577.44
p1,p48,1192717.86
p1,p49,1069418.53
p1,p50,1177075.3
p1,p51,1193958.61
p1,p52,1025662.2
p1,p53,1117026.27
p1,p54,1143993.93
p1,p55,1241173.2
p1,p56,1247664.75
p1,p57,1379247.28
p1,p58,1565030.53
p1,p59,1172875.51
p1,p60,1238031.08
p1,p61,1285871.14
p1,p62,1237735.77
p1,p63,1342693.2
p1,p64,1485041.25
p1,p65,1485342.06
p1,p66,1503611.34
p1,p67,1564789.89
p1,p68,1046734.97
p1,p69,1122140.25
p1,p70,1106327.83
p1,p71,1171656.36
p1,p72,1272040.96
p1,p73,1251215.24
p1,p74,1228147.41
p1,p75,1210811.34
p1,p76,1203227.77
p1,p77,1153141.9
p1,p78,1204586.95
p1,p79,1244130.48
p1,p80,1267161.0
p1,p81,1191986.67
p1,p82,1233806.52
p1,p83,1285337.65
p1,p84,1331387.49
p1,p85,1343756.58
p1,p86,1419532.81
p1,p87,1479035.1
p1,p88,1471724.43
p1,p89,1611087.14
p1,p90,1637965.1
p1,p91,1696560.88
p1,p92,1476648.52
p1,p93,1432546.29
p1,p94,1731521.67
p1,p95,1802200.82
p1,p96,2000992.38
p1,p97,1845214.03
p1,p98,1948228.59
p1,p99,2084143.16
p1,p100,2082491.7
p1,p101,2086168.72
p1,p102,2279133.96
p1,p103,1418233.22
p1,p104,1344996.23
