Voltage,Capacity,TEPPC,SCE,MISO,Southeast
kV,MW,USD2004perMWmile,USD2004perMWmile,USD2004perMWmile,USD2004perMWmile
69ACsingle,102,7137.35,11057.55,9105.22,5941.27
138ACsingle,205,4260.23,7523.91,5221.91,3553.52
230ACsingle,400,2922.49,5613.45,3135.59,2900.44
500ACsingle,1500,1506.22,2356.88,1375.20,2001.36
500DCbipole,3000,623.10,975.01,568.90,827.93
