*r,MW
p5,2780
p10,4700
p20,200
p24,310
p25,1920
p31,400
p32,200
p34,210
p35,200
p37,1500
p38,200
p39,310
p43,1500
p47,200
p48,200
p50,220
p52,210
p57,600
p60,220
p63,600
