r,rr,status,trtype,t,MW
p1,p10,Possible,LCC,0,100000
p1,p100,Possible,LCC,0,100000
p1,p101,Possible,LCC,0,100000
p1,p102,Possible,LCC,0,100000
p1,p103,Possible,LCC,0,100000
p1,p104,Possible,LCC,0,100000
p1,p105,Possible,LCC,0,100000
p1,p106,Possible,LCC,0,100000
p1,p107,Possible,LCC,0,100000
p1,p108,Possible,LCC,0,100000
p1,p109,Possible,LCC,0,100000
p1,p11,Possible,LCC,0,100000
p1,p110,Possible,LCC,0,100000
p1,p111,Possible,LCC,0,100000
p1,p112,Possible,LCC,0,100000
p1,p113,Possible,LCC,0,100000
p1,p114,Possible,LCC,0,100000
p1,p115,Possible,LCC,0,100000
p1,p116,Possible,LCC,0,100000
p1,p117,Possible,LCC,0,100000
p1,p118,Possible,LCC,0,100000
p1,p119,Possible,LCC,0,100000
p1,p12,Possible,LCC,0,100000
p1,p120,Possible,LCC,0,100000
p1,p121,Possible,LCC,0,100000
p1,p122,Possible,LCC,0,100000
p1,p123,Possible,LCC,0,100000
p1,p124,Possible,LCC,0,100000
p1,p125,Possible,LCC,0,100000
p1,p126,Possible,LCC,0,100000
p1,p127,Possible,LCC,0,100000
p1,p128,Possible,LCC,0,100000
p1,p129,Possible,LCC,0,100000
p1,p13,Possible,LCC,0,100000
p1,p130,Possible,LCC,0,100000
p1,p131,Possible,LCC,0,100000
p1,p132,Possible,LCC,0,100000
p1,p133,Possible,LCC,0,100000
p1,p134,Possible,LCC,0,100000
p1,p15,Possible,LCC,0,100000
p1,p16,Possible,LCC,0,100000
p1,p17,Possible,LCC,0,100000
p1,p18,Possible,LCC,0,100000
p1,p19,Possible,LCC,0,100000
p1,p20,Possible,LCC,0,100000
p1,p21,Possible,LCC,0,100000
p1,p22,Possible,LCC,0,100000
p1,p23,Possible,LCC,0,100000
p1,p24,Possible,LCC,0,100000
p1,p25,Possible,LCC,0,100000
p1,p26,Possible,LCC,0,100000
p1,p27,Possible,LCC,0,100000
p1,p28,Possible,LCC,0,100000
p1,p29,Possible,LCC,0,100000
p1,p3,Possible,LCC,0,100000
p1,p30,Possible,LCC,0,100000
p1,p31,Possible,LCC,0,100000
p1,p32,Possible,LCC,0,100000
p1,p33,Possible,LCC,0,100000
p1,p34,Possible,LCC,0,100000
p1,p35,Possible,LCC,0,100000
p1,p36,Possible,LCC,0,100000
p1,p37,Possible,LCC,0,100000
p1,p38,Possible,LCC,0,100000
p1,p39,Possible,LCC,0,100000
p1,p40,Possible,LCC,0,100000
p1,p41,Possible,LCC,0,100000
p1,p42,Possible,LCC,0,100000
p1,p43,Possible,LCC,0,100000
p1,p44,Possible,LCC,0,100000
p1,p45,Possible,LCC,0,100000
p1,p46,Possible,LCC,0,100000
p1,p47,Possible,LCC,0,100000
p1,p48,Possible,LCC,0,100000
p1,p49,Possible,LCC,0,100000
p1,p5,Possible,LCC,0,100000
p1,p50,Possible,LCC,0,100000
p1,p51,Possible,LCC,0,100000
p1,p52,Possible,LCC,0,100000
p1,p53,Possible,LCC,0,100000
p1,p54,Possible,LCC,0,100000
p1,p55,Possible,LCC,0,100000
p1,p56,Possible,LCC,0,100000
p1,p57,Possible,LCC,0,100000
p1,p58,Possible,LCC,0,100000
p1,p59,Possible,LCC,0,100000
p1,p6,Possible,LCC,0,100000
p1,p60,Possible,LCC,0,100000
p1,p61,Possible,LCC,0,100000
p1,p62,Possible,LCC,0,100000
p1,p63,Possible,LCC,0,100000
p1,p64,Possible,LCC,0,100000
p1,p65,Possible,LCC,0,100000
p1,p66,Possible,LCC,0,100000
p1,p67,Possible,LCC,0,100000
p1,p68,Possible,LCC,0,100000
p1,p69,Possible,LCC,0,100000
p1,p7,Possible,LCC,0,100000
p1,p70,Possible,LCC,0,100000
p1,p71,Possible,LCC,0,100000
p1,p72,Possible,LCC,0,100000
p1,p73,Possible,LCC,0,100000
p1,p74,Possible,LCC,0,100000
p1,p75,Possible,LCC,0,100000
p1,p76,Possible,LCC,0,100000
p1,p77,Possible,LCC,0,100000
p1,p78,Possible,LCC,0,100000
p1,p79,Possible,LCC,0,100000
p1,p8,Possible,LCC,0,100000
p1,p80,Possible,LCC,0,100000
p1,p81,Possible,LCC,0,100000
p1,p82,Possible,LCC,0,100000
p1,p83,Possible,LCC,0,100000
p1,p84,Possible,LCC,0,100000
p1,p85,Possible,LCC,0,100000
p1,p86,Possible,LCC,0,100000
p1,p87,Possible,LCC,0,100000
p1,p88,Possible,LCC,0,100000
p1,p89,Possible,LCC,0,100000
p1,p9,Possible,LCC,0,100000
p1,p90,Possible,LCC,0,100000
p1,p91,Possible,LCC,0,100000
p1,p92,Possible,LCC,0,100000
p1,p93,Possible,LCC,0,100000
p1,p94,Possible,LCC,0,100000
p1,p95,Possible,LCC,0,100000
p1,p96,Possible,LCC,0,100000
p1,p97,Possible,LCC,0,100000
p1,p98,Possible,LCC,0,100000
p1,p99,Possible,LCC,0,100000
p10,p100,Possible,LCC,0,100000
p10,p101,Possible,LCC,0,100000
p10,p102,Possible,LCC,0,100000
p10,p103,Possible,LCC,0,100000
p10,p104,Possible,LCC,0,100000
p10,p105,Possible,LCC,0,100000
p10,p106,Possible,LCC,0,100000
p10,p107,Possible,LCC,0,100000
p10,p108,Possible,LCC,0,100000
p10,p109,Possible,LCC,0,100000
p10,p110,Possible,LCC,0,100000
p10,p111,Possible,LCC,0,100000
p10,p112,Possible,LCC,0,100000
p10,p113,Possible,LCC,0,100000
p10,p114,Possible,LCC,0,100000
p10,p115,Possible,LCC,0,100000
p10,p116,Possible,LCC,0,100000
p10,p117,Possible,LCC,0,100000
p10,p118,Possible,LCC,0,100000
p10,p119,Possible,LCC,0,100000
p10,p120,Possible,LCC,0,100000
p10,p121,Possible,LCC,0,100000
p10,p122,Possible,LCC,0,100000
p10,p123,Possible,LCC,0,100000
p10,p124,Possible,LCC,0,100000
p10,p125,Possible,LCC,0,100000
p10,p126,Possible,LCC,0,100000
p10,p127,Possible,LCC,0,100000
p10,p128,Possible,LCC,0,100000
p10,p129,Possible,LCC,0,100000
p10,p130,Possible,LCC,0,100000
p10,p131,Possible,LCC,0,100000
p10,p132,Possible,LCC,0,100000
p10,p133,Possible,LCC,0,100000
p10,p134,Possible,LCC,0,100000
p10,p14,Possible,LCC,0,100000
p10,p15,Possible,LCC,0,100000
p10,p17,Possible,LCC,0,100000
p10,p18,Possible,LCC,0,100000
p10,p19,Possible,LCC,0,100000
p10,p20,Possible,LCC,0,100000
p10,p21,Possible,LCC,0,100000
p10,p22,Possible,LCC,0,100000
p10,p23,Possible,LCC,0,100000
p10,p24,Possible,LCC,0,100000
p10,p29,Possible,LCC,0,100000
p10,p30,Possible,LCC,0,100000
p10,p31,Possible,LCC,0,100000
p10,p32,Possible,LCC,0,100000
p10,p33,Possible,LCC,0,100000
p10,p34,Possible,LCC,0,100000
p10,p35,Possible,LCC,0,100000
p10,p36,Possible,LCC,0,100000
p10,p37,Possible,LCC,0,100000
p10,p38,Possible,LCC,0,100000
p10,p39,Possible,LCC,0,100000
p10,p40,Possible,LCC,0,100000
p10,p41,Possible,LCC,0,100000
p10,p42,Possible,LCC,0,100000
p10,p43,Possible,LCC,0,100000
p10,p44,Possible,LCC,0,100000
p10,p45,Possible,LCC,0,100000
p10,p46,Possible,LCC,0,100000
p10,p47,Possible,LCC,0,100000
p10,p48,Possible,LCC,0,100000
p10,p49,Possible,LCC,0,100000
p10,p50,Possible,LCC,0,100000
p10,p51,Possible,LCC,0,100000
p10,p52,Possible,LCC,0,100000
p10,p53,Possible,LCC,0,100000
p10,p54,Possible,LCC,0,100000
p10,p55,Possible,LCC,0,100000
p10,p56,Possible,LCC,0,100000
p10,p57,Possible,LCC,0,100000
