r,rr,AC,DC,Source,Project(s),Vintage
p1,p2,168,168,,DC: VSC macrogrid,
p1,p4,221,221,,DC: VSC macrogrid,
p2,p1,168,168,,DC: VSC macrogrid,
p2,p3,241,241,,DC: VSC macrogrid,
p2,p4,114,114,,DC: VSC macrogrid,
p2,p5,221,221,,DC: VSC macrogrid,
p2,p14,196,196,,DC: VSC macrogrid,
p3,p2,241,241,,DC: VSC macrogrid,
p3,p4,157,157,,DC: VSC macrogrid,
p3,p5,383,383,,DC: VSC macrogrid,
p3,p14,204,204,,DC: VSC macrogrid,
p3,p17,238,238,,DC: VSC macrogrid,
p4,p1,221,221,,DC: VSC macrogrid,
p4,p2,114,114,,DC: VSC macrogrid,
p4,p3,157,157,,DC: VSC macrogrid,
p5,p2,221,221,,DC: VSC macrogrid,
p5,p3,383,383,,DC: VSC macrogrid,
p5,p6,282,282,,DC: VSC macrogrid,
p5,p7,389,389,,DC: VSC macrogrid,
p5,p10,1079,846,ABB,Pacific DC Intertie,Existing
p5,p14,343,343,,DC: VSC macrogrid,
p5,p15,505,505,,DC: VSC macrogrid,
p6,p5,282,282,,DC: VSC macrogrid,
p6,p7,498,498,,DC: VSC macrogrid,
p6,p8,95,95,,DC: VSC macrogrid,
p6,p9,481,481,,DC: VSC macrogrid,
p7,p5,389,389,,DC: VSC macrogrid,
p7,p6,498,498,,DC: VSC macrogrid,
p7,p8,520,520,,DC: VSC macrogrid,
p7,p12,622,622,,DC: VSC macrogrid,
p7,p15,57,57,,DC: VSC macrogrid,
p8,p6,95,95,,DC: VSC macrogrid,
p8,p7,520,520,,DC: VSC macrogrid,
p8,p9,327,327,,DC: VSC macrogrid,
p8,p12,361,361,,DC: VSC macrogrid,
p9,p6,481,481,,DC: VSC macrogrid,
p9,p8,327,327,,DC: VSC macrogrid,
p9,p10,438,,,DC already in NARIS,
p9,p12,267,267,,DC: VSC macrogrid,
p10,p5,1079,846,ABB,Pacific DC Intertie,Existing
p10,p9,438,,,DC already in NARIS,
p10,p11,126,126,,DC: VSC macrogrid,
p10,p12,595,595,,DC: VSC macrogrid,
p10,p13,305,,,DC already in NARIS,
p10,p25,721,488,ABB,Intermountain Power Project (DC),Existing
p10,p27,323,323,,DC: VSC macrogrid,
p10,p28,422,,,DC already in NARIS,
p10,p31,,658,ABB,Centennial West Clean Line (DC),New
p11,p10,126,126,,DC: VSC macrogrid,
p12,p7,622,622,,DC: VSC macrogrid,
p12,p8,361,361,,DC: VSC macrogrid,
p12,p9,267,267,,DC: VSC macrogrid,
p12,p10,595,595,,DC: VSC macrogrid,
p12,p13,665,665,,DC: VSC macrogrid,
p12,p15,569,569,,DC: VSC macrogrid,
p12,p25,671,671,,DC: VSC macrogrid,
p13,p10,305,,,DC already in NARIS,
p13,p12,665,665,,DC: VSC macrogrid,
p13,p24,,844,ABB,Zephyr Power Transmission Project (AC),New
p13,p25,444,444,,DC: VSC macrogrid,
p13,p27,160,160,,DC: VSC macrogrid,
p13,p28,342,342,,DC: VSC macrogrid,
p14,p2,196,196,,DC: VSC macrogrid,
p14,p3,204,204,,DC: VSC macrogrid,
p14,p5,343,343,,DC: VSC macrogrid,
p14,p15,440,440,,DC: VSC macrogrid,
p14,p17,229,229,,DC: VSC macrogrid,
p15,p5,505,505,,DC: VSC macrogrid,
p15,p7,57,57,,DC: VSC macrogrid,
p15,p12,569,569,,DC: VSC macrogrid,
p15,p14,440,440,,DC: VSC macrogrid,
p15,p16,282,282,,DC: VSC macrogrid,
p15,p17,598,598,,DC: VSC macrogrid,
p15,p21,543,543,,DC: VSC macrogrid,
p15,p25,395,395,,DC: VSC macrogrid,
p16,p15,282,282,,DC: VSC macrogrid,
p16,p17,478,478,,DC: VSC macrogrid,
p16,p18,527,527,,DC: VSC macrogrid,
p16,p21,340,340,,DC: VSC macrogrid,
p16,p25,238,238,,DC: VSC macrogrid,
p17,p3,238,238,,DC: VSC macrogrid,
p17,p14,229,229,,DC: VSC macrogrid,
p17,p15,598,598,,DC: VSC macrogrid,
p17,p16,478,478,,DC: VSC macrogrid,
p17,p18,279,279,,DC: VSC macrogrid,
p17,p20,342,342,,DC: VSC macrogrid,
p18,p16,527,527,,DC: VSC macrogrid,
p18,p17,279,279,,DC: VSC macrogrid,
p18,p19,267,267,,DC: VSC macrogrid,
p18,p20,269,269,,DC: VSC macrogrid,
p18,p21,788,788,,DC: VSC macrogrid,
p18,p22,419,419,,DC: VSC macrogrid,
p19,p18,267,267,,DC: VSC macrogrid,
p20,p17,342,342,,DC: VSC macrogrid,
p20,p18,269,269,,DC: VSC macrogrid,
p20,p35,195,195,AC trace,Miles City Intertie (West-East),Existing
p21,p15,543,543,,DC: VSC macrogrid,
p21,p16,340,340,,DC: VSC macrogrid,
