r,rr,trtype,MW,Project(s),Notes
p41065,p06037,LCC,2780,Pacific DC Intertie,
p06071,p49027,LCC,1920,Intermountain Power Project (DC),
p30087,p30017,B2B,200,Miles City Intertie (West-East),
p31111,p31101,B2B,310,Virginia Smith Intertie and Segall Intertie (West-East),200 VS; 110 Segall
p35005,p35027,B2B,200,Artesia Intertie (West-ERCOT),
p35037,p35019,B2B,200,Blackwater Intertie (West-East),
p46019,p46003,B2B,200,Rapid City Intertie (West-East),
p08003,p20023,B2B,210,Lamar Intertie (West-East),
p38003,p27001,LCC,1500,CU HVDC and Square Butte (DC),
p40003,p48023,B2B,220,Oklaunion Intertie (ERCOT-East),
p48037,p48001,B2B,600,Welsh Intertie (ERCOT-East),
