r,rr,status,t,AC,DC
p2,p5,Certain,2012,1275,0
p2,p5,Certain,2015,1275,0
p5,p7,Certain,2020,1974,0
p5,p15,Possible,2026,1100,0
p7,p15,Certain,2020,1215,0
p10,p28,Possible,2023,970,0
p12,p13,Certain,2011,1262,0
p12,p13,Certain,2013,1262,0
p12,p15,Certain,2011,765,0
p15,p16,Possible,2024,1391,0
p16,p21,Possible,2024,1624,0
p21,p24,Possible,2024,3026,0
p21,p33,Possible,2024,1023,0
p25,p26,Possible,2024,2046,0
p26,p33,Possible,2024,1088,0
p28,p31,Possible,2025,3000,0
p36,p38,Certain,2019,464,0
p37,p43,Certain,2015,402,0
p38,p44,Certain,2015,490,0
p40,p53,Certain,2012,514,0
p41,p54,Certain,2017,665,0
p42,p43,Certain,2020,654,0
p43,p44,Certain,2015,615,0
p43,p46,Certain,2014,839,0
p45,p68,Certain,2016,704,0
p45,p69,Certain,2015,648,0
p46,p78,Certain,2018,549,0
p48,p50,Certain,2014,908,0
p49,p50,Certain,2014,460,0
p50,p51,Certain,2013,866,0
p60,p61,Certain,2012,493,0
p60,p63,Certain,2011,606,0
p60,p63,Certain,2013,1819,0
p61,p62,Certain,2010,1021,0
p61,p62,Certain,2013,1021,0
p61,p63,Certain,2010,387,0
p61,p63,Certain,2012,387,0
p61,p64,Certain,2013,418,0
p70,p71,Certain,2018,797,0
p71,p81,Certain,2018,736,0
p79,p80,Certain,2013,772,0
p81,p82,Certain,2018,1074,0
p82,p83,Certain,2018,1055,0
p83,p105,Certain,2020,710,0
p99,p100,Certain,2011,2706,0
p100,p116,Certain,2011,2308,0
p105,p107,Certain,2018,4385,0
p111,p115,Certain,2015,836,0
p115,p116,Certain,2011,2077,0
p122,p126,Certain,2015,2140,0
p131,p132,Certain,2013,1098,0
p131,p133,Certain,2015,1479,0
p132,p133,Certain,2015,1104,0
p1,p9,Certain,2026,0,2700
p9,p10,Certain,2026,0,2700
p10,p13,Certain,2026,0,2700
p13,p33,Certain,2026,0,2700
p33,p48,Certain,2026,0,2700
p33,p72,Certain,2026,0,2700
p10,p28,Certain,2026,0,2700
p28,p66,Certain,2026,0,2700
p66,p94,Certain,2026,0,2700
p94,p101,Certain,2026,0,2700
p66,p72,Certain,2026,0,2700
p70,p72,Certain,2026,0,2700
p43,p70,Certain,2026,0,2700
p35,p43,Certain,2026,0,2700
p1,p35,Certain,2026,0,2700
