r,rr,length_miles,USD2004perMW
p1,p2,132.46,298752.72
p1,p3,257.67,514640.29
p1,p4,164.16,352798.83
p1,p5,178.83,363957.28
p1,p6,451.94,891558.45
p1,p7,413.53,828394.95
p1,p8,544.29,1087622.97
p1,p9,896.82,2158852.27
p1,p10,1205.87,2561934.16
p1,p11,1409.17,2798627.17
p1,p12,715.94,1423930.33
p1,p13,1061.48,1882249.43
p1,p14,291.77,579204.33
p1,p15,460.51,907942.35
p1,p16,709.93,1291135.06
p1,p17,444.89,929454.62
p1,p18,597.86,1242448.22
p1,p19,823.11,1602466.76
p1,p20,744.94,1496814.37
p1,p21,927.43,1733217.33
p1,p22,899.92,1774604.57
p1,p23,943.21,1851386.07
p1,p24,1112.75,2021344.09
p1,p25,805.72,1451616.59
p1,p26,946.16,1737107.27
p1,p27,1208.61,2147155.23
p1,p28,1349.5,2381176.83
p1,p29,1261.26,2299563.93
p1,p30,1472.97,2567161.35
p1,p31,1349.75,2447441.92
p1,p32,1051.01,1954087.46
p1,p33,1203.72,2176840.24
p1,p34,1280.57,2304364.67
p1,p35,855.79,1662029.97
p1,p36,1083.87,1996663.18
p1,p37,1265.42,2255599.69
p1,p38,1359.75,2377680.41
p1,p39,1158.26,2091942.32
p1,p40,1397.41,2439579.78
p1,p41,1464.9,2537196.12
p1,p42,1317.73,2301668.37
p1,p43,1478.79,2552512.35
p1,p44,1378.16,2402664.11
p1,p45,1476.65,2541848.65
p1,p46,1616.84,2751756.86
p1,p47,1537.7,2752274.09
p1,p48,1711.34,2883147.25
p1,p49,1501.67,2585096.8
p1,p50,1683.28,2845334.62
p1,p51,1710.86,2886146.5
p1,p52,1424.8,2479324.97
p1,p53,1588.93,2700178.59
p1,p54,1617.32,2765367.24
p1,p55,1779.72,3000277.91
p1,p56,1803.98,3015969.91
p1,p57,1983.24,3334043.28
p1,p58,2302.63,3783135.63
p1,p59,1588.05,2835182.54
p1,p60,1710.13,2992682.57
p1,p61,1756.29,3108325.95
p1,p62,1704.62,2991968.71
p1,p63,1891.32,3245681.4
p1,p64,1985.57,3589778.21
p1,p65,1985.62,3590505.35
p1,p66,2174.17,3634667.5
p1,p67,2149.16,3782553.89
p1,p68,1470.02,2530263.98
p1,p69,1600.59,2712540.53
p1,p70,1569.79,2674317.29
p1,p71,1670.36,2832235.42
p1,p72,1834.9,3074894.28
p1,p73,1788.12,3024552.44
p1,p74,1716.51,2968790.77
p1,p75,1735.08,2926884.44
p1,p76,1725.57,2908552.72
p1,p77,1639.17,2787480.57
p1,p78,1721.61,2911838.26
p1,p79,1789.35,3007426.52
p1,p80,1845.08,3063098.01
p1,p81,1720.29,2881379.72
p1,p82,1789.67,2982470.5
p1,p83,1880.79,3107036.28
p1,p84,1906.06,3218352.15
p1,p85,1945.99,3248251.91
p1,p86,2053.26,3431425.17
p1,p87,2156.27,3575259.56
p1,p88,2109.04,3557587.48
p1,p89,2237.03,3894467.82
p1,p90,2331.32,3959439.73
p1,p91,2387.9,4101082.84
p1,p92,2107.62,3569490.45
p1,p93,2090.63,3462882.51
p1,p94,2366.41,4185593.23
p1,p95,2405.56,4356445.36
p1,p96,2603.75,4836982.56
p1,p97,2443.71,4460420.82
p1,p98,2541.9,4709437.07
p1,p99,2691.41,5037982.24
p1,p100,2498.9,5033990.26
p1,p101,2783.91,5042878.63
p1,p102,3004.5,5509331.93
p1,p103,2100.48,3428283.66
p1,p104,1974.48,3251248.47
p1,p105,1994.27,3317106.53
p1,p106,1991.2,3258115.84
p1,p107,1993.44,3274125.21
p1,p108,2021.82,3317479.27
p1,p109,2074.02,3448018.92
p1,p110,2277.94,3978097.5
p1,p111,2189.19,3740227.36
p1,p112,2136.63,3649445.69
p1,p113,2086.1,3505492.45
p1,p114,2101.07,3579317.8
p1,p115,2301.88,4186942.11
p1,p116,2245.43,4002511.63
p1,p117,2299.66,4182148.99
p1,p118,2461.94,4470139.06
p1,p119,2424.09,4687806.29
p1,p120,2462.1,4935478.22
p1,p121,2472.45,4947517.31
p1,p122,2594.67,5433338.58
p1,p123,2541.52,5236297.36
p1,p124,2732.76,5766093.51
p1,p125,2606.33,5438744.87
p1,p126,2620.07,5477816.31
p1,p127,2678.03,5304594.6
p1,p128,2713.68,5959577.98
p1,p129,2798.97,5674827.53
p1,p130,2817.52,6040714.79
p1,p131,2831.85,6115107.27
p1,p132,2806.61,5828615.28
p1,p133,2844.47,6076749.56
p1,p134,2923.81,6540702.79
p2,p1,132.46,298752.72
p2,p3,171.53,307052.59
p2,p4,72.57,140665.36
p2,p5,151.26,362424.96
p2,p6,395.66,774432.23
p2,p7,281.48,529713.95
p2,p8,460.52,864056.5
p2,p9,787.36,1868779.09
p2,p10,1045.93,2267698.7
p2,p11,1249.22,2504391.71
p2,p12,594.18,1133225.49
p2,p13,901.53,1588013.97
p2,p14,178.69,331157.98
p2,p15,328.45,609261.34
p2,p16,577.88,992454.05
p2,p17,342.7,708956.65
p2,p18,495.66,1021950.25
p2,p19,720.91,1381968.78
p2,p20,642.74,1276316.4
p2,p21,795.38,1434536.33
p2,p22,797.72,1554106.6
p2,p23,841.01,1630888.1
p2,p24,980.7,1722663.09
p2,p25,673.67,1152935.58
p2,p26,814.11,1438426.27
p2,p27,1048.66,1852919.77
p2,p28,1189.55,2086941.37
p2,p29,1129.21,2000882.93
p2,p30,1313.03,2272925.89
p2,p31,1217.7,2148760.91
p2,p32,948.82,1733589.49
p2,p33,1071.67,1878159.23
p2,p34,1148.52,2005683.67
p2,p35,753.6,1441531.99
p2,p36,981.68,1776165.21
p2,p37,1163.22,2035101.72
p2,p38,1257.56,2157182.44
p2,p39,1026.21,1793261.32
p2,p40,1311.48,2195019.43
p2,p41,1362.71,2316698.15
p2,p42,1215.54,2081170.4
p2,p43,1376.6,2332014.37
p2,p44,1275.96,2182166.14
p2,p45,1374.46,2321350.68
p2,p46,1514.65,2531258.89
p2,p47,1405.64,2453593.08
p2,p48,1579.29,2584466.25
p2,p49,1369.61,2286415.8
p2,p50,1551.23,2546653.62
p2,p51,1578.8,2587465.49
p2,p52,1292.75,2180643.96
p2,p53,1456.87,2401497.58
p2,p54,1553.54,2535853.27
p2,p55,1679.29,2714643.46
p2,p56,1671.92,2717288.91
p2,p57,1851.19,3035362.28
p2,p58,2170.58,3484454.62
p2,p59,1456.0,2536501.53
p2,p60,1578.08,2694001.57
p2,p61,1624.23,2809644.94
p2,p62,1572.57,2693287.71
p2,p63,1759.26,2947000.4
p2,p64,1853.52,3291097.2
p2,p65,1853.57,3291824.35
p2,p66,2042.12,3335986.49
p2,p67,2017.1,3483872.88
p2,p68,1367.82,2309766.0
p2,p69,1498.39,2492042.56
p2,p70,1467.59,2453819.32
p2,p71,1568.16,2611737.45
p2,p72,1732.7,2854396.31
p2,p73,1685.92,2804054.47
p2,p74,1614.31,2748292.8
p2,p75,1632.89,2706386.47
p2,p76,1623.37,2688054.75
p2,p77,1536.97,2566982.6
p2,p78,1619.41,2691340.28
p2,p79,1687.16,2786928.55
p2,p80,1742.88,2842600.03
p2,p81,1618.1,2660881.74
p2,p82,1687.48,2761972.53
p2,p83,1778.6,2886538.31
p2,p84,1843.96,2981044.43
p2,p85,1813.94,2949570.91
p2,p86,1921.2,3132744.16
p2,p87,2024.22,3276578.55
p2,p88,2024.58,3282573.83
p2,p89,2152.96,3619675.57
p2,p90,2199.26,3660758.73
p2,p91,2255.84,3802401.83
p2,p92,2005.42,3348992.48
p2,p93,1988.44,3242384.54
p2,p94,2274.29,3924862.92
p2,p95,2303.36,4135947.39
p2,p96,2553.56,4611698.1
p2,p97,2341.51,4239922.85
p2,p98,2439.71,4488939.1
p2,p99,2589.22,4817484.27
p2,p100,2396.71,4813492.29
p2,p101,2651.86,4744197.63
p2,p102,2872.44,5210650.93
p2,p103,1998.28,3207785.68
p2,p104,1872.29,3030750.5
p2,p105,1892.07,3096608.56
p2,p106,1889.01,3037617.86
p2,p107,1891.25,3053627.24
p2,p108,1919.63,3096981.3
p2,p109,1971.82,3227520.95
p2,p110,2175.74,3757599.53
p2,p111,2086.99,3519729.38
p2,p112,2034.44,3428947.72
p2,p113,1983.91,3284994.48
p2,p114,1998.88,3358819.83
p2,p115,2199.69,3966444.13
p2,p116,2143.24,3782013.66
p2,p117,2197.47,3961651.02
p2,p118,2359.74,4249641.09
p2,p119,2321.9,4467308.31
p2,p120,2359.9,4714980.25
p2,p121,2370.26,4727019.34
p2,p122,2492.47,5212840.61
p2,p123,2439.32,5015799.39
p2,p124,2630.56,5545595.54
p2,p125,2504.13,5218246.89
p2,p126,2517.88,5257318.34
p2,p127,2575.84,5084096.63
p2,p128,2611.49,5739080.01
p2,p129,2696.78,5454329.56
p2,p130,2715.33,5820216.82
p2,p131,2729.66,5894609.3
p2,p132,2704.42,5608117.31
p2,p133,2742.27,5856251.59
p2,p134,2821.61,6320204.81
p3,p1,257.67,514640.29
p3,p2,171.53,307052.59
p3,p4,98.27,168420.44
p3,p5,334.74,645044.75
p3,p6,537.03,991816.04
p3,p7,328.65,624501.14
p3,p8,601.89,1081440.32
p3,p9,928.73,2086162.91
p3,p10,1144.35,2417644.76
p3,p11,1345.92,2614387.92
p3,p12,700.98,1331761.13
p3,p13,1006.97,1717355.03
p3,p14,100.02,202686.99
p3,p15,375.63,704048.54
p3,p16,497.4,972522.67
p3,p17,193.29,439891.75
p3,p18,346.25,752885.34
p3,p19,571.5,1112903.88
p3,p20,493.33,1007251.49
p3,p21,673.8,1334801.85
p3,p22,648.31,1285041.7
p3,p23,691.6,1361823.19
p3,p24,892.08,1690895.51
p3,p25,720.84,1247722.78
p3,p26,780.04,1520955.27
p3,p27,1145.36,1962915.98
p3,p28,1286.24,2196937.58
p3,p29,1176.39,2095670.12
p3,p30,1409.72,2382922.09
p3,p31,1264.88,2243548.11
p3,p32,799.41,1464524.59
p3,p33,1000.32,1851971.66
p3,p34,1077.17,1979496.09
p3,p35,604.19,1172467.09
p3,p36,832.26,1507100.3
p3,p37,1013.81,1766036.82
p3,p38,1108.15,1888117.53
p3,p39,957.02,1690519.76
p3,p40,1145.8,1950016.9
p3,p41,1213.3,2047633.25
p3,p42,1066.13,1812105.49
p3,p43,1227.19,2062949.47
p3,p44,1126.55,1913101.23
p3,p45,1225.05,2052285.77
p3,p46,1365.24,2262193.99
p3,p47,1452.82,2548380.28
p3,p48,1574.41,2555450.77
p3,p49,1363.95,2251145.08
p3,p50,1545.39,2502338.54
p3,p51,1534.42,2500876.58
p3,p52,1286.89,2141575.95
p3,p53,1389.57,2294125.99
p3,p54,1365.72,2275804.36
p3,p55,1528.11,2510715.03
p3,p56,1589.82,2579458.9
p3,p57,1838.49,2976428.3
p3,p58,2157.88,3425520.65
p3,p59,1503.18,2631288.73
p3,p60,1678.36,2698754.92
p3,p61,1687.93,2875716.23
p3,p62,1619.63,2733683.22
p3,p63,1754.6,2904496.18
p3,p64,1915.94,3278631.53
p3,p65,1958.28,3305683.92
p3,p66,2029.42,3277052.52
p3,p67,2080.77,3437946.83
p3,p68,1218.41,2040701.1
p3,p69,1348.98,2222977.65
p3,p70,1318.18,2184754.42
p3,p71,1418.75,2342672.54
p3,p72,1583.29,2585331.4
p3,p73,1536.51,2534989.56
p3,p74,1464.9,2479227.89
p3,p75,1483.47,2437321.56
p3,p76,1473.96,2418989.85
p3,p77,1387.56,2297917.69
p3,p78,1470.0,2422275.38
p3,p79,1537.75,2517863.64
p3,p80,1593.47,2573535.13
p3,p81,1468.69,2391816.84
p3,p82,1538.07,2492907.62
p3,p83,1629.19,2617473.4
p3,p84,1654.45,2728789.27
p3,p85,1729.29,2811624.64
p3,p86,1887.09,3056889.08
p3,p87,1957.23,3146709.37
p3,p88,1857.43,3068024.6
p3,p89,1985.42,3404904.94
p3,p90,2142.78,3550943.65
p3,p91,2199.36,3692586.76
p3,p92,1856.01,3079927.57
p3,p93,1839.03,2973319.63
p3,p94,2114.81,3696030.35
p3,p95,2153.95,3866882.48
p3,p96,2352.14,4347419.68
p3,p97,2192.1,3970857.94
p3,p98,2290.29,4219874.19
p3,p99,2439.81,4548419.36
p3,p100,2247.3,4544427.38
p3,p101,2514.21,4559821.9
p3,p102,2734.8,5026275.2
p3,p103,1848.87,2938720.78
p3,p104,1722.88,2761685.59
p3,p105,1742.66,2827543.66
p3,p106,1739.6,2768552.96
p3,p107,1741.84,2784562.33
p3,p108,1770.22,2827916.39
p3,p109,1822.41,2958456.04
p3,p110,2026.33,3488534.62
p3,p111,1937.58,3250664.48
p3,p112,1885.03,3159882.82
p3,p113,1834.5,3015929.57
p3,p114,1849.47,3089754.92
p3,p115,2050.28,3697379.23
p3,p116,1993.83,3512948.76
p3,p117,2048.06,3692586.11
p3,p118,2210.33,3980576.18
p3,p119,2172.49,4198243.41
p3,p120,2210.49,4445915.34
p3,p121,2220.85,4457954.43
p3,p122,2343.06,4943775.7
p3,p123,2289.91,4746734.48
p3,p124,2481.15,5276530.63
p3,p125,2354.72,4949181.99
p3,p126,2368.47,4988253.43
p3,p127,2426.42,4815031.72
p3,p128,2462.08,5470015.1
p3,p129,2547.37,5185264.65
p3,p130,2565.92,5551151.92
p3,p131,2580.25,5625544.39
p3,p132,2555.01,5339052.4
p3,p133,2592.86,5587186.68
p3,p134,2672.2,6051139.91
p4,p1,164.16,352798.83
p4,p2,72.57,140665.36
p4,p3,98.27,168420.44
p4,p5,220.2,494136.91
p4,p6,461.37,869991.04
p4,p7,280.35,529491.98
p4,p8,526.23,959615.31
p4,p9,853.07,1964337.9
p4,p10,1096.05,2322635.61
p4,p11,1297.61,2519378.76
p4,p12,630.98,1215098.13
p4,p13,958.67,1622345.88
p4,p14,129.94,234223.59
p4,p15,327.32,609039.38
p4,p16,576.75,992232.09
p4,p17,283.35,579652.48
p4,p18,436.31,892646.07
p4,p19,661.56,1252664.61
p4,p20,583.39,1147012.22
p4,p21,794.25,1434314.36
p4,p22,738.37,1424802.43
p4,p23,781.66,1501583.92
p4,p24,979.57,1722441.12
p4,p25,672.54,1152713.62
p4,p26,812.98,1438204.3
p4,p27,1097.05,1867906.82
p4,p28,1237.94,2101928.42
p4,p29,1128.08,2000660.96
p4,p30,1361.42,2287912.94
p4,p31,1216.57,2148538.95
p4,p32,889.47,1604285.32
p4,p33,1070.54,1877937.27
p4,p34,1147.39,2005461.7
p4,p35,694.25,1312227.82
p4,p36,922.33,1646861.03
p4,p37,1103.87,1905797.55
p4,p38,1198.21,2027878.26
p4,p39,1025.08,1793039.36
p4,p40,1235.86,2089777.63
p4,p41,1303.36,2187393.98
p4,p42,1156.19,1951866.22
p4,p43,1317.25,2202710.2
p4,p44,1216.61,2052861.97
p4,p45,1315.11,2192046.5
p4,p46,1455.3,2401954.72
p4,p47,1404.52,2453371.12
p4,p48,1578.16,2584244.28
p4,p49,1368.48,2286193.83
p4,p50,1550.1,2546431.66
p4,p51,1577.68,2587243.53
p4,p52,1291.62,2180422.0
p4,p53,1455.74,2401275.62
p4,p54,1455.78,2415565.09
p4,p55,1618.17,2650475.76
p4,p56,1670.8,2717066.94
p4,p57,1850.06,3035140.31
p4,p58,2169.45,3484232.66
p4,p59,1454.87,2536279.57
p4,p60,1576.95,2693779.61
p4,p61,1623.1,2809422.98
p4,p62,1571.44,2693065.74
p4,p63,1758.14,2946778.44
p4,p64,1852.39,3290875.24
p4,p65,1852.44,3291602.38
p4,p66,2040.99,3335764.53
p4,p67,2015.97,3483650.92
p4,p68,1308.47,2180461.83
p4,p69,1439.04,2362738.38
p4,p70,1408.24,2324515.15
p4,p71,1508.81,2482433.27
p4,p72,1673.36,2725092.13
p4,p73,1626.58,2674750.29
p4,p74,1554.97,2618988.62
p4,p75,1573.54,2577082.29
p4,p76,1564.02,2558750.58
p4,p77,1477.62,2437678.42
p4,p78,1560.06,2562036.11
p4,p79,1627.81,2657624.37
p4,p80,1683.53,2713295.86
p4,p81,1558.75,2531577.57
p4,p82,1628.13,2632668.35
p4,p83,1719.25,2757234.13
p4,p84,1744.51,2868550.01
p4,p85,1812.81,2949348.95
p4,p86,1920.08,3132522.2
p4,p87,2023.09,3276356.59
p4,p88,1947.49,3207785.34
p4,p89,2075.48,3544665.67
p4,p90,2198.14,3660536.76
p4,p91,2254.72,3802179.87
p4,p92,1946.07,3219688.31
p4,p93,1929.09,3113080.36
p4,p94,2204.87,3835791.08
p4,p95,2244.01,4006643.21
p4,p96,2442.2,4487180.41
p4,p97,2282.16,4110618.67
p4,p98,2380.36,4359634.92
p4,p99,2529.87,4688180.1
p4,p100,2337.36,4684188.11
p4,p101,2604.27,4699582.63
p4,p102,2824.86,5166035.93
p4,p103,1938.93,3078481.51
p4,p104,1812.94,2901446.33
p4,p105,1832.73,2967304.39
p4,p106,1829.66,2908313.69
p4,p107,1831.9,2924323.07
p4,p108,1860.28,2967677.12
p4,p109,1912.47,3098216.77
p4,p110,2116.39,3628295.35
p4,p111,2027.65,3390425.21
p4,p112,1975.09,3299643.55
p4,p113,1924.56,3155690.3
p4,p114,1939.53,3229515.65
p4,p115,2140.34,3837139.96
p4,p116,2083.89,3652709.49
p4,p117,2138.12,3832346.84
p4,p118,2300.39,4120336.91
p4,p119,2262.55,4338004.14
p4,p120,2300.55,4585676.08
p4,p121,2310.91,4597715.16
p4,p122,2433.12,5083536.43
p4,p123,2379.97,4886495.21
p4,p124,2571.21,5416291.36
p4,p125,2444.78,5088942.72
p4,p126,2458.53,5128014.16
p4,p127,2516.49,4954792.46
p4,p128,2552.14,5609775.83
p4,p129,2637.43,5325025.38
p4,p130,2655.98,5690912.65
p4,p131,2670.31,5765305.12
p4,p132,2645.07,5478813.14
p4,p133,2682.92,5726947.42
p4,p134,2762.26,6190900.64
p5,p1,178.83,363957.28
p5,p2,151.26,362424.96
p5,p3,334.74,645044.75
p5,p4,220.2,494136.91
p5,p6,275.35,541268.76
p5,p7,320.04,716241.97
p5,p8,367.7,737333.28
p5,p9,720.23,1808562.58
p5,p10,1034.05,2221881.35
p5,p11,1237.35,2458574.36
p5,p12,544.12,1083877.52
p5,p13,889.66,1542196.62
p5,p14,299.23,607494.48
p5,p15,415.92,788230.05
p5,p16,652.62,1161883.57
p5,p17,464.65,1008580.26
p5,p18,617.61,1321573.86
p5,p19,842.86,1681592.4
p5,p20,764.69,1575940.01
p5,p21,870.12,1603965.84
p5,p22,966.77,1836229.0
p5,p23,1044.46,1914012.53
p5,p24,1055.44,1892092.6
p5,p25,714.85,1297258.61
p5,p26,864.58,1604968.54
p5,p27,1036.79,1807102.42
p5,p28,1177.68,2041124.02
p5,p29,1165.9,2124715.49
p5,p30,1301.15,2227108.54
p5,p31,1254.38,2272593.48
p5,p32,1070.77,2033213.1
p5,p33,1146.41,2047588.75
p5,p34,1223.26,2175113.18
p5,p35,875.54,1741155.61
p5,p36,1103.62,2075788.82
p5,p37,1285.17,2334725.33
p5,p38,1379.5,2456806.05
p5,p39,1100.95,1962690.83
p5,p40,1386.23,2364448.95
p5,p41,1495.71,2529570.24
p5,p42,1337.49,2380794.01
p5,p43,1498.54,2631637.99
p5,p44,1397.91,2481789.75
p5,p45,1525.44,2586859.32
p5,p46,1636.6,2830882.5
p5,p47,1442.33,2577425.65
p5,p48,1545.42,2723665.46
p5,p49,1444.35,2455845.31
p5,p50,1625.97,2716083.13
p5,p51,1653.54,2756895.01
p5,p52,1367.49,2350073.48
p5,p53,1531.61,2570927.1
p5,p54,1628.28,2705282.78
p5,p55,1754.03,2884072.97
p5,p56,1746.67,2886718.42
p5,p57,1925.93,3204791.79
p5,p58,2245.32,3653884.14
p5,p59,1552.43,2651971.62
p5,p60,1614.76,2817834.14
p5,p61,1660.92,2933477.51
p5,p62,1609.26,2817120.27
