r,rr,status,t,AC,DC,Project(s)
p2,p5,Certain,2012,1275.2,0,
p2,p5,Certain,2014,1275.2,0,
p2,p5,Possible,2018,1275.2,0,
p5,p7,Possible,2020,1974.17,0,
p5,p15,Possible,2019,1100.5,0,
p7,p15,Possible,2020,1215.04,0,
p9,p10,Possible,2020,1068.15,0,
p10,p13,Possible,2018,1808.6,0,
p10,p28,Possible,2017,970.09,0,
p10,p28,Possible,2020,3500,0,
p12,p13,Certain,2011,1261.57,0,
p12,p13,Certain,2013,1261.57,0,
p12,p15,Certain,2011,765.08,0,
p15,p16,Possible,2017,1391.25,0,
p15,p16,Possible,2019,1391.25,0,
p16,p17,Possible,2017,1166.89,0,
p16,p21,Possible,2019,1624.26,0,
p21,p24,Possible,2019,1513.07,0,
p21,p24,Possible,2020,1513.07,0,
p21,p33,Possible,2020,1023.21,0,
p25,p26,Possible,2020,2045.77,0,
p26,p33,Possible,2020,1088.46,0,
p28,p29,Possible,2019,1578.15,0,
p28,p31,Possible,2016,3000,,Sunzia Southwest (AC)
p36,p38,Possible,2019,463.76,0,
p37,p43,Certain,2015,402.13,0,
p38,p44,Certain,2015,489.88,0,
p40,p53,Certain,2012,513.75,0,
p41,p54,Possible,2017,664.65,0,
p42,p43,Possible,2020,654.39,0,
p43,p44,Certain,2015,615.11,0,
p43,p46,Certain,2014,839.45,0,
p45,p68,Possible,2016,704.32,0,
p45,p69,Possible,2015,647.91,0,
p46,p78,Possible,2018,548.55,0,
p48,p50,Certain,2014,454.22,0,
p48,p50,Possible,2014,454.22,0,
p49,p50,Certain,2014,459.92,0,
p50,p51,Certain,2013,866.04,0,
p60,p61,Certain,2012,492.55,0,
p60,p63,Certain,2011,606.46,0,
p60,p63,Certain,2013,1819.37,0,
p61,p62,Certain,2010,1021.48,0,
p61,p62,Certain,2013,1021.48,0,
p61,p63,Certain,2010,387.09,0,
p61,p63,Certain,2012,387.09,0,
p61,p64,Certain,2013,417.87,0,
p70,p71,Possible,2018,796.85,0,
p71,p81,Possible,2018,736.09,0,
p79,p80,Certain,2013,771.95,0,
p80,p105,Possible,2020,3381.9,0,
p81,p82,Possible,2018,1073.75,0,
p82,p83,Possible,2018,1054.97,0,
p83,p105,Possible,2019,710.49,0,
p99,p100,Certain,2011,2706.45,0,
p100,p116,Certain,2011,2308.31,0,
p105,p107,Possible,2018,5191.9,0,
p111,p112,Possible,2017,820.84,0,
p111,p115,Possible,2015,835.61,0,
p115,p116,Certain,2011,2076.82,0,
p122,p126,Certain,2015,2139.59,0,
p131,p132,Certain,2013,1097.53,0,
p131,p133,Possible,2015,1478.99,0,
p132,p133,Possible,2015,1103.71427,0,
p1,p61,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p2,p48,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p4,p39,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p4,p40,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p4,p53,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p5,p10,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p5,p31,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p5,p61,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p31,p48,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p38,p103,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p40,p103,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p45,p80,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p48,p63,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p48,p90,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p48,p105,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p49,p92,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p50,p60,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p53,p94,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p53,p109,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p53,p113,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p61,p94,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p63,p88,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p63,p101,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
p70,p101,Possible,2026,0,100000,combinatorial_3500MWcutoff_0
