*r,rr
p01001,p01021
p01001,p01047
p01001,p01051
p01001,p01085
p01001,p01101
p01003,p01025
p01003,p01053
p01003,p01097
p01003,p01099
p01003,p01129
p01003,p12033
p01005,p01011
p01005,p01045
p01005,p01067
p01005,p01109
p01005,p01113
p01005,p13061
p01005,p13239
p01005,p13259
p01007,p01021
p01007,p01065
p01007,p01073
p01007,p01105
p01007,p01117
p01007,p01125
p01009,p01043
p01009,p01055
p01009,p01073
p01009,p01095
p01009,p01115
p01009,p01127
p01011,p01005
p01011,p01087
p01011,p01101
p01011,p01109
p01011,p01113
p01013,p01035
p01013,p01039
p01013,p01041
p01013,p01085
p01013,p01099
p01013,p01131
p01015,p01019
p01015,p01029
p01015,p01055
p01015,p01115
p01015,p01121
p01017,p01081
p01017,p01111
p01017,p01123
p01017,p13145
p01017,p13285
p01019,p01015
p01019,p01029
p01019,p01049
p01019,p01055
p01019,p13055
p01019,p13115
p01019,p13233
p01021,p01001
p01021,p01007
p01021,p01037
p01021,p01047
p01021,p01051
p01021,p01105
p01021,p01117
p01023,p01025
p01023,p01091
p01023,p01119
p01023,p01129
p01023,p28023
p01023,p28075
p01023,p28153
p01025,p01003
p01025,p01023
p01025,p01091
p01025,p01099
p01025,p01129
p01025,p01131
p01027,p01029
p01027,p01037
p01027,p01111
p01027,p01121
p01027,p01123
p01029,p01015
p01029,p01019
p01029,p01027
p01029,p01111
p01029,p01121
p01029,p13045
p01029,p13143
p01029,p13233
p01031,p01039
p01031,p01041
p01031,p01045
p01031,p01061
p01031,p01109
p01033,p01059
p01033,p01077
p01033,p01079
p01033,p28141
p01035,p01013
p01035,p01039
p01035,p01053
p01035,p01099
p01037,p01021
p01037,p01027
p01037,p01051
p01037,p01117
p01037,p01121
p01037,p01123
p01039,p01013
p01039,p01031
p01039,p01035
p01039,p01041
p01039,p01053
p01039,p01061
p01039,p12091
p01039,p12131
p01041,p01013
p01041,p01031
p01041,p01039
p01041,p01085
p01041,p01101
p01041,p01109
p01043,p01009
p01043,p01079
p01043,p01095
p01043,p01103
p01043,p01127
p01043,p01133
p01045,p01005
p01045,p01031
p01045,p01061
p01045,p01067
p01045,p01069
p01045,p01109
