r,rr,status,trtype,t,MW
p1,p9,Certain,LCC,0,2700
p9,p10,Certain,LCC,0,2700
p10,p13,Certain,LCC,0,2700
p13,p33,Certain,LCC,0,2700
p33,p48,Certain,LCC,0,2700
p33,p72,Certain,LCC,0,2700
p10,p28,Certain,LCC,0,2700
p28,p66,Certain,LCC,0,2700
p66,p94,Certain,LCC,0,2700
p94,p101,Certain,LCC,0,2700
p66,p72,Certain,LCC,0,2700
p70,p72,Certain,LCC,0,2700
p43,p70,Certain,LCC,0,2700
p35,p43,Certain,LCC,0,2700
p1,p35,Certain,LCC,0,2700
