r,AC_voltage,multiplier,AC_base,DC_base,AC_final,DC_final
p1,500,1,1166.51,396.14,1166.51,396.14
p2,500,1,1166.51,396.14,1166.51,396.14
p3,500,1,1166.51,396.14,1166.51,396.14
p4,500,1,1166.51,396.14,1166.51,396.14
p5,500,1,1166.51,396.14,1166.51,396.14
p6,500,1,1166.51,396.14,1166.51,396.14
p7,500,1,1166.51,396.14,1166.51,396.14
p8,500,1,1166.51,396.14,1166.51,396.14
p9,500,2.15,1166.51,396.14,2507.99,851.7
p10,500,2.15,1166.51,396.14,2507.99,851.7
p11,500,2.15,1166.51,396.14,2507.99,851.7
p12,500,0.85,1166.51,396.14,991.53,336.72
p13,500,0.85,1166.51,396.14,991.53,336.72
p14,500,0.85,1166.51,396.14,991.53,336.72
p15,500,0.85,1166.51,396.14,991.53,336.72
p16,500,0.85,1166.51,396.14,991.53,336.72
p17,500,0.85,1166.51,396.14,991.53,336.72
p18,500,0.85,1166.51,396.14,991.53,336.72
p19,500,0.85,1166.51,396.14,991.53,336.72
p20,500,0.85,1166.51,396.14,991.53,336.72
p21,765,0.85,1213.17,396.14,1031.2,336.72
p22,765,0.85,1213.17,396.14,1031.2,336.72
p23,765,0.85,1213.17,396.14,1031.2,336.72
p24,765,0.85,1213.17,396.14,1031.2,336.72
p25,500,0.85,1166.51,396.14,991.53,336.72
p26,765,0.85,1213.17,396.14,1031.2,336.72
p27,500,0.85,1166.51,396.14,991.53,336.72
p28,500,0.85,1166.51,396.14,991.53,336.72
p29,500,0.85,1166.51,396.14,991.53,336.72
p30,500,0.85,1166.51,396.14,991.53,336.72
p31,500,0.85,1166.51,396.14,991.53,336.72
p32,765,0.85,1213.17,396.14,1031.2,336.72
p33,765,0.85,1213.17,396.14,1031.2,336.72
p34,765,0.85,1213.17,396.14,1031.2,336.72
p35,500,0.6,1166.51,396.14,699.9,237.68
p36,500,0.55,1166.51,396.14,641.58,217.88
p37,500,0.55,1166.51,396.14,641.58,217.88
p38,500,0.55,1166.51,396.14,641.58,217.88
p39,765,0.6,1213.17,396.14,727.9,237.68
p40,765,0.6,1213.17,396.14,727.9,237.68
p41,765,0.6,1213.17,396.14,727.9,237.68
p42,500,0.55,1166.51,396.14,641.58,217.88
p43,500,0.6,1166.51,396.14,699.9,237.68
p44,765,0.55,1213.17,396.14,667.24,217.88
p45,765,0.55,1213.17,396.14,667.24,217.88
p46,765,0.55,1213.17,396.14,667.24,217.88
p47,765,0.6,1213.17,396.14,727.9,237.68
p48,765,0.6,1213.17,396.14,727.9,237.68
p49,765,0.6,1213.17,396.14,727.9,237.68
p50,765,0.6,1213.17,396.14,727.9,237.68
p51,765,0.6,1213.17,396.14,727.9,237.68
p52,765,0.6,1213.17,396.14,727.9,237.68
p53,765,0.6,1213.17,396.14,727.9,237.68
p54,765,0.6,1213.17,396.14,727.9,237.68
p55,765,0.6,1213.17,396.14,727.9,237.68
p56,500,0.7,1166.51,396.14,816.56,277.3
p57,765,0.6,1213.17,396.14,727.9,237.68
p58,500,1.2,1166.51,396.14,1399.81,475.37
p59,500,1,1166.51,396.14,1166.51,396.14
p60,765,0.6,1213.17,396.14,727.9,237.68
p61,765,0.6,1213.17,396.14,727.9,237.68
p62,765,0.6,1213.17,396.14,727.9,237.68
p63,765,0.6,1213.17,396.14,727.9,237.68
p64,765,0.6,1213.17,396.14,727.9,237.68
p65,765,0.6,1213.17,396.14,727.9,237.68
p66,500,1.2,1166.51,396.14,1399.81,475.37
p67,765,0.6,1213.17,396.14,727.9,237.68
p68,765,0.55,1213.17,396.14,667.24,217.88
p69,765,0.55,1213.17,396.14,667.24,217.88
p70,765,0.55,1213.17,396.14,667.24,217.88
p71,765,0.55,1213.17,396.14,667.24,217.88
p72,765,0.55,1213.17,396.14,667.24,217.88
p73,765,0.55,1213.17,396.14,667.24,217.88
p74,765,0.65,1213.17,396.14,788.56,257.49
p75,765,0.65,1213.17,396.14,788.56,257.49
p76,765,0.65,1213.17,396.14,788.56,257.49
p77,765,0.65,1213.17,396.14,788.56,257.49
p78,765,0.65,1213.17,396.14,788.56,257.49
p79,765,0.85,1213.17,396.14,1031.2,336.72
p80,765,0.85,1213.17,396.14,1031.2,336.72
p81,765,0.55,1213.17,396.14,667.24,217.88
p82,765,0.55,1213.17,396.14,667.24,217.88
p83,765,0.55,1213.17,396.14,667.24,217.88
p84,500,1.2,1166.51,396.14,1399.81,475.37
p85,500,1.2,1166.51,396.14,1399.81,475.37
p86,500,1.2,1166.51,396.14,1399.81,475.37
p87,500,1.2,1166.51,396.14,1399.81,475.37
p88,500,0.75,1166.51,396.14,874.88,297.1
p89,500,0.9,1166.51,396.14,1049.86,356.52
p90,500,0.9,1166.51,396.14,1049.86,356.52
p91,500,0.9,1166.51,396.14,1049.86,356.52
p92,500,0.75,1166.51,396.14,874.88,297.1
p93,500,0.75,1166.51,396.14,874.88,297.1
p94,500,0.9,1166.51,396.14,1049.86,356.52
p95,500,0.6,1166.51,396.14,699.9,237.68
p96,500,0.6,1166.51,396.14,699.9,237.68
p97,500,0.6,1166.51,396.14,699.9,237.68
p98,500,0.6,1166.51,396.14,699.9,237.68
p99,765,0.85,1213.17,396.14,1031.2,336.72
p100,765,0.85,1213.17,396.14,1031.2,336.72
p101,500,0.95,1166.51,396.14,1108.18,376.33
p102,500,0.95,1166.51,396.14,1108.18,376.33
p103,765,0.7,1213.17,396.14,849.22,277.3
p104,765,0.85,1213.17,396.14,1031.2,336.72
p105,765,0.6,1213.17,396.14,727.9,237.68
p106,765,0.6,1213.17,396.14,727.9,237.68
p107,765,0.6,1213.17,396.14,727.9,237.68
p108,500,0.75,1166.51,396.14,874.88,297.1
p109,765,0.85,1213.17,396.14,1031.2,336.72
p110,765,0.85,1213.17,396.14,1031.2,336.72
p111,765,0.85,1213.17,396.14,1031.2,336.72
p112,765,0.85,1213.17,396.14,1031.2,336.72
p113,765,0.85,1213.17,396.14,1031.2,336.72
p114,765,0.85,1213.17,396.14,1031.2,336.72
p115,500,1.25,1166.51,396.14,1458.13,495.17
p116,765,0.85,1213.17,396.14,1031.2,336.72
p117,765,0.85,1213.17,396.14,1031.2,336.72
p118,765,0.85,1213.17,396.14,1031.2,336.72
p119,500,2.3,1166.51,396.14,2682.97,911.12
p120,500,1.25,1166.51,396.14,1458.13,495.17
p121,500,1.25,1166.51,396.14,1458.13,495.17
p122,500,2.3,1166.51,396.14,2682.97,911.12
p123,500,4,1166.51,396.14,4666.03,1584.55
p124,500,4,1166.51,396.14,4666.03,1584.55
p125,500,4,1166.51,396.14,4666.03,1584.55
p126,500,4,1166.51,396.14,4666.03,1584.55
p127,765,2.05,1213.17,396.14,2487,812.08
p128,345,3,2021.95,396.14,6065.85,1188.41
p129,345,2.15,2021.95,396.14,4347.19,851.7
p130,345,2.15,2021.95,396.14,4347.19,851.7
p131,345,2.15,2021.95,396.14,4347.19,851.7
