r,sc_cat,vc1,vc2,vc3,vc4,vc5
p1,cap,0,57600,9600,66600,1e+06
p1,cost,22900,11900,18300,19300,21100
p2,cap,0,86400,2400,57600,1e+06
p2,cost,22900,11900,18300,19300,21100
p3,cap,0,14400,0,23400,1e+06
p3,cost,22900,11900,18300,19300,21100
p4,cap,0,33600,9600,43200,1e+06
p4,cost,22900,11900,18300,19300,21100
p5,cap,0,139200,2400,106200,1e+06
p5,cost,22900,11900,18300,19300,21100
p6,cap,0,24000,0,18000,1e+06
p6,cost,22900,11900,18300,19300,21100
p7,cap,0,14400,0,3600,1e+06
p7,cost,22900,11900,18300,19300,21100
p8,cap,0,0,7200,4500,1e+06
p8,cost,22900,11900,18300,19300,21100
p9,cap,0,76800,0,257400,1e+06
p9,cost,22900,11900,18300,19300,21100
p10,cap,0,129600,0,153900,1e+06
p10,cost,22900,11900,18300,19300,21100
p11,cap,0,14400,0,17100,1e+06
p11,cost,22900,11900,18300,19300,21100
p12,cap,0,9600,38400,10800,1e+06
p12,cost,22900,11900,18300,19300,21100
p13,cap,0,86400,7200,52200,1e+06
p13,cost,22900,11900,18300,19300,21100
p14,cap,0,4800,0,8100,1e+06
p14,cost,22900,11900,18300,19300,21100
p15,cap,0,14400,12000,20700,1e+06
p15,cost,22900,11900,18300,19300,21100
p16,cap,0,0,7200,5400,1e+06
p16,cost,22900,11900,18300,19300,21100
p17,cap,0,33600,0,23400,1e+06
p17,cost,22900,11900,18300,19300,21100
p18,cap,0,0,0,12600,1e+06
p18,cost,22900,11900,18300,19300,21100
p19,cap,0,0,0,0,1e+06
p19,cost,22900,11900,18300,19300,21100
p20,cap,0,19200,0,12600,1e+06
p20,cost,22900,11900,18300,19300,21100
p21,cap,0,0,9600,25200,1e+06
p21,cost,22900,11900,18300,19300,21100
p22,cap,0,0,0,4500,1e+06
p22,cost,22900,11900,18300,19300,21100
p23,cap,0,0,0,9000,1e+06
p23,cost,22900,11900,18300,19300,21100
p24,cap,0,0,2400,18000,1e+06
p24,cost,22900,11900,18300,19300,21100
p25,cap,0,0,60000,6300,1e+06
p25,cost,22900,11900,18300,19300,21100
p26,cap,0,0,2400,1800,1e+06
p26,cost,22900,11900,18300,19300,21100
p27,cap,0,0,2400,15300,1e+06
p27,cost,22900,11900,18300,19300,21100
p28,cap,0,153600,33600,98100,1e+06
p28,cost,22900,11900,18300,19300,21100
p29,cap,0,9600,4800,900,1e+06
p29,cost,22900,11900,18300,19300,21100
p30,cap,0,0,12000,3600,1e+06
p30,cost,22900,11900,18300,19300,21100
p31,cap,0,14400,64800,10800,1e+06
p31,cost,22900,11900,18300,19300,21100
p32,cap,0,0,0,5400,1e+06
p32,cost,22900,11900,18300,19300,21100
p33,cap,0,0,26400,119700,1e+06
p33,cost,22900,11900,18300,19300,21100
p34,cap,0,43200,12000,27900,1e+06
p34,cost,22900,11900,18300,19300,21100
p35,cap,0,0,0,7200,1e+06
p35,cost,9400,13800,14300,14900,16000
p36,cap,0,0,43200,17100,1e+06
p36,cost,9400,13800,14300,14900,16000
p37,cap,0,0,21600,29700,1e+06
p37,cost,9400,13800,14300,14900,16000
p38,cap,0,0,33600,34200,1e+06
p38,cost,9400,13800,14300,14900,16000
p39,cap,0,0,24000,13500,1e+06
p39,cost,9400,13800,14300,14900,16000
p40,cap,0,0,33600,20700,1e+06
p40,cost,9400,13800,14300,14900,16000
p41,cap,0,0,52800,0,1e+06
p41,cost,9400,13800,14300,14900,16000
p42,cap,0,9600,0,15300,1e+06
p42,cost,9400,13800,14300,14900,16000
p43,cap,0,19200,50400,34200,1e+06
p43,cost,9400,13800,14300,14900,16000
p44,cap,0,0,0,5400,1e+06
p44,cost,9400,13800,14300,14900,16000
p45,cap,0,0,16800,6300,1e+06
p45,cost,9400,13800,14300,14900,16000
p46,cap,0,0,2400,0,1e+06
p46,cost,9400,13800,14300,14900,16000
p47,cap,0,0,2400,8100,1e+06
p47,cost,9400,13800,14300,14900,16000
p48,cap,0,0,12000,32400,1e+06
p48,cost,9400,13800,14300,14900,16000
p49,cap,0,0,2400,0,1e+06
p49,cost,9400,13800,14300,14900,16000
p50,cap,0,0,38400,900,1e+06
p50,cost,9400,13800,14300,14900,16000
p51,cap,0,0,28800,0,1e+06
p51,cost,9400,13800,14300,14900,16000
p52,cap,0,0,7200,0,1e+06
p52,cost,9400,13800,14300,14900,16000
p53,cap,0,0,40800,14400,1e+06
p53,cost,9400,13800,14300,14900,16000
p54,cap,0,0,14400,0,1e+06
p54,cost,9400,13800,14300,14900,16000
p55,cap,0,0,7200,0,1e+06
p55,cost,9400,13800,14300,14900,16000
p56,cap,0,4800,7200,0,1e+06
p56,cost,9400,13800,14300,14900,16000
p57,cap,0,0,26400,0,1e+06
p57,cost,9400,13800,14300,14900,16000
