r,AC,DC
p1,1166.51,396.14 
p2,1166.51,396.14 
p3,1166.51,396.14 
p4,1166.51,396.14 
p5,1166.51,396.14 
p6,1166.51,396.14 
p7,1166.51,396.14 
p8,1166.51,396.14 
p9,2507.99,851.70 
p10,2507.99,851.70 
p11,2507.99,851.70 
p12,991.53,336.72 
p13,991.53,336.72 
p14,991.53,336.72 
p15,991.53,336.72 
p16,991.53,336.72 
p17,991.53,336.72 
p18,991.53,336.72 
p19,991.53,336.72 
p20,991.53,336.72 
p21,1031.20,336.72 
p22,1031.20,336.72 
p23,1031.20,336.72 
p24,1031.20,336.72 
p25,991.53,336.72 
p26,1031.20,336.72 
p27,991.53,336.72 
p28,991.53,336.72 
p29,991.53,336.72 
p30,991.53,336.72 
p31,991.53,336.72 
p32,1031.20,336.72 
p33,1031.20,336.72 
p34,1031.20,336.72 
p35,699.90,237.68 
p36,641.58,217.88 
p37,641.58,217.88 
p38,641.58,217.88 
p39,727.90,237.68 
p40,727.90,237.68 
p41,727.90,237.68 
p42,641.58,217.88 
p43,699.90,237.68 
p44,667.24,217.88 
p45,667.24,217.88 
p46,667.24,217.88 
p47,727.90,237.68 
p48,727.90,237.68 
p49,727.90,237.68 
p50,727.90,237.68 
p51,727.90,237.68 
p52,727.90,237.68 
p53,727.90,237.68 
p54,727.90,237.68 
p55,727.90,237.68 
p56,816.56,277.30 
p57,727.90,237.68 
p58,1399.81,475.37 
p59,1166.51,396.14 
p60,727.90,237.68 
p61,727.90,237.68 
p62,727.90,237.68 
p63,727.90,237.68 
p64,727.90,237.68 
p65,727.90,237.68 
p66,1399.81,475.37 
p67,727.90,237.68 
p68,667.24,217.88 
p69,667.24,217.88 
p70,667.24,217.88 
p71,667.24,217.88 
p72,667.24,217.88 
p73,667.24,217.88 
p74,788.56,257.49 
p75,788.56,257.49 
p76,788.56,257.49 
p77,788.56,257.49 
p78,788.56,257.49 
p79,1031.20,336.72 
p80,1031.20,336.72 
p81,667.24,217.88 
p82,667.24,217.88 
p83,667.24,217.88 
p84,1399.81,475.37 
p85,1399.81,475.37 
p86,1399.81,475.37 
p87,1399.81,475.37 
p88,874.88,297.10 
p89,1049.86,356.52 
p90,1049.86,356.52 
p91,1049.86,356.52 
p92,874.88,297.10 
p93,874.88,297.10 
p94,1049.86,356.52 
p95,699.90,237.68 
p96,699.90,237.68 
p97,699.90,237.68 
p98,699.90,237.68 
p99,1031.20,336.72 
p100,1031.20,336.72 
p101,1108.18,376.33 
p102,1108.18,376.33 
p103,849.22,277.30 
p104,1031.20,336.72 
p105,727.90,237.68 
p106,727.90,237.68 
p107,727.90,237.68 
p108,874.88,297.10 
p109,1031.20,336.72 
p110,1031.20,336.72 
p111,1031.20,336.72 
p112,1031.20,336.72 
p113,1031.20,336.72 
p114,1031.20,336.72 
p115,1458.13,495.17 
p116,1031.20,336.72 
p117,1031.20,336.72 
p118,1031.20,336.72 
p119,2682.97,911.12 
p120,1458.13,495.17 
p121,1458.13,495.17 
p122,2682.97,911.12 
p123,4666.03,1584.55 
p124,4666.03,1584.55 
p125,4666.03,1584.55 
p126,4666.03,1584.55 
p127,2487.00,812.08 
p128,6065.85,1188.41 
p129,4347.19,851.70 
p130,4347.19,851.70 
p131,4347.19,851.70 
p132,4347.19,851.70 
p133,4347.19,851.70 
p134,4347.19,851.70 
p135,2507.99,851.70 
p136,2507.99,851.70 
