r,rr,status,t,AC,DC,Project(s)
p57,p66,Possible,2026,0,100000,VSC macrogrid
p57,p85,Possible,2026,0,100000,VSC macrogrid
p58,p66,Possible,2026,0,100000,VSC macrogrid
p58,p85,Possible,2026,0,100000,VSC macrogrid
p58,p86,Possible,2026,0,100000,VSC macrogrid
p58,p87,Possible,2026,0,100000,VSC macrogrid
p60,p61,Possible,2026,0,100000,VSC macrogrid
p60,p62,Possible,2026,0,100000,VSC macrogrid
p60,p63,Possible,2026,0,100000,VSC macrogrid
p61,p62,Possible,2026,0,100000,VSC macrogrid
p61,p63,Possible,2026,0,100000,VSC macrogrid
p61,p64,Possible,2026,0,100000,VSC macrogrid
p61,p65,Possible,2026,0,100000,VSC macrogrid
p63,p64,Possible,2026,0,100000,VSC macrogrid
p63,p67,Possible,2026,0,100000,VSC macrogrid
p64,p65,Possible,2026,0,100000,VSC macrogrid
p64,p67,Possible,2026,0,100000,VSC macrogrid
p65,p67,Possible,2026,0,100000,VSC macrogrid
p66,p86,Possible,2026,0,100000,VSC macrogrid
p68,p69,Possible,2026,0,100000,VSC macrogrid
p68,p77,Possible,2026,0,100000,VSC macrogrid
p69,p70,Possible,2026,0,100000,VSC macrogrid
p69,p77,Possible,2026,0,100000,VSC macrogrid
p70,p71,Possible,2026,0,100000,VSC macrogrid
p70,p77,Possible,2026,0,100000,VSC macrogrid
p70,p80,Possible,2026,0,100000,VSC macrogrid
p70,p81,Possible,2026,0,100000,VSC macrogrid
p71,p72,Possible,2026,0,100000,VSC macrogrid
p71,p81,Possible,2026,0,100000,VSC macrogrid
p72,p73,Possible,2026,0,100000,VSC macrogrid
p72,p81,Possible,2026,0,100000,VSC macrogrid
p72,p84,Possible,2026,0,100000,VSC macrogrid
p73,p84,Possible,2026,0,100000,VSC macrogrid
p74,p75,Possible,2026,0,100000,VSC macrogrid
p74,p103,Possible,2026,0,100000,VSC macrogrid
p75,p76,Possible,2026,0,100000,VSC macrogrid
p75,p79,Possible,2026,0,100000,VSC macrogrid
p76,p77,Possible,2026,0,100000,VSC macrogrid
p76,p78,Possible,2026,0,100000,VSC macrogrid
p76,p79,Possible,2026,0,100000,VSC macrogrid
p77,p78,Possible,2026,0,100000,VSC macrogrid
p77,p80,Possible,2026,0,100000,VSC macrogrid
p78,p79,Possible,2026,0,100000,VSC macrogrid
p78,p80,Possible,2026,0,100000,VSC macrogrid
p79,p80,Possible,2026,0,100000,VSC macrogrid
p80,p81,Possible,2026,0,100000,VSC macrogrid
p80,p82,Possible,2026,0,100000,VSC macrogrid
p80,p83,Possible,2026,0,100000,VSC macrogrid
p80,p105,Possible,2026,0,100000,VSC macrogrid
p81,p82,Possible,2026,0,100000,VSC macrogrid
p81,p83,Possible,2026,0,100000,VSC macrogrid
p81,p93,Possible,2026,0,100000,VSC macrogrid
p81,p107,Possible,2026,0,100000,VSC macrogrid
p81,p108,Possible,2026,0,100000,VSC macrogrid
p82,p83,Possible,2026,0,100000,VSC macrogrid
p83,p105,Possible,2026,0,100000,VSC macrogrid
p83,p107,Possible,2026,0,100000,VSC macrogrid
p84,p85,Possible,2026,0,100000,VSC macrogrid
p84,p92,Possible,2026,0,100000,VSC macrogrid
p85,p86,Possible,2026,0,100000,VSC macrogrid
p85,p87,Possible,2026,0,100000,VSC macrogrid
p85,p92,Possible,2026,0,100000,VSC macrogrid
p86,p87,Possible,2026,0,100000,VSC macrogrid
p87,p88,Possible,2026,0,100000,VSC macrogrid
p87,p89,Possible,2026,0,100000,VSC macrogrid
p87,p90,Possible,2026,0,100000,VSC macrogrid
p87,p92,Possible,2026,0,100000,VSC macrogrid
p88,p89,Possible,2026,0,100000,VSC macrogrid
p88,p92,Possible,2026,0,100000,VSC macrogrid
p89,p90,Possible,2026,0,100000,VSC macrogrid
p89,p92,Possible,2026,0,100000,VSC macrogrid
p89,p94,Possible,2026,0,100000,VSC macrogrid
p90,p91,Possible,2026,0,100000,VSC macrogrid
p90,p94,Possible,2026,0,100000,VSC macrogrid
p91,p94,Possible,2026,0,100000,VSC macrogrid
p91,p101,Possible,2026,0,100000,VSC macrogrid
p92,p93,Possible,2026,0,100000,VSC macrogrid
p92,p94,Possible,2026,0,100000,VSC macrogrid
p92,p97,Possible,2026,0,100000,VSC macrogrid
p92,p108,Possible,2026,0,100000,VSC macrogrid
p92,p109,Possible,2026,0,100000,VSC macrogrid
p92,p118,Possible,2026,0,100000,VSC macrogrid
p93,p108,Possible,2026,0,100000,VSC macrogrid
p93,p109,Possible,2026,0,100000,VSC macrogrid
p94,p95,Possible,2026,0,100000,VSC macrogrid
p94,p96,Possible,2026,0,100000,VSC macrogrid
p94,p97,Possible,2026,0,100000,VSC macrogrid
p94,p101,Possible,2026,0,100000,VSC macrogrid
p95,p96,Possible,2026,0,100000,VSC macrogrid
p95,p97,Possible,2026,0,100000,VSC macrogrid
p95,p98,Possible,2026,0,100000,VSC macrogrid
p96,p98,Possible,2026,0,100000,VSC macrogrid
p97,p98,Possible,2026,0,100000,VSC macrogrid
p97,p118,Possible,2026,0,100000,VSC macrogrid
p98,p99,Possible,2026,0,100000,VSC macrogrid
p99,p100,Possible,2026,0,100000,VSC macrogrid
p99,p116,Possible,2026,0,100000,VSC macrogrid
p99,p118,Possible,2026,0,100000,VSC macrogrid
p99,p121,Possible,2026,0,100000,VSC macrogrid
p99,p123,Possible,2026,0,100000,VSC macrogrid
p100,p116,Possible,2026,0,100000,VSC macrogrid
p101,p102,Possible,2026,0,100000,VSC macrogrid
p103,p104,Possible,2026,0,100000,VSC macrogrid
p103,p105,Possible,2026,0,100000,VSC macrogrid
p103,p111,Possible,2026,0,100000,VSC macrogrid
p104,p105,Possible,2026,0,100000,VSC macrogrid
p105,p106,Possible,2026,0,100000,VSC macrogrid
p105,p107,Possible,2026,0,100000,VSC macrogrid
p105,p112,Possible,2026,0,100000,VSC macrogrid
p106,p107,Possible,2026,0,100000,VSC macrogrid
p107,p108,Possible,2026,0,100000,VSC macrogrid
p107,p109,Possible,2026,0,100000,VSC macrogrid
p107,p112,Possible,2026,0,100000,VSC macrogrid
p107,p114,Possible,2026,0,100000,VSC macrogrid
p108,p109,Possible,2026,0,100000,VSC macrogrid
p109,p110,Possible,2026,0,100000,VSC macrogrid
p109,p112,Possible,2026,0,100000,VSC macrogrid
p109,p114,Possible,2026,0,100000,VSC macrogrid
p109,p118,Possible,2026,0,100000,VSC macrogrid
p110,p112,Possible,2026,0,100000,VSC macrogrid
p110,p117,Possible,2026,0,100000,VSC macrogrid
p110,p118,Possible,2026,0,100000,VSC macrogrid
p111,p112,Possible,2026,0,100000,VSC macrogrid
p111,p115,Possible,2026,0,100000,VSC macrogrid
p111,p116,Possible,2026,0,100000,VSC macrogrid
p111,p122,Possible,2026,0,100000,VSC macrogrid
p112,p113,Possible,2026,0,100000,VSC macrogrid
p112,p114,Possible,2026,0,100000,VSC macrogrid
p112,p115,Possible,2026,0,100000,VSC macrogrid
p112,p116,Possible,2026,0,100000,VSC macrogrid
p112,p117,Possible,2026,0,100000,VSC macrogrid
p113,p114,Possible,2026,0,100000,VSC macrogrid
p115,p116,Possible,2026,0,100000,VSC macrogrid
p115,p122,Possible,2026,0,100000,VSC macrogrid
p116,p117,Possible,2026,0,100000,VSC macrogrid
p116,p118,Possible,2026,0,100000,VSC macrogrid
p116,p120,Possible,2026,0,100000,VSC macrogrid
p116,p121,Possible,2026,0,100000,VSC macrogrid
p117,p118,Possible,2026,0,100000,VSC macrogrid
p119,p122,Possible,2026,0,100000,VSC macrogrid
p120,p121,Possible,2026,0,100000,VSC macrogrid
p120,p122,Possible,2026,0,100000,VSC macrogrid
p121,p122,Possible,2026,0,100000,VSC macrogrid
p121,p123,Possible,2026,0,100000,VSC macrogrid
p122,p123,Possible,2026,0,100000,VSC macrogrid
p122,p125,Possible,2026,0,100000,VSC macrogrid
p122,p126,Possible,2026,0,100000,VSC macrogrid
p122,p127,Possible,2026,0,100000,VSC macrogrid
p123,p124,Possible,2026,0,100000,VSC macrogrid
p123,p125,Possible,2026,0,100000,VSC macrogrid
p125,p126,Possible,2026,0,100000,VSC macrogrid
p126,p127,Possible,2026,0,100000,VSC macrogrid
p127,p128,Possible,2026,0,100000,VSC macrogrid
p127,p129,Possible,2026,0,100000,VSC macrogrid
p127,p131,Possible,2026,0,100000,VSC macrogrid
p127,p132,Possible,2026,0,100000,VSC macrogrid
p128,p132,Possible,2026,0,100000,VSC macrogrid
p129,p130,Possible,2026,0,100000,VSC macrogrid
p129,p131,Possible,2026,0,100000,VSC macrogrid
p130,p131,Possible,2026,0,100000,VSC macrogrid
p130,p134,Possible,2026,0,100000,VSC macrogrid
p131,p132,Possible,2026,0,100000,VSC macrogrid
p131,p133,Possible,2026,0,100000,VSC macrogrid
p132,p133,Possible,2026,0,100000,VSC macrogrid
