interface,r,rr,MW_f0,MW_r0,MW_f1,MW_r1
p1||p2,p1,p2,9000,9000,9000,9000
p1||p4,p1,p4,9804,9804,9804,9804
p2||p3,p2,p3,1942,1942,1942,1942
p2||p4,p2,p4,4252,4252,4252,4252
p2||p5,p2,p5,15397,15397,15397,15397
p2||p14,p2,p14,5207,5207,5207,5207
p3||p4,p3,p4,9721,9721,9721,9721
p3||p5,p3,p5,762,762,762,762
p3||p14,p3,p14,8360,8360,8360,8360
p3||p17,p3,p17,2843,2843,2843,2843
p5||p6,p5,p6,3809,3809,3809,3809
p5||p7,p5,p7,1778,1778,1778,1778
p5||p14,p5,p14,352,352,352,352
p5||p15,p5,p15,478,478,478,478
p6||p7,p6,p7,797,797,797,797
p6||p8,p6,p8,1939,1939,1939,1939
p6||p9,p6,p9,2366.881243,2366.881243,2366.881243,2366.881243
p7||p8,p7,p8,50,50,50,50
p7||p12,p7,p12,1,1,1,1
p7||p15,p7,p15,1303,1303,1303,1303
p8||p9,p8,p9,85.18212088,85.18212088,85.18212088,85.18212088
p8||p12,p8,p12,300,300,300,300
p9||p10,p9,p10,8242,8242,8242,8242
p9||p12,p9,p12,105.8621733,105.8621733,105.8621733,105.8621733
p10||p11,p10,p11,7240,7240,7240,7240
p10||p12,p10,p12,7.878115226,7.878115226,7.878115226,7.878115226
p10||p13,p10,p13,2283,2283,2283,2283
p10||p27,p10,p27,1746,1746,1746,1746
p10||p28,p10,p28,1204.407438,1204.407438,1204.407438,1204.407438
p10||p136,p10,p136,947,947,947,947
p11||p135,p11,p135,500,500,500,500
p12||p13,p12,p13,252.8711057,252.8711057,252.8711057,252.8711057
p12||p15,p12,p15,863,863,863,863
p12||p25,p12,p25,319,319,319,319
p13||p25,p13,p25,155.772755,155.772755,155.772755,155.772755
p13||p27,p13,p27,1955,1955,1955,1955
p13||p28,p13,p28,2492,2492,2492,2492
p14||p15,p14,p15,1204,1204,1204,1204
p14||p17,p14,p17,1593,1593,1593,1593
p15||p16,p15,p16,4469,4469,4469,4469
p15||p17,p15,p17,2537,2537,2537,2537
p15||p21,p15,p21,847,847,847,847
p15||p25,p15,p25,680,680,680,680
p16||p17,p16,p17,179,179,179,179
p16||p18,p16,p18,48,48,48,48
p16||p21,p16,p21,2853,2853,2853,2853
p16||p25,p16,p25,785,785,785,785
p17||p18,p17,p18,2077,2077,2077,2077
p17||p20,p17,p20,1789,1789,1789,1789
p18||p19,p18,p19,262,262,262,262
p18||p20,p18,p20,2321,2321,2321,2321
p18||p21,p18,p21,1361,1361,1361,1361
p18||p22,p18,p22,94.55927052,94.55927052,94.55927052,94.55927052
p21||p24,p21,p24,295.8206687,295.8206687,295.8206687,295.8206687
p21||p25,p21,p25,1282,1282,1282,1282
p21||p26,p21,p26,628,628,628,628
p22||p23,p22,p23,1010,1010,1010,1010
p22||p24,p22,p24,518,518,518,518
p23||p24,p23,p24,868,868,868,868
p23||p32,p23,p32,2063,2063,2063,2063
p24||p32,p24,p32,422,422,422,422
p24||p33,p24,p33,3320,3320,3320,3320
p25||p26,p25,p26,1237,1237,1237,1237
p25||p28,p25,p28,142.2724496,142.2724496,142.2724496,142.2724496
p25||p31,p25,p31,299.0836897,299.0836897,299.0836897,299.0836897
p26||p33,p26,p33,239.2401216,239.2401216,239.2401216,239.2401216
p27||p28,p27,p28,799,799,799,799
p28||p29,p28,p29,5047,5047,5047,5047
p28||p30,p28,p30,4209,4209,4209,4209
p28||p31,p28,p31,3357,3357,3357,3357
p29||p30,p29,p30,639,639,639,639
p29||p31,p29,p31,3602,3602,3602,3602
p31||p34,p31,p34,690,690,690,690
p31||p59,p31,p59,2859,2859,2859,2859
p33||p34,p33,p34,2735,2735,2735,2735
p35||p36,p35,p36,609.5499,609.5499,609.5499,609.5499
p36||p37,p36,p37,1127.729,1127.729,1127.729,1127.729
p36||p38,p36,p38,2054.032,2054.032,2054.032,2054.032
p37||p38,p37,p38,206.3271,206.3271,206.3271,206.3271
p37||p42,p37,p42,647.2445,647.2445,647.2445,647.2445
p37||p43,p37,p43,1678.682,1678.682,1678.682,1678.682
p38||p39,p38,p39,314.5868,314.5868,314.5868,314.5868
p38||p40,p38,p40,733.8224,733.8224,733.8224,733.8224
p38||p43,p38,p43,84.39539,84.39539,84.39539,84.39539
p38||p44,p38,p44,1147.3,1147.3,1147.3,1147.3
p38||p45,p38,p45,1494.105,1494.105,1494.105,1494.105
p39||p40,p39,p40,2750.307,2750.307,2750.307,2750.307
p40||p41,p40,p41,1733.566,1733.566,1733.566,1733.566
p40||p45,p40,p45,781.058,781.058,781.058,781.058
p40||p52,p40,p52,622.1238938,622.1238938,622.1238938,622.1238938
p41||p45,p41,p45,2798.112,2798.112,2798.112,2798.112
p41||p53,p41,p53,332.7433628,332.7433628,332.7433628,332.7433628
p41||p54,p41,p54,1923.00885,1923.00885,1923.00885,1923.00885
p41||p70,p41,p70,819.4082,819.4082,819.4082,819.4082
