,interface,r,rr,MW_f0,MW_r0,MW_f1,MW_r1
0,p01001||p01007,p01001,p01007,2598.0,2598.0,0.0,0.0
1,p01001||p01037,p01001,p01037,395.8138,502.7627,0.0,0.0
2,p01001||p01047,p01001,p01047,587.4117,573.815,0.0,0.0
3,p01001||p01051,p01001,p01051,226.9406,216.1271,0.0,0.0
4,p01001||p01085,p01001,p01085,95.3581,128.2427,0.0,0.0
5,p01001||p01101,p01001,p01101,3156.2471,2918.2008,0.0,0.0
6,p01003||p01053,p01003,p01053,283.375,476.3564,0.0,0.0
7,p01003||p01097,p01003,p01097,2110.5042,2604.2074,0.0,0.0
8,p01003||p12033,p01003,p12033,1762.4072,1731.3922,0.0,0.0
9,p01005||p01011,p01005,p01011,266.0,67.5726,0.0,0.0
10,p01005||p01045,p01005,p01045,198.0413,55.0145,0.0,0.0
11,p01005||p01067,p01005,p01067,101.9698,188.809,0.0,0.0
12,p01005||p01109,p01005,p01109,72.0503,32.7449,0.0,0.0
13,p01005||p01113,p01005,p01113,119.7933,82.1373,0.0,0.0
14,p01005||p13239,p01005,p13239,6.013,6.013,0.0,0.0
15,p01007||p01073,p01007,p01073,2954.8563,2966.1774,0.0,0.0
16,p01007||p01117,p01007,p01117,202.0959,91.4911,0.0,0.0
17,p01007||p01125,p01007,p01125,1040.3838,946.5514,0.0,0.0
18,p01009||p01055,p01009,p01055,381.2581,201.2674,0.0,0.0
19,p01009||p01073,p01009,p01073,237.7666,425.1362,0.0,0.0
20,p01009||p01095,p01009,p01095,35.4336,49.7475,0.0,0.0
21,p01009||p01127,p01009,p01127,14.4235,69.5079,0.0,0.0
22,p01011||p01041,p01011,p01041,133.0,63.7888,0.0,0.0
23,p01011||p01087,p01011,p01087,154.745,163.4212,0.0,0.0
24,p01011||p01101,p01011,p01101,97.634,26.9421,0.0,0.0
25,p01011||p01109,p01011,p01109,54.6374,50.5325,0.0,0.0
26,p01013||p01035,p01013,p01035,587.4338,650.7122,0.0,0.0
27,p01013||p01041,p01013,p01041,32.669,19.4223,0.0,0.0
28,p01013||p01085,p01013,p01085,51.8525,33.9181,0.0,0.0
29,p01013||p01101,p01013,p01101,566.9104,580.0,0.0,0.0
30,p01015||p01019,p01015,p01019,27.1429,27.1429,0.0,0.0
31,p01015||p01055,p01015,p01055,246.7098,146.3398,0.0,0.0
32,p01015||p01115,p01015,p01115,85.1507,208.0,0.0,0.0
33,p01015||p01117,p01015,p01117,483.0,473.3287,0.0,0.0
34,p01015||p01121,p01015,p01121,302.6557,270.317,0.0,0.0
35,p01015||p13115,p01015,p13115,483.0,483.0,0.0,0.0
36,p01017||p01081,p01017,p01081,1175.2949,950.9809,0.0,0.0
37,p01017||p01111,p01017,p01111,43.3088,60.5804,0.0,0.0
38,p01017||p01123,p01017,p01123,881.5563,932.0567,0.0,0.0
39,p01017||p13285,p01017,p13285,204.5441,64.4588,0.0,0.0
40,p01019||p01049,p01019,p01049,61.238,61.238,0.0,0.0
41,p01019||p01055,p01019,p01055,127.2913,30.8341,0.0,0.0
42,p01019||p13115,p01019,p13115,56.742,81.4643,0.0,0.0
43,p01021||p01037,p01021,p01037,202.0,94.5736,0.0,0.0
44,p01021||p01047,p01021,p01047,134.5999,94.6959,0.0,0.0
45,p01021||p01051,p01021,p01051,204.0,118.7216,0.0,0.0
46,p01021||p01117,p01021,p01117,359.7258,112.1435,0.0,0.0
47,p01023||p01091,p01023,p01091,51.0,65.1429,0.0,0.0
48,p01023||p01129,p01023,p01129,7.0864,7.0864,0.0,0.0
49,p01025||p01063,p01025,p01063,289.2886,280.0556,0.0,0.0
50,p01025||p01091,p01025,p01091,71.494,43.0385,0.0,0.0
51,p01025||p01099,p01025,p01099,57.7846,40.9946,0.0,0.0
52,p01025||p01129,p01025,p01129,192.4203,337.912,0.0,0.0
53,p01025||p01131,p01025,p01131,79.9126,77.9294,0.0,0.0
54,p01027||p01029,p01027,p01029,106.0,73.6575,0.0,0.0
55,p01027||p01111,p01027,p01111,448.7474,518.1948,0.0,0.0
56,p01027||p01117,p01027,p01117,403.765,402.35,0.0,0.0
57,p01029||p01111,p01029,p01111,50.045,129.7273,0.0,0.0
58,p01029||p01121,p01029,p01121,106.0,88.6914,0.0,0.0
59,p01029||p13143,p01029,p13143,106.0,96.7116,0.0,0.0
60,p01031||p01039,p01031,p01039,109.504,143.5603,0.0,0.0
61,p01031||p01045,p01031,p01045,95.2212,125.5916,0.0,0.0
62,p01031||p01061,p01031,p01061,53.9111,70.114,0.0,0.0
63,p01031||p01109,p01031,p01109,33.5415,40.4353,0.0,0.0
64,p01033||p01059,p01033,p01059,657.9148,233.1786,0.0,0.0
65,p01033||p01077,p01033,p01077,327.66,159.1518,0.0,0.0
66,p01033||p01079,p01033,p01079,375.5932,356.0587,0.0,0.0
