r,rr,status,trtype,t,MW
p1,p2,Possible,VSC,2032,100000
p1,p4,Possible,VSC,2032,100000
p2,p3,Possible,VSC,2032,100000
p2,p4,Possible,VSC,2032,100000
p2,p5,Possible,VSC,2032,100000
p2,p14,Possible,VSC,2032,100000
p3,p4,Possible,VSC,2032,100000
p3,p5,Possible,VSC,2032,100000
p3,p14,Possible,VSC,2032,100000
p3,p17,Possible,VSC,2032,100000
p5,p6,Possible,VSC,2032,100000
p5,p7,Possible,VSC,2032,100000
p5,p14,Possible,VSC,2032,100000
p5,p15,Possible,VSC,2032,100000
p6,p7,Possible,VSC,2032,100000
p6,p8,Possible,VSC,2032,100000
p6,p9,Possible,VSC,2032,100000
p7,p8,Possible,VSC,2032,100000
p7,p12,Possible,VSC,2032,100000
p7,p15,Possible,VSC,2032,100000
p8,p9,Possible,VSC,2032,100000
p8,p12,Possible,VSC,2032,100000
p9,p10,Possible,VSC,2032,100000
p9,p12,Possible,VSC,2032,100000
p10,p11,Possible,VSC,2032,100000
p10,p12,Possible,VSC,2032,100000
p10,p13,Possible,VSC,2032,100000
p10,p27,Possible,VSC,2032,100000
p10,p28,Possible,VSC,2032,100000
p12,p13,Possible,VSC,2032,100000
p12,p15,Possible,VSC,2032,100000
p12,p25,Possible,VSC,2032,100000
p13,p25,Possible,VSC,2032,100000
p13,p27,Possible,VSC,2032,100000
p13,p28,Possible,VSC,2032,100000
p14,p15,Possible,VSC,2032,100000
p14,p17,Possible,VSC,2032,100000
p15,p16,Possible,VSC,2032,100000
p15,p17,Possible,VSC,2032,100000
p15,p21,Possible,VSC,2032,100000
p15,p25,Possible,VSC,2032,100000
p16,p17,Possible,VSC,2032,100000
p16,p18,Possible,VSC,2032,100000
p16,p21,Possible,VSC,2032,100000
p16,p25,Possible,VSC,2032,100000
p17,p18,Possible,VSC,2032,100000
p17,p20,Possible,VSC,2032,100000
p18,p19,Possible,VSC,2032,100000
p18,p20,Possible,VSC,2032,100000
p18,p21,Possible,VSC,2032,100000
p18,p22,Possible,VSC,2032,100000
p21,p24,Possible,VSC,2032,100000
p21,p25,Possible,VSC,2032,100000
p21,p26,Possible,VSC,2032,100000
p22,p23,Possible,VSC,2032,100000
p22,p24,Possible,VSC,2032,100000
p23,p24,Possible,VSC,2032,100000
p23,p32,Possible,VSC,2032,100000
p24,p32,Possible,VSC,2032,100000
p24,p33,Possible,VSC,2032,100000
p25,p26,Possible,VSC,2032,100000
p25,p28,Possible,VSC,2032,100000
p25,p31,Possible,VSC,2032,100000
p26,p33,Possible,VSC,2032,100000
p27,p28,Possible,VSC,2032,100000
p28,p29,Possible,VSC,2032,100000
