r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p53007,0.09225,0.1845,0.369,0.881,1.41,2.049,3.353,3.426466315,3.557643639,3.660304208,3.729816119,3.770765436,3.353,3.353,3.353,3.353,3.353,3.353,3.353,3.353,3.353
p53029,0.11175,0.2235,0.447,1.131,1.851,2.703,4.446,4.546480356,4.7332682,4.921160564,5.113619057,5.309210743,5.192,6.07,6.906,7.632,8.14,8.59,9.169,9.681,10.307
p53033,2.62875,5.2575,10.515,26.172,42.76,62.532,101.603,104.63956,111.0169435,118.2443098,131.015214,147.4174731,148.902,174.345,198.993,221.109,231.225,243.269,258.532,279.766,304.052
p53035,0.295,0.59,1.18,2.82,4.535,6.591,10.763,10.99882402,11.42095918,11.79091731,12.13608525,12.4841238,11.402,12.319,13.684,14.873,15.846,16.837,17.815,18.852,20.093
p53037,0.0605,0.121,0.242,0.608,1.003,1.475,2.435,2.49857147,2.626056668,2.746592719,2.869945001,3.107254667,3.32,4.012,4.563,5.109,5.532,5.958,6.409,6.78,7.24
p53053,0.927,1.854,3.708,8.744,13.999,20.338,33.143,33.89064386,35.23690583,36.39562848,37.4383213,38.49711971,35.813,38.746,43.742,48.423,52.513,56.53,60.735,66.324,72.291
p53055,0.0345,0.069,0.138,0.348,0.568,0.829,1.363,1.392864178,1.459981404,1.530494035,1.604054531,1.681268812,1.677,1.907,2.154,2.369,2.489,2.601,2.76,2.926,3.058
p53057,0.139,0.278,0.556,1.369,2.228,3.24,5.299,5.415104385,5.62559695,5.822863897,6.031334029,6.256119332,5.859,6.717,7.684,8.512,9.202,9.893,10.549,11.312,11.966
p53061,0.8465,1.693,3.386,8.278,13.519,19.816,32.534,33.35209696,34.9111687,37.12703433,40.9189639,45.66191142,46.543,56.726,69.405,84.212,88.479,93.807,100.33,107.187,114.079
p53067,0.32025,0.6405,1.281,3.072,4.957,7.209,11.761,12.01869082,12.48411424,12.916409,13.37194142,13.84938155,12.722,14.614,17.065,19.441,20.899,22.447,23.804,25.348,26.83
p53073,0.24875,0.4975,0.995,2.437,3.952,5.76,9.435,9.641726717,10.02994492,10.39251299,10.74338326,11.07838065,10.434,11.495,12.44,13.277,14.09,14.717,15.48,16.322,17.353
p53003,0.03525,0.0705,0.141,0.357,0.577,0.855,1.387,1.440893977,1.532131648,1.646208991,1.85878996,2.286300665,2.648,3.394,4.051,4.574,4.726,4.881,5.074,5.282,5.561
p53005,0.199,0.398,0.796,1.954,3.19,4.658,7.626,7.793090402,8.132817922,8.486491176,8.873469485,9.716496679,9.983,11.421,12.795,14.153,15.583,17.367,19.544,21.807,24.02
p53009,0.0905,0.181,0.362,0.875,1.405,2.047,3.358,3.440773064,3.58629153,3.699603627,3.795446644,3.850611647,3.501,3.606,3.712,3.805,3.929,4.063,4.312,4.693,5.149
p53011,0.48175,0.9635,1.927,4.632,7.462,10.84,17.698,18.08577418,18.77922301,19.36915525,19.92387012,21.07602596,19.799,21.65,23.487,25.121,26.626,28.224,29.973,32.044,34.215
p53013,0.00575,0.0115,0.023,0.056,0.09,0.131,0.214,0.218688873,0.228122094,0.236888164,0.243611611,0.256407551,0.247,0.272,0.292,0.313,0.324,0.34,0.356,0.379,0.409
p53015,0.1235,0.247,0.494,1.157,1.849,2.693,4.392,4.498450557,4.682338616,4.83055357,4.948986554,5.08204265,4.652,4.805,4.962,5.135,5.514,6.063,6.696,7.391,8.12
p53023,0.003,0.006,0.012,0.03,0.048,0.07,0.115,0.117519722,0.122018795,0.12553981,0.127923905,0.131577559,0.121,0.125,0.132,0.139,0.15,0.163,0.176,0.193,0.207
p53027,0.10175,0.2035,0.407,1.002,1.622,2.358,3.862,3.947640732,4.098770467,4.223595879,4.350525154,4.511873227,4.14,4.432,4.818,5.231,5.6,5.996,6.396,6.845,7.138
p53031,0.04675,0.0935,0.187,0.473,0.774,1.128,1.852,1.892578472,1.96503311,2.034836577,2.113525388,2.185087158,2.014,2.333,2.645,2.917,3.152,3.361,3.525,3.755,4.054
p53039,0.027,0.054,0.108,0.271,0.447,0.658,1.088,1.113882578,1.167136297,1.223740238,1.281463814,1.385500452,1.455,1.714,1.934,2.135,2.295,2.449,2.6,2.791,3.068
p53041,0.0945,0.189,0.378,0.893,1.425,2.07,3.382,3.456101723,3.588413596,3.691962073,3.811019989,3.907965968,3.523,3.577,3.982,4.457,4.506,4.574,4.706,4.878,5.078
