t,i,r,rs,value
2012,upv,p5,sk,4.29
2012,dupv,p5,sk,2.2295
2012,upv,p7,sk,2.6
2012,upv,p9,sk,488.449
2012,dupv,p9,sk,16.2201
2012,upv,p10,sk,367.7804
2012,dupv,p10,sk,80.0306
2012,upv,p11,sk,12.1303
2012,dupv,p11,sk,2.1853
2012,upv,p12,sk,31.98
2012,upv,p13,sk,214.4987
2012,dupv,p13,sk,0.143
2012,upv,p25,sk,1.3195
2012,dupv,p25,sk,1.69
2012,upv,p27,sk,1.586
2012,dupv,p27,sk,0.65
2012,upv,p28,sk,843.8963
2012,dupv,p28,sk,10.7627
2012,upv,p30,sk,93.34
2012,upv,p31,sk,144.508
2012,dupv,p31,sk,1.3143
2012,upv,p33,sk,12.87
2012,dupv,p33,sk,3.1135
2012,upv,p34,sk,119.73
2012,dupv,p34,sk,0.65
2012,upv,p43,sk,1.43
2012,upv,p47,sk,67.548
2012,dupv,p47,sk,0.728
2012,dupv,p59,sk,0.1209
2012,upv,p63,sk,3.38
2012,upv,p64,sk,36.4
2012,upv,p65,sk,39.468
2012,upv,p80,sk,29.38
2012,upv,p92,sk,9.88
2012,dupv,p92,sk,1.521
2012,upv,p93,sk,2.6
2012,upv,p94,sk,8.3824
2012,dupv,p94,sk,3.4255
2012,upv,p96,sk,4.6995
2012,upv,p97,sk,95.7658
2012,dupv,p97,sk,6.5728
2012,upv,p98,sk,146.7765
2012,dupv,p98,sk,2.6
2012,upv,p101,sk,38.8297
2012,dupv,p101,sk,2.184
2012,upv,p103,sk,2.457
2012,dupv,p103,sk,4.5721
2012,upv,p105,sk,9.75
2012,upv,p106,sk,4.16
2012,upv,p111,sk,3.9
2012,dupv,p111,sk,2.34
2012,upv,p112,sk,22.23
2012,dupv,p113,sk,2.8808
2012,upv,p114,sk,3.3592
2012,upv,p115,sk,1.6601
2012,upv,p121,sk,47.1575
2012,dupv,p121,sk,0.39
2012,upv,p122,sk,49.0984
2012,dupv,p122,sk,5.8045
2012,upv,p123,sk,27.7823
2012,dupv,p123,sk,1.04
2012,upv,p125,sk,31.59
2012,dupv,p125,sk,1.69
2012,upv,p126,sk,404.8213
2012,dupv,p126,sk,16.5945
2012,dupv,p127,sk,0.975
2012,upv,p128,sk,56.225
2012,dupv,p128,sk,0.65
2012,upv,p129,sk,17.2406
2012,upv,p131,sk,71.9992
2012,dupv,p131,sk,3.0225
2014,upv,p5,sk,1.56
2014,upv,p6,sk,2.6
2014,upv,p7,sk,6.2595
2014,upv,p9,sk,1354.0319
