i,r,UnitCT,value
Geothermal,p9,none,1159.45
Geothermal,p10,none,906
Geothermal,p12,none,332.46
Geothermal,p16,none,10
Geothermal,p25,none,46.5
Geothermal,p33,none,3.2
Geothermal,p36,none,44
Geothermal,p68,none,5.3
Hydro,p1,none,3138.15
Hydro,p2,none,5567.14
Hydro,p3,none,2115.97
Hydro,p4,none,10756.452
Hydro,p5,none,6001.464
Hydro,p6,none,408.93
Hydro,p7,none,231.15
Hydro,p8,none,117.36
Hydro,p9,none,8841.924
Hydro,p10,none,1232.091
Hydro,p11,none,16.05
Hydro,p12,none,12.3
Hydro,p13,none,818.999
Hydro,p14,none,339
Hydro,p15,none,1739.994
Hydro,p16,none,628.061
Hydro,p17,none,1850.8
Hydro,p18,none,661.54
Hydro,p21,none,66.8
Hydro,p24,none,240.8
Hydro,p25,none,95.1
Hydro,p26,none,172.4
Hydro,p27,none,1073.799
Hydro,p28,none,1096.697
Hydro,p31,none,79.9
Hydro,p33,none,306.115
Hydro,p34,none,358
Hydro,p35,none,199.5
Hydro,p36,none,508
Hydro,p38,none,1594
Hydro,p39,none,38
Hydro,p40,none,245.6
Hydro,p42,none,1.1
Hydro,p43,none,153.65
Hydro,p44,none,1.4
Hydro,p46,none,162.755
Hydro,p50,none,416.5
Hydro,p51,none,438.7
Hydro,p53,none,2.59
Hydro,p55,none,300.2
Hydro,p56,none,791.2
Hydro,p58,none,192
Hydro,p61,none,75.8
Hydro,p63,none,112.2
Hydro,p64,none,319.1
Hydro,p65,none,37
Hydro,p66,none,141
Hydro,p68,none,6.66
Hydro,p69,none,0.475
Hydro,p70,none,145
Hydro,p71,none,27
Hydro,p72,none,240.1
Hydro,p74,none,90.9599999999999
Hydro,p75,none,74.99
Hydro,p76,none,81.421
Hydro,p77,none,14.099
Hydro,p80,none,28.5
Hydro,p81,none,4.4
Hydro,p84,none,3
Hydro,p85,none,563.7
Hydro,p89,none,1559.66
Hydro,p90,none,1482.9
Hydro,p92,none,2565.13
Hydro,p93,none,682.5
Hydro,p94,none,2275.38
Hydro,p95,none,453.84
Hydro,p96,none,882.4
Hydro,p97,none,1356.7
Hydro,p98,none,443.64
