i,r,rs,UnitCT,value
dupv,p1,sk,none,0.5
dupv,p10,sk,none,47.08
dupv,p101,sk,none,0.32
dupv,p103,sk,none,0.09
dupv,p11,sk,none,6.278
dupv,p112,sk,none,0.002
dupv,p12,sk,none,0.856
dupv,p121,sk,none,0.215
dupv,p122,sk,none,1.7
dupv,p123,sk,none,0.357
dupv,p126,sk,none,16.482
dupv,p127,sk,none,0.485
dupv,p13,sk,none,4.574
dupv,p131,sk,none,3.541
dupv,p132,sk,none,0.443
dupv,p28,sk,none,9.388
dupv,p30,sk,none,1.155
dupv,p31,sk,none,1.69
dupv,p33,sk,none,6.369
dupv,p34,sk,none,1.459
dupv,p37,sk,none,0.002
dupv,p45,sk,none,0.004
dupv,p5,sk,none,1.511
dupv,p54,sk,none,0.089
dupv,p59,sk,none,0.06
dupv,p63,sk,none,0.004
dupv,p66,sk,none,0.006
dupv,p70,sk,none,0.003
dupv,p72,sk,none,0.042
dupv,p79,sk,none,0.122
dupv,p80,sk,none,0.003
dupv,p81,sk,none,0.068
dupv,p83,sk,none,0.018
dupv,p87,sk,none,0.003
dupv,p9,sk,none,45.111
dupv,p95,sk,none,0.008
dupv,p97,sk,none,1.056
dupv,p98,sk,none,3.911
dupv,p99,sk,none,0.008
upv,p10,sk,none,237.331
upv,p101,sk,none,40.7
upv,p102,sk,none,10
upv,p11,sk,none,3.307
upv,p111,sk,none,1.041
upv,p112,sk,none,12
upv,p113,sk,none,1.1
upv,p12,sk,none,1
upv,p121,sk,none,1.5
upv,p122,sk,none,6.8
upv,p123,sk,none,3.41
upv,p126,sk,none,47.861
upv,p129,sk,none,1
upv,p13,sk,none,72
upv,p131,sk,none,1.8
upv,p145,sk,none,24
upv,p146,sk,none,103.12
upv,p147,sk,none,68.9
upv,p28,sk,none,13.2
upv,p29,sk,none,8.9
upv,p30,sk,none,8.9
upv,p31,sk,none,10
upv,p33,sk,none,15.697
upv,p34,sk,none,9.2
upv,p58,sk,none,1.8
upv,p61,sk,none,1
upv,p65,sk,none,13.5
upv,p80,sk,none,9
upv,p9,sk,none,36.648
upv,p92,sk,none,1.2
upv,p97,sk,none,53.693
upv,p98,sk,none,1.1
wind-ons,p36,s100,none,336.8
wind-ons,p36,s101,none,177.5
wind-ons,p37,s102,none,441.3
wind-ons,p38,s108,none,0.75
wind-ons,p38,s110,none,206.1
wind-ons,p38,s112,none,359.4
wind-ons,p39,s114,none,10.5
wind-ons,p40,s116,none,59.412
wind-ons,p40,s118,none,81
wind-ons,p41,s119,none,61.2
wind-ons,p42,s120,none,3.46
wind-ons,p43,s121,none,26.8
wind-ons,p44,s122,none,3.79
wind-ons,p44,s123,none,1168.2
wind-ons,p43,s124,none,2.5
wind-ons,p43,s125,none,25
wind-ons,p43,s126,none,0.16
wind-ons,p43,s127,none,0.64
wind-ons,p43,s128,none,46.78
wind-ons,p45,s132,none,2050.349
wind-ons,p69,s133,none,77.257
wind-ons,p45,s134,none,452
wind-ons,p52,s135,none,99
wind-ons,p53,s136,none,373
wind-ons,p53,s137,none,450.3
wind-ons,p53,s139,none,150
wind-ons,p54,s144,none,458.5
wind-ons,p54,s145,none,0.024
wind-ons,p47,s148,none,407.48
wind-ons,p48,s149,none,72.3
wind-ons,p48,s150,none,705.5
wind-ons,p50,s153,none,735.4
wind-ons,p50,s154,none,524.4
wind-ons,p50,s155,none,0.005
wind-ons,p50,s156,none,99.2
wind-ons,p51,s157,none,123
wind-ons,p5,s16,none,2141.605
wind-ons,p61,s163,none,621.4
wind-ons,p62,s164,none,623.95
wind-ons,p60,s165,none,3567.625
wind-ons,p61,s166,none,2439.5
wind-ons,p63,s167,none,746
wind-ons,p63,s168,none,112.5
wind-ons,p65,s172,none,150
wind-ons,p65,s174,none,1066.3
wind-ons,p68,s176,none,909.23
wind-ons,p69,s177,none,401.002
wind-ons,p70,s178,none,500.003
wind-ons,p70,s179,none,0.5
wind-ons,p70,s180,none,192.5
wind-ons,p70,s183,none,0.034
wind-ons,p7,s19,none,0.256
wind-ons,p76,s193,none,397.05
wind-ons,p77,s194,none,30
wind-ons,p75,s197,none,41.4
wind-ons,p80,s199,none,458.5
wind-ons,p9,s20,none,101.2
wind-ons,p81,s200,none,287.06
wind-ons,p81,s201,none,1.7
wind-ons,p81,s202,none,0.192
wind-ons,p82,s203,none,100.506
wind-ons,p80,s207,none,810
wind-ons,p83,s208,none,396.01
wind-ons,p83,s209,none,0.002
wind-ons,p103,s214,none,39.25
wind-ons,p103,s218,none,121.8
wind-ons,p105,s221,none,1339.65
wind-ons,p106,s223,none,0.05
wind-ons,p105,s226,none,2
wind-ons,p111,s227,none,7.28
wind-ons,p112,s228,none,1.2
wind-ons,p112,s229,none,0.01
wind-ons,p116,s249,none,100.5
wind-ons,p9,s25,none,1093.12
wind-ons,p116,s250,none,330
wind-ons,p115,s252,none,15
wind-ons,p66,s256,none,0.01
wind-ons,p9,s26,none,35.5
wind-ons,p90,s267,none,0.01
wind-ons,p90,s268,none,0.022
wind-ons,p92,s281,none,28.8
wind-ons,p98,s291,none,0.002
wind-ons,p98,s293,none,0.002
wind-ons,p98,s294,none,0.002
wind-ons,p10,s30,none,1414.89
wind-ons,p125,s318,none,2
wind-ons,p11,s32,none,50
wind-ons,p122,s322,none,413.7
wind-ons,p122,s323,none,165
wind-ons,p122,s324,none,24
wind-ons,p122,s325,none,128
wind-ons,p10,s33,none,636.08
wind-ons,p126,s332,none,7.5
wind-ons,p127,s333,none,365.633
wind-ons,p127,s334,none,76.143
wind-ons,p127,s335,none,126.018
wind-ons,p127,s336,none,0.038
wind-ons,p127,s337,none,322.01
wind-ons,p127,s338,none,387.016
wind-ons,p127,s339,none,0.01
wind-ons,p12,s34,none,0.01
wind-ons,p127,s340,none,0.004
wind-ons,p133,s346,none,1.5
wind-ons,p131,s347,none,10.119
wind-ons,p131,s348,none,4.36
wind-ons,p131,s349,none,4.9
wind-ons,p129,s352,none,6.2
wind-ons,p130,s354,none,24
wind-ons,p134,s355,none,174
wind-ons,p134,s356,none,91.5
wind-ons,p139,s366,none,102
wind-ons,p140,s367,none,808.175
wind-ons,p142,s369,none,171.05
wind-ons,p143,s370,none,103.95
wind-ons,p145,s372,none,197.5
wind-ons,p146,s373,none,988.45
