t,r,i,UnitCT,value
2064,p10,biopower,dry,1.1
2066,p10,biopower,dry,1.4
2064,p101,biopower,dry,1.6
2056,p103,biopower,dry,1.4
2060,p103,biopower,dry,1.5
2066,p103,biopower,dry,1.4
2066,p105,biopower,dry,2
2064,p112,biopower,dry,1
2040,p127,biopower,dry,0.7
2064,p127,biopower,dry,1.3
2066,p127,biopower,dry,0.35
2064,p141,biopower,dry,3.6
2066,p141,biopower,dry,9
2068,p141,biopower,dry,3.6
2066,p5,biopower,dry,1.7
2058,p63,biopower,dry,4.75
2062,p75,biopower,dry,1.4
2058,p76,biopower,dry,1.2
2064,p76,biopower,dry,1.4
2064,p77,biopower,dry,1.6
2064,p79,biopower,dry,2
2040,p9,biopower,dry,25.5
2064,p9,biopower,dry,0.472
2066,p9,biopower,dry,1.2
2070,p9,biopower,dry,2
2068,p90,biopower,dry,62
2068,p92,biopower,dry,5
2068,p94,biopower,dry,58
2060,p20,coal-new,dry,52
2060,p23,coal-new,dry,91
2068,p23,coal-new,dry,91
2074,p23,coal-new,dry,90
2040,p23,coaloldscr,dry,332
2012,p116,coalolduns,dry,74
2012,p9,coalolduns,dry,38.6
2064,p122,gas-cc,dry,758
2078,p123,gas-cc,dry,1000
2074,p125,gas-cc,dry,62
2064,p127,gas-cc,dry,994.1
2066,p127,gas-cc,dry,540
2072,p127,gas-cc,dry,543.6
2060,p13,gas-cc,dry,494.58
2064,p13,gas-cc,dry,1624.4
2066,p13,gas-cc,dry,1128
2062,p131,gas-cc,dry,979.163
2064,p131,gas-cc,dry,1417.224
2078,p131,gas-cc,dry,340
2062,p132,gas-cc,dry,757.311
2060,p133,gas-cc,dry,265.2
2060,p134,gas-cc,dry,244.281
2064,p2,gas-cc,dry,733.7
2066,p25,gas-cc,dry,524
2064,p34,gas-cc,dry,461.5
2068,p47,gas-cc,dry,530.4
2010,p60,gas-cc,dry,231
2060,p63,gas-cc,dry,470
2062,p63,gas-cc,dry,974
2062,p64,gas-cc,dry,880.6
2078,p67,gas-cc,dry,25.5
2064,p88,gas-cc,dry,766
2080,p97,gas-cc,dry,586.4
2066,p10,gas-ct,dry,190
2066,p101,gas-ct,dry,462
2068,p102,gas-ct,dry,879
2066,p103,gas-ct,dry,446.1
2068,p103,gas-ct,dry,7.8
2068,p107,gas-ct,dry,78.6
2064,p11,gas-ct,dry,48.71
2066,p11,gas-ct,dry,291
2068,p11,gas-ct,dry,526.5
2066,p111,gas-ct,dry,16.5
2066,p112,gas-ct,dry,8
2064,p122,gas-ct,dry,6.086
2066,p122,gas-ct,dry,21.2
2066,p123,gas-ct,dry,120
2068,p123,gas-ct,dry,3.12
2066,p126,gas-ct,dry,64
2068,p126,gas-ct,dry,128
2036,p127,gas-ct,dry,5
2066,p127,gas-ct,dry,13.3
2066,p128,gas-ct,dry,1.97
2066,p131,gas-ct,dry,3.8
2068,p131,gas-ct,dry,200.557
2070,p131,gas-ct,dry,13.5
2064,p132,gas-ct,dry,10
2068,p132,gas-ct,dry,100
2064,p140,gas-ct,dry,9.9
2066,p140,gas-ct,dry,64.8
2068,p140,gas-ct,dry,64.05
2016,p141,gas-ct,dry,0.07
2064,p141,gas-ct,dry,139.394
2066,p141,gas-ct,dry,393.912
2068,p141,gas-ct,dry,354.64
2070,p141,gas-ct,dry,600
2066,p158,gas-ct,dry,26.1
2066,p16,gas-ct,dry,4.6
2066,p172,gas-ct,dry,131.523
2068,p172,gas-ct,dry,160
2066,p173,gas-ct,dry,200
2066,p182,gas-ct,dry,393
2066,p187,gas-ct,dry,147.3
2068,p194,gas-ct,dry,130.64
2066,p198,gas-ct,dry,13.2
2066,p200,gas-ct,dry,19
2064,p205,gas-ct,dry,26
2066,p205,gas-ct,dry,20
2066,p21,gas-ct,dry,7
2064,p25,gas-ct,dry,6
2066,p25,gas-ct,dry,5
2066,p26,gas-ct,dry,4.2
2068,p28,gas-ct,dry,209.4
2070,p28,gas-ct,dry,104.7
2066,p31,gas-ct,dry,58
2066,p34,gas-ct,dry,40
2066,p35,gas-ct,dry,18
2064,p36,gas-ct,dry,168
2066,p36,gas-ct,dry,80
2068,p36,gas-ct,dry,191.6
2068,p41,gas-ct,dry,9
2068,p43,gas-ct,dry,346.8
2068,p45,gas-ct,dry,9.75
2066,p48,gas-ct,dry,738.9
2064,p5,gas-ct,dry,224.2
2066,p50,gas-ct,dry,232.898
2068,p50,gas-ct,dry,399
2064,p52,gas-ct,dry,108
2066,p53,gas-ct,dry,30.5
2068,p53,gas-ct,dry,56.37
2066,p56,gas-ct,dry,5.2
2066,p58,gas-ct,dry,59.073
2066,p59,gas-ct,dry,390
2066,p62,gas-ct,dry,294
2066,p63,gas-ct,dry,135
2068,p63,gas-ct,dry,312.96
2070,p63,gas-ct,dry,667
2066,p65,gas-ct,dry,219.6
2068,p65,gas-ct,dry,286
2070,p65,gas-ct,dry,210
2068,p66,gas-ct,dry,270
2064,p67,gas-ct,dry,75
2066,p67,gas-ct,dry,162
2068,p67,gas-ct,dry,607.4
2064,p68,gas-ct,dry,26
2066,p73,gas-ct,dry,24
2068,p74,gas-ct,dry,49.8
2070,p74,gas-ct,dry,183
2034,p79,gas-ct,dry,2.7
2064,p80,gas-ct,dry,5.4
2066,p80,gas-ct,dry,6.6
2066,p81,gas-ct,dry,42
2064,p84,gas-ct,dry,46.7
2066,p9,gas-ct,dry,3.5
2068,p98,gas-ct,dry,90
2068,p99,gas-ct,dry,300
2074,p10,o-g-s,dry,1
2064,p111,o-g-s,dry,14
2066,p115,o-g-s,dry,10
2074,p125,o-g-s,dry,3.7
2068,p127,o-g-s,dry,2.3
2074,p127,o-g-s,dry,2.7
2020,p131,o-g-s,dry,4.1
2022,p131,o-g-s,dry,4.999
2068,p140,o-g-s,dry,2
