i,v,rs,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034
wind-ons_1,'init-1',s100,0,0,0,0,0,0,0,0,0,0,0,0,0,25.35519449,12.15833502,47.79745456
wind-ons_1,'init-1',s101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.5,0
wind-ons_1,'init-1',s102,0,0,0,0,0,0,0,0,0,0,0,0.122235117,8.352733003,0,26.68800057,24.77298373
wind-ons_1,'init-1',s108,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0
wind-ons_1,'init-1',s110,0,0,0,0,0,0,0,0,0,0,0,1.133929321,17.6631298,0,0,71.08864587
wind-ons_1,'init-1',s112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.4
wind-ons_1,'init-1',s116,0,0,0,0,0,0,0,0,0,0,0,0,0,59.4,0.012,0
wind-ons_1,'init-1',s118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
wind-ons_1,'init-1',s119,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,60
wind-ons_1,'init-1',s123,0,0,0,0,0,0,0,15.46041299,0,75.67836863,100.5985777,31.8385674,137.2729364,18.9548899,264.3095263,180.5832714
wind-ons_1,'init-1',s125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06075,0
wind-ons_1,'init-1',s134,0,0,0,0,0,0,0,0,0,0,0,0,0,65.07365956,232.0303215,0
wind-ons_1,'init-1',s136,0,0,0,0,0,0,0,0,0,0,0,112,0,100.5,0,160.5
wind-ons_1,'init-1',s139,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0
wind-ons_1,'init-1',s148,0,0,0,0,0,0,0,0,0,0,0.66,0,205.32,200,1.5,0
wind-ons_1,'init-1',s149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.8,2.5
wind-ons_1,'init-1',s150,0,0,0,0,0,0,0,0,0,0,0,80,3,130,345,147.5
wind-ons_1,'init-1',s153,0,0,0,0,0,0,0,0,0,0,0,0,102,147,214.5,271.9
wind-ons_1,'init-1',s154,0,0,0,0,0,0,0,0,0,0,0,0,74.3,151,0,299.1
wind-ons_1,'init-1',s155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005
wind-ons_1,'init-1',s156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2
wind-ons_1,'init-1',s157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.24121427
wind-ons_1,'init-1',s16,0,0,0,0,0,0,0,0,0,1.622356475,0,12.57650739,2.660664619,11.38894245,45.54876124,62.61082471
wind-ons_1,'init-1',s163,0,0,0,0,0,0,0,0,33.6,0,30,407.8,0,0,150,0
wind-ons_1,'init-1',s164,0,0,0,0,0,0,0,0,0,0,34.62297736,128.428164,0,0,97.29056638,27.69838189
wind-ons_1,'init-1',s165,0,0,0,0,0,0,0,0,0,0,17.23145984,62.34408928,82.40225954,179.8664005,838.9593088,311.4596797
wind-ons_1,'init-1',s166,0,0,0,0,0,0,0,0,0,0,0,0,0,849.5,1255.9,320.6
wind-ons_1,'init-1',s167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,166
wind-ons_1,'init-1',s172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
wind-ons_1,'init-1',s174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.38070167
wind-ons_1,'init-1',s176,0,0,0,0,0,0,0,0,0,0,0,0,19.75019133,122.8020492,287.4529996,84.20711948
wind-ons_1,'init-1',s197,0,0,0,0,0,0,0,0,0,0,0.793620193,0,0,0,0,0.785762568
wind-ons_1,'init-1',s20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.01104997
wind-ons_1,'init-1',s249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.67030072
wind-ons_1,'init-1',s250,0,0,0,0,0,0,0,0,0,0,0,58.3418725,0,0,233.36749,0
wind-ons_1,'init-1',s252,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
wind-ons_1,'init-1',s294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0
wind-ons_1,'init-1',s30,0,1.698311506,4.550193092,4.038868577,3.437821944,8.331339465,3.836078281,0.19226168,0,0.520479834,3.369157058,0.407411655,3.977985711,1.437384941,1.098638171,26.84934361
wind-ons_1,'init-1',s322,0,0,0,0,0,0,0,0,0,0,7.624667249,6.598269735,21.99423245,0,131.4521959,135.6311001
wind-ons_1,'init-1',s323,0,0,0,0,0,0,0,0,0,0,0,0,12.60529352,0,0,19.64080619
wind-ons_1,'init-1',s324,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
wind-ons_1,'init-1',s33,0,0,5.047556131,11.88251925,2.814450859,1.273423667,0,1.817858424,0,0.872018381,9.190796904,15.60405378,0,0,5.998010028,0.599801003
wind-ons_1,'init-1',s335,0,0,0.004829803,0,0,0,0,0,0,0,0,0,0,0,0,33.80862196
wind-ons_1,'init-1',s338,0,0.005471355,0.003282813,0,0,0,0,0,0,0,0,0,0,0,100.1258027,111.6156489
wind-ons_1,'init-1',s339,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
wind-ons_1,'init-1',s347,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,2.089,7.75
wind-ons_1,'init-1',s349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4.8
wind-ons_1,'init-1',s352,0,0,0,0,0,0.2,0,0,0,6,0,0,0,0,0,0
wind-ons_1,'init-1',s5,0,0,0,0,0,0,0,0,0,0,0,0,0,11.80451141,17.71863095,35.45505764
wind-ons_1,'init-1',s64,0,0,0,0,0,0,0,0,0,0,0,0,0,10,106.5,103.5
wind-ons_1,'init-1',s66,0,0,0,0,0,0,0,0,0,0,0,0,0.5,135.8,2,0
wind-ons_1,'init-1',s67,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
wind-ons_1,'init-1',s71,0,0,0,0,0,0,0,0,0,0,0,0,144,0,140.7,0
wind-ons_1,'init-1',s74,0,0,0,0,0,0,0,0,0,1.2,89.7,51.4,0,1.32,247.5,736.2
wind-ons_1,'init-1',s87,0,0,0,0,0,0,0,0,0,0,0,0,175.5,0,75,0
wind-ons_1,'init-1',s92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
wind-ons_1,'init-1',s93,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0
wind-ons_1,'init-1',s96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,10.5
wind-ons_1,'init-1',s98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5
wind-ons_1,'init-1',s99,0,0,0,0,0,0,0,0,0,0,0,2.6,0,11.9,199.51,318.1
wind-ons_2,'init-1',s100,0,0,0,0,0,0,0,0,0,0,0,0,0,74.74480551,35.84166498,140.9025454
wind-ons_2,'init-1',s102,0,0,0,0,0,0,0,0,0,0,0,0.777764883,53.147267,0,169.8119994,157.6270163
wind-ons_2,'init-1',s110,0,0,0,0,0,0,0,0,0,0,0,1.466070679,22.8368702,0,0,91.91135413
wind-ons_2,'init-1',s114,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0
wind-ons_2,'init-1',s121,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0.15,25
wind-ons_2,'init-1',s122,0,0,0,0,0,0,0,0,0,0.23,0,0,1.7,1.7,0,0.16
wind-ons_2,'init-1',s123,0,0,0,0,0,0,0,6.439587005,0,31.52163137,41.90142229,13.2614326,57.17706361,7.895110095,110.0904737,75.21672858
wind-ons_2,'init-1',s125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.581600085,0
wind-ons_2,'init-1',s128,0,0,0,0,0,0,0,0,0,0,0,4.644891838,18.29571285,0,0.020643964,0.33030342
wind-ons_2,'init-1',s132,0,0,0,0,0,0,0,0,0,1.45,239.8,178,219,16,847.219,549.3
wind-ons_2,'init-1',s134,0,0,0,0,0,0,0,0,0,0,0,0,0,33.92634044,120.9696785,0
wind-ons_2,'init-1',s135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
wind-ons_2,'init-1',s137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.3,0
wind-ons_2,'init-1',s157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.75878573
wind-ons_2,'init-1',s16,0,0,0,0,0,0,0,0,0,1.013701821,0,7.85821652,1.662470987,7.116186787,28.46036796,39.12130782
wind-ons_2,'init-1',s164,0,0,0,0,0,0,0,0,0,0,40.37702264,149.771836,0,0,113.4594336,32.30161811
wind-ons_2,'init-1',s165,0,0,0,0,0,0,0,0,0,0,24.06854016,87.08091072,115.0977405,251.2335995,1171.840691,435.0403203
wind-ons_2,'init-1',s168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.5,0
wind-ons_2,'init-1',s174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.6706018
wind-ons_2,'init-1',s176,0,0,0,0,0,0,0,0,0,0,0,0,15.14980867,94.19795075,220.4970004,64.59288052
wind-ons_2,'init-1',s178,0,0,0,0,0,0,0,0,0,0,0,0,0,115.3763276,102.9050821,93.54837374
wind-ons_2,'init-1',s180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.5,3
wind-ons_2,'init-1',s197,0,0,0,0,0,0,0,0,0,0,8.398160077,0,0,0,0,8.315009977
wind-ons_2,'init-1',s20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.111450076
wind-ons_2,'init-1',s214,0,0,0,0,0,0,0,0,0,0,0,1.190173748,0,0,3.306038189,21.45618785
wind-ons_2,'init-1',s250,0,0,0,0,0,0,0,0,0,0,0,7.658127501,0,0,30.63251,0
wind-ons_2,'init-1',s322,0,0,0,0,0,0,0,0,0,0,2.775332751,2.401730265,8.005767551,0,47.84780406,49.3688999
wind-ons_2,'init-1',s323,0,0,0,0,0,0,0,0,0,0,0,0,32.93334848,0,0,51.31475228
wind-ons_2,'init-1',s335,0,0,0.008496844,0,0,0,0,0,0,0,0,0,0,0,0,59.47790663
wind-ons_2,'init-1',s338,0,0.002713702,0.001628221,0,0,0,0,0,0,0,0,0,0,0,49.66074201,55.35951568
wind-ons_2,'init-1',s4,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5307797,0,36.49443164
wind-ons_2,'init-1',s48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99309992
wind-ons_2,'init-1',s5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832142999,1.249050823,2.499356134
wind-ons_2,'init-1',s68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
wind-ons_3,'init-1',s120,0,0,0,0,0,0,0,0,0,0,0.7,2.6,0,0,0,0.16
wind-ons_3,'init-1',s124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0
