t,i,r,UnitCT,value
2014,biopower,p99,once,81
2014,coal-igcc,p107,once,618
2012,coal-new,p79,once,35.8308823529412
2012,coal-new,p99,once,16.8888888888889
2016,coal-new,p122,once,742
2018,coal-new,p122,once,669
2012,coal-new,p131,once,25.5953166815343
2012,gas-cc,p9,once,41.4782608695652
2014,gas-cc,p10,once,510
2014,gas-cc,p58,once,561
2014,gas-cc,p64,once,516
2012,gas-cc,p92,once,878
2018,gas-cc,p92,once,1052.1
2012,gas-cc,p97,once,1240
2014,gas-cc,p102,once,2422
2016,gas-cc,p102,once,1277
2012,gas-cc,p122,once,126.4
2018,gas-cc,p122,once,1064
2018,gas-cc,p126,once,717
2014,nuclear,p41,once,62.1317157712305
2012,nuclear,p75,once,207.835769828927
2016,nuclear,p95,once,19.0570784914319
2014,nuclear,p97,once,38.70699450866
2012,nuclear,p99,once,104.224695336641
2012,nuclear,p102,once,419.111324074074
2018,nuclear,p104,once,86.1033686390061
2016,nuclear,p122,once,248.30846769523
2016,o-g-s,p43,once,88.9
2012,o-g-s,p53,once,92
2016,o-g-s,p53,once,157
2016,o-g-s,p54,once,96.3
2016,o-g-s,p69,once,49.4
2016,o-g-s,p70,once,125
2016,o-g-s,p75,once,64.7
2014,o-g-s,p79,once,120
2016,o-g-s,p79,once,120
2016,o-g-s,p80,once,1350
2016,o-g-s,p87,once,236
2016,o-g-s,p89,once,1517
2016,o-g-s,p90,once,405
2012,o-g-s,p96,once,95
2018,o-g-s,p96,once,250
2014,o-g-s,p101,once,1041
2016,o-g-s,p106,once,210
2014,o-g-s,p122,once,377
2016,o-g-s,p122,once,305
2014,o-g-s,p127,once,358.5
2012,biopower,p5,recirc,5.163
2014,biopower,p5,recirc,2.382
2012,biopower,p9,recirc,20.3
2016,biopower,p9,recirc,1.028
2012,biopower,p10,recirc,2
2016,biopower,p10,recirc,2.4
2018,biopower,p10,recirc,3.828
2012,biopower,p11,recirc,1.8
2012,biopower,p15,recirc,4.35
2012,biopower,p16,recirc,1.8
2012,biopower,p25,recirc,3
2014,biopower,p43,recirc,7.6
2014,biopower,p46,recirc,3.124
2014,biopower,p54,recirc,2.4
2012,biopower,p58,recirc,4.31
2012,biopower,p66,recirc,105
2014,biopower,p70,recirc,1
2014,biopower,p78,recirc,2
2012,biopower,p94,recirc,52.3
2014,biopower,p94,recirc,54.5
2016,biopower,p94,recirc,56
2012,biopower,p96,recirc,16
2014,biopower,p97,recirc,1.4
2014,biopower,p99,recirc,44.3
2014,biopower,p101,recirc,104.1
2012,biopower,p103,recirc,2.814
2014,biopower,p105,recirc,1.112
2016,biopower,p105,recirc,1
2012,biopower,p127,recirc,15
2018,biopower,p127,recirc,23
2020,biopower,p127,recirc,19
2014,biopower,p130,recirc,58.7
2014,biopower,p132,recirc,37.5
2014,biopower,p133,recirc,1.682
2012,biopower,p134,recirc,1
2018,coal-igcc,p105,recirc,67.2153846153846
2012,coal-new,p23,recirc,380
2012,coal-new,p25,recirc,12.8154437024512
