,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p1,0.004,0.347,0.412,0.051,0.0,0.244,0.246,0.006,0.0,0.112,0.115,0.0,0.002,0.281,0.303,0.025,0.388
p10,0.003,0.444,0.488,0.03,0.0,0.399,0.369,0.004,0.0,0.296,0.272,0.001,0.001,0.421,0.448,0.017,0.471
p100,0.002,0.353,0.366,0.036,0.0,0.298,0.282,0.007,0.0,0.235,0.249,0.002,0.001,0.337,0.358,0.026,0.349
p101,0.0,0.346,0.357,0.029,0.0,0.322,0.326,0.011,0.0,0.284,0.336,0.008,0.0,0.378,0.435,0.031,0.265
p102,0.0,0.348,0.365,0.027,0.0,0.328,0.322,0.008,0.0,0.291,0.335,0.006,0.0,0.383,0.427,0.024,0.284
p103,0.001,0.33,0.416,0.061,0.0,0.247,0.298,0.016,0.0,0.144,0.211,0.005,0.0,0.303,0.385,0.043,0.411
p104,0.001,0.336,0.42,0.061,0.0,0.249,0.302,0.017,0.0,0.135,0.203,0.006,0.0,0.3,0.38,0.043,0.418
p105,0.002,0.352,0.418,0.049,0.0,0.28,0.307,0.013,0.0,0.164,0.214,0.004,0.001,0.319,0.376,0.033,0.395
p106,0.0,0.326,0.435,0.059,0.0,0.277,0.349,0.019,0.0,0.165,0.256,0.007,0.0,0.294,0.395,0.042,0.361
p107,0.002,0.349,0.417,0.046,0.0,0.31,0.338,0.013,0.0,0.193,0.25,0.005,0.001,0.317,0.377,0.032,0.381
p108,0.004,0.395,0.353,0.023,0.0,0.361,0.274,0.003,0.0,0.229,0.207,0.001,0.002,0.366,0.326,0.014,0.342
p109,0.0,0.33,0.417,0.053,0.0,0.28,0.337,0.015,0.0,0.184,0.26,0.006,0.0,0.303,0.38,0.038,0.396
p11,0.002,0.446,0.441,0.018,0.0,0.411,0.347,0.001,0.0,0.333,0.278,0.0,0.001,0.44,0.42,0.01,0.457
p110,0.001,0.32,0.397,0.048,0.0,0.277,0.335,0.014,0.0,0.19,0.263,0.005,0.0,0.298,0.362,0.033,0.396
p111,0.001,0.338,0.412,0.044,0.0,0.279,0.312,0.01,0.0,0.172,0.217,0.003,0.0,0.317,0.376,0.029,0.387
p112,0.001,0.34,0.403,0.047,0.0,0.286,0.314,0.012,0.0,0.173,0.22,0.004,0.0,0.314,0.361,0.032,0.38
p113,0.001,0.324,0.427,0.057,0.0,0.278,0.35,0.016,0.0,0.173,0.255,0.006,0.0,0.296,0.382,0.039,0.4
p114,0.0,0.327,0.421,0.048,0.0,0.295,0.345,0.014,0.0,0.2,0.27,0.006,0.0,0.308,0.368,0.034,0.384
p115,0.001,0.323,0.389,0.046,0.0,0.264,0.296,0.01,0.0,0.169,0.221,0.002,0.001,0.298,0.354,0.031,0.349
p116,0.001,0.343,0.393,0.038,0.0,0.293,0.309,0.008,0.0,0.22,0.261,0.002,0.0,0.328,0.369,0.025,0.364
p117,0.001,0.32,0.407,0.049,0.0,0.279,0.331,0.013,0.0,0.191,0.269,0.004,0.0,0.299,0.375,0.032,0.415
p118,0.001,0.337,0.393,0.04,0.0,0.297,0.333,0.011,0.0,0.235,0.296,0.004,0.0,0.332,0.382,0.03,0.378
p119,0.002,0.349,0.368,0.037,0.0,0.278,0.267,0.006,0.0,0.193,0.207,0.001,0.001,0.333,0.342,0.024,0.313
p12,0.006,0.505,0.454,0.032,0.0,0.462,0.357,0.004,0.0,0.3,0.249,0.001,0.003,0.479,0.419,0.019,0.373
p120,0.002,0.352,0.379,0.037,0.0,0.28,0.281,0.007,0.0,0.208,0.223,0.002,0.001,0.331,0.365,0.026,0.315
p121,0.002,0.362,0.361,0.036,0.0,0.301,0.275,0.007,0.0,0.226,0.229,0.002,0.001,0.338,0.339,0.026,0.312
p122,0.003,0.366,0.344,0.032,0.0,0.305,0.255,0.005,0.0,0.226,0.207,0.001,0.002,0.35,0.329,0.021,0.32
p123,0.002,0.376,0.357,0.032,0.0,0.312,0.271,0.006,0.0,0.236,0.231,0.001,0.001,0.356,0.345,0.022,0.345
p124,0.002,0.355,0.425,0.037,0.0,0.302,0.322,0.006,0.0,0.216,0.254,0.001,0.001,0.339,0.402,0.026,0.417
p125,0.003,0.372,0.34,0.032,0.0,0.318,0.263,0.005,0.0,0.246,0.219,0.001,0.002,0.368,0.342,0.021,0.368
p126,0.003,0.368,0.339,0.029,0.0,0.314,0.257,0.004,0.0,0.232,0.203,0.0,0.002,0.354,0.329,0.018,0.35
p127,0.004,0.365,0.349,0.034,0.0,0.287,0.244,0.005,0.0,0.191,0.177,0.001,0.002,0.344,0.325,0.022,0.334
