filename,folder,method,sumcol,header
cap_new_ann,outputs,concatenate,,
cap,outputs,concatenate,,
crf,inputs_case,keepfirst,,
df_capex_init,inputs_case,concatenate,,
df_sc_out_upv_reduced,outputs,concatenate,,
df_sc_out_wind-ofs_reduced,outputs,concatenate,,
df_sc_out_wind-ons_reduced,outputs,concatenate,,
emit_nat,outputs,concatenate,,
gen_ann,outputs,concatenate,,
gen_h,outputs,concatenate,,
hierarchy,inputs_case,keepfirst,,
hierarchy_original,inputs_case,keepfirst,,
reqt_price,outputs,concatenate,,
reqt_price,outputs,concatenate,,
ret_ann,outputs,concatenate,,
scalars,inputs_case,keepfirst,,
switches,inputs_case,keepfirst,,none
systemcost,outputs,sum,Value,
tran_mi_out,outputs,sum,Value,
tran_out,outputs,concatenate,,
val_r,inputs_case,concatenate,,none
