*tech,year,sc_point_gid,capacity
geohydro_allkm_9,2010,31618,10.0
geohydro_allkm_9,2010,33104,13.0
geohydro_allkm_9,2010,33483,13.0
geohydro_allkm_9,2010,33484,13.0
geohydro_allkm_9,2010,34609,1.1
geohydro_allkm_9,2010,34613,0.9
geohydro_allkm_9,2010,34614,0.9
geohydro_allkm_9,2010,34989,1.1
geohydro_allkm_10,2010,35373,0.6
geohydro_allkm_10,2010,35374,0.9
geohydro_allkm_9,2010,36153,12.8
geohydro_allkm_9,2010,36895,4.3
geohydro_allkm_9,2010,37274,7.5
geohydro_allkm_9,2010,37276,7.5
geohydro_allkm_9,2010,37283,8.81
geohydro_allkm_9,2010,37284,8.07
geohydro_allkm_9,2010,37625,9.0
geohydro_allkm_9,2010,37626,9.0
geohydro_allkm_9,2010,37627,19.0
geohydro_allkm_9,2010,37648,0.9
geohydro_allkm_9,2010,37649,5.4
geohydro_allkm_9,2010,37650,0.9
geohydro_allkm_9,2010,37654,6.3
geohydro_allkm_9,2010,37655,10.0
geohydro_allkm_9,2010,37656,7.3
geohydro_allkm_9,2010,37657,0.9
geohydro_allkm_9,2010,37663,25.72
geohydro_allkm_9,2010,37664,13.41
geohydro_allkm_9,2010,38005,9.0
geohydro_allkm_8,2010,38006,50.0
geohydro_allkm_8,2010,38007,50.0
geohydro_allkm_8,2010,38008,50.0
geohydro_allkm_9,2010,38009,19.0
geohydro_allkm_9,2010,38028,9.0
geohydro_allkm_9,2010,38029,10.0
geohydro_allkm_9,2010,38030,5.4
geohydro_allkm_9,2010,38036,1.3
geohydro_allkm_10,2010,38037,1.2
geohydro_allkm_9,2010,38385,40.0
geohydro_allkm_8,2010,38386,60.0
geohydro_allkm_7,2010,38387,65.0
geohydro_allkm_8,2010,38388,60.0
geohydro_allkm_9,2010,38389,25.0
geohydro_allkm_9,2010,38408,10.0
geohydro_allkm_9,2010,38410,10.0
geohydro_allkm_9,2010,38416,1.3
geohydro_allkm_10,2010,38417,10.1
geohydro_allkm_10,2010,38418,10.1
geohydro_allkm_9,2010,38765,45.0
geohydro_allkm_8,2010,38766,60.0
geohydro_allkm_8,2010,38767,68.0
geohydro_allkm_9,2010,38768,60.0
geohydro_allkm_9,2010,38769,26.0
geohydro_allkm_10,2010,38787,3.7
geohydro_allkm_9,2010,38788,10.0
geohydro_allkm_9,2010,38789,10.9
geohydro_allkm_9,2010,38790,5.4
geohydro_allkm_9,2010,38794,1.2
geohydro_allkm_9,2010,38795,1.3
geohydro_allkm_9,2010,38796,1.3
geohydro_allkm_9,2010,38797,10.1
geohydro_allkm_9,2010,38798,10.1
geohydro_allkm_9,2010,39145,40.0
geohydro_allkm_8,2010,39146,50.0
geohydro_allkm_8,2010,39147,51.0
geohydro_allkm_9,2010,39148,45.0
geohydro_allkm_9,2010,39149,12.2
geohydro_allkm_9,2010,39169,5.4
geohydro_allkm_10,2010,39172,0.4
geohydro_allkm_9,2010,39174,0.8
geohydro_allkm_9,2010,39175,1.1
geohydro_allkm_9,2010,39176,0.9
geohydro_allkm_9,2010,39526,25.0
geohydro_allkm_9,2010,39527,40.0
geohydro_allkm_9,2010,39528,12.2
geohydro_allkm_10,2010,39551,0.4
geohydro_allkm_9,2010,39556,10.1
geohydro_allkm_9,2010,39557,10.1
geohydro_allkm_9,2010,40313,0.1
geohydro_allkm_9,2010,44870,3.3
geohydro_allkm_9,2010,44871,3.3
geohydro_allkm_10,2010,44872,3.3
geohydro_allkm_10,2010,45249,1.32
geohydro_allkm_9,2010,45250,4.2
geohydro_allkm_9,2010,45251,3.8
geohydro_allkm_9,2010,45252,3.3
geohydro_allkm_10,2010,45629,3.3
geohydro_allkm_8,2010,45631,4.6
geohydro_allkm_9,2010,45632,1.98
geohydro_allkm_9,2010,45675,23.0
geohydro_allkm_9,2010,46010,0.89
geohydro_allkm_9,2010,46011,2.41
geohydro_allkm_9,2010,46012,3.3
geohydro_allkm_10,2010,46055,8.7
geohydro_allkm_9,2010,47192,11.0
geohydro_allkm_9,2010,51713,23.4
geohydro_allkm_8,2010,51714,22.49
geohydro_allkm_8,2010,51715,4.21
geohydro_allkm_9,2010,51716,22.5
geohydro_allkm_9,2010,52093,20.95
geohydro_allkm_8,2010,52094,13.31
geohydro_allkm_8,2010,52095,12.99
geohydro_allkm_9,2010,52096,26.9
geohydro_allkm_10,2010,52472,0.53
geohydro_allkm_9,2010,52473,6.05
geohydro_allkm_8,2010,52474,3.7
geohydro_allkm_9,2010,52477,21.8
geohydro_allkm_9,2010,52853,14.21
geohydro_allkm_9,2010,52854,27.5
geohydro_allkm_9,2010,53233,8.74
geohydro_allkm_9,2010,53234,0.02
geohydro_allkm_7,2010,63883,4.0
geohydro_allkm_7,2010,63884,10.0
geohydro_allkm_7,2010,63885,9.0
geohydro_allkm_8,2010,63886,0.6
