r,tg,2026,2027,2028,2029,2030
p01001,battery,0.0,0.0,26.66666666666424,53.33333333333576,80.0
p01001,biomass,0.0,0.0,0.0,0.0,0.0
p01001,coal,0.0,0.0,0.0,0.0,0.0
p01001,gas,475.5,951.0,1268.0,1585.0,1902.0
p01001,geothermal,0.0,0.0,0.0,0.0,0.0
p01001,h2,0.0,0.0,0.0,0.0,0.0
p01001,hydro,0.0,0.0,0.0,0.0,0.0
p01001,nuclear,0.0,0.0,0.0,0.0,0.0
p01001,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01001,pv,0.0,0.0,26.66666666666424,53.33333333333576,80.0
p01001,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01001,wind-ons,0.0,0.0,0.0,0.0,0.0
p01003,battery,0.0,0.0,80.0,160.0,240.0
p01003,biomass,0.0,0.0,0.0,0.0,0.0
p01003,coal,0.0,0.0,0.0,0.0,0.0
p01003,gas,0.0,0.0,0.0,0.0,0.0
p01003,geothermal,0.0,0.0,0.0,0.0,0.0
p01003,h2,0.0,0.0,0.0,0.0,0.0
p01003,hydro,0.0,0.0,0.0,0.0,0.0
p01003,nuclear,0.0,0.0,0.0,0.0,0.0
p01003,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01003,pv,0.0,0.0,220.0,440.0,660.0
p01003,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01003,wind-ons,0.0,0.0,0.0,0.0,0.0
p01011,battery,0.0,0.0,0.0,0.0,0.0
p01011,biomass,0.0,0.0,0.0,0.0,0.0
p01011,coal,0.0,0.0,0.0,0.0,0.0
p01011,gas,0.0,0.0,0.0,0.0,0.0
p01011,geothermal,0.0,0.0,0.0,0.0,0.0
p01011,h2,0.0,0.0,0.0,0.0,0.0
p01011,hydro,0.0,0.0,0.0,0.0,0.0
p01011,nuclear,0.0,0.0,0.0,0.0,0.0
p01011,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01011,pv,0.0,0.0,66.66666666665697,133.33333333334303,200.0
p01011,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01011,wind-ons,0.0,0.0,0.0,0.0,0.0
p01017,battery,0.0,0.0,26.66666666666424,53.33333333333576,80.0
p01017,biomass,0.0,0.0,0.0,0.0,0.0
p01017,coal,0.0,0.0,0.0,0.0,0.0
p01017,gas,0.0,0.0,0.0,0.0,0.0
p01017,geothermal,0.0,0.0,0.0,0.0,0.0
p01017,h2,0.0,0.0,0.0,0.0,0.0
p01017,hydro,0.0,0.0,0.0,0.0,0.0
p01017,nuclear,0.0,0.0,0.0,0.0,0.0
p01017,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01017,pv,0.0,0.0,26.66666666666424,53.33333333333576,80.0
p01017,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01017,wind-ons,0.0,0.0,0.0,0.0,0.0
p01031,battery,0.0,0.0,26.66666666666424,53.33333333333576,80.0
p01031,biomass,0.0,0.0,0.0,0.0,0.0
p01031,coal,0.0,0.0,0.0,0.0,0.0
p01031,gas,0.0,0.0,0.0,0.0,0.0
p01031,geothermal,0.0,0.0,0.0,0.0,0.0
p01031,h2,0.0,0.0,0.0,0.0,0.0
p01031,hydro,0.0,0.0,0.0,0.0,0.0
p01031,nuclear,0.0,0.0,0.0,0.0,0.0
p01031,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01031,pv,0.0,0.0,26.66666666666424,53.33333333333576,80.0
