*tech,region,year,sc_point_gid,capacity
upv_2,p17031,2010,36731,9.0
upv_4,p06005,2010,41058,1.0
upv_4,p06005,2010,41438,1.0
upv_5,p32003,2010,56293,10.0
upv_5,p06071,2010,59692,0.5
upv_5,p06071,2010,60071,0.5
upv_5,p06065,2010,60072,0.5
upv_5,p06071,2010,60073,0.5
upv_5,p06065,2010,63512,21.0
upv_5,p04013,2010,65432,0.1
upv_5,p04013,2010,65433,0.4
upv_5,p04013,2010,65813,0.1
upv_4,p12027,2010,89992,25.0
upv_2,p17031,2011,36731,9.0
upv_4,p06005,2011,41058,1.0
upv_4,p06005,2011,41438,1.0
upv_5,p32003,2011,56293,10.0
upv_5,p06071,2011,59692,0.5
upv_5,p06071,2011,60071,0.5
upv_5,p06065,2011,60072,0.5
upv_5,p06071,2011,60073,0.5
upv_5,p06065,2011,63512,21.0
upv_5,p04013,2011,65432,0.1
upv_5,p04013,2011,65433,0.4
upv_5,p04013,2011,65813,0.1
upv_4,p12027,2011,89992,25.0
upv_2,p17031,2012,36731,9.0
upv_4,p06005,2012,41058,1.0
upv_4,p06005,2012,41438,1.0
upv_5,p32003,2012,56293,10.0
upv_5,p06065,2012,63512,21.0
upv_5,p04013,2012,65432,0.1
upv_5,p04013,2012,65433,0.4
upv_5,p04013,2012,65813,0.1
upv_4,p12027,2012,89992,25.0
upv_2,p17031,2013,36731,9.0
upv_4,p06005,2013,41058,1.0
upv_4,p06005,2013,41438,1.0
upv_5,p32003,2013,56293,10.0
upv_5,p06065,2013,63512,21.0
upv_5,p04013,2013,65432,0.1
upv_5,p04013,2013,65433,0.4
upv_5,p04013,2013,65813,0.1
upv_4,p12027,2013,89992,25.0
upv_2,p17031,2014,36731,9.0
upv_5,p32003,2014,56293,10.0
upv_5,p06065,2014,63512,21.0
upv_5,p04013,2014,65432,0.1
upv_5,p04013,2014,65433,0.4
upv_5,p04013,2014,65813,0.1
upv_4,p12027,2014,89992,25.0
upv_2,p17031,2015,36731,9.0
upv_5,p32003,2015,56293,10.0
upv_5,p06065,2015,63512,21.0
upv_5,p04013,2015,65432,0.1
upv_5,p04013,2015,65433,0.4
upv_5,p04013,2015,65813,0.1
upv_4,p12027,2015,89992,25.0
upv_2,p17031,2016,36731,9.0
upv_5,p32003,2016,56293,10.0
upv_5,p06065,2016,63512,21.0
upv_4,p12027,2016,89992,25.0
upv_2,p17031,2017,36731,9.0
upv_5,p32003,2017,56293,10.0
upv_5,p06065,2017,63512,21.0
upv_4,p12027,2017,89992,25.0
upv_2,p17031,2018,36731,9.0
upv_5,p32003,2018,56293,10.0
upv_5,p06065,2018,63512,21.0
upv_4,p12027,2018,89992,25.0
upv_2,p17031,2019,36731,9.0
upv_5,p32003,2019,56293,10.0
upv_5,p06065,2019,63512,21.0
upv_4,p12027,2019,89992,25.0
upv_2,p17031,2020,36731,9.0
upv_5,p32003,2020,56293,10.0
upv_5,p06065,2020,63512,21.0
upv_4,p12027,2020,89992,25.0
upv_2,p17031,2021,36731,9.0
upv_5,p32003,2021,56293,10.0
upv_5,p06065,2021,63512,21.0
upv_4,p12027,2021,89992,25.0
upv_2,p17031,2022,36731,9.0
upv_5,p32003,2022,56293,10.0
upv_5,p06065,2022,63512,21.0
upv_4,p12027,2022,89992,25.0
upv_2,p17031,2023,36731,9.0
upv_5,p32003,2023,56293,10.0
upv_5,p06065,2023,63512,21.0
upv_4,p12027,2023,89992,25.0
upv_2,p17031,2024,36731,9.0
upv_5,p32003,2024,56293,10.0
upv_5,p06065,2024,63512,21.0
upv_4,p12027,2024,89992,25.0
upv_2,p17031,2025,36731,9.0
upv_5,p32003,2025,56293,10.0
upv_5,p06065,2025,63512,21.0
upv_4,p12027,2025,89992,25.0
upv_2,p17031,2026,36731,9.0
upv_5,p32003,2026,56293,10.0
upv_5,p06065,2026,63512,21.0
upv_4,p12027,2026,89992,25.0
upv_2,p17031,2027,36731,9.0
upv_5,p32003,2027,56293,10.0
upv_5,p06065,2027,63512,21.0
upv_4,p12027,2027,89992,25.0
upv_2,p17031,2028,36731,9.0
upv_5,p32003,2028,56293,10.0
upv_5,p06065,2028,63512,21.0
upv_4,p12027,2028,89992,25.0
upv_2,p17031,2029,36731,9.0
upv_5,p32003,2029,56293,10.0
upv_5,p06065,2029,63512,21.0
upv_4,p12027,2029,89992,25.0
upv_2,p17031,2030,36731,9.0
upv_5,p32003,2030,56293,10.0
upv_5,p06065,2030,63512,21.0
upv_4,p12027,2030,89992,25.0
upv_2,p17031,2031,36731,9.0
upv_5,p32003,2031,56293,10.0
upv_5,p06065,2031,63512,21.0
upv_4,p12027,2031,89992,25.0
upv_2,p17031,2032,36731,9.0
upv_5,p32003,2032,56293,10.0
upv_5,p06065,2032,63512,21.0
upv_4,p12027,2032,89992,25.0
upv_2,p17031,2033,36731,9.0
upv_5,p32003,2033,56293,10.0
upv_5,p06065,2033,63512,21.0
upv_4,p12027,2033,89992,25.0
upv_2,p17031,2034,36731,9.0
upv_5,p32003,2034,56293,10.0
upv_5,p06065,2034,63512,21.0
upv_4,p12027,2034,89992,25.0
upv_2,p17031,2035,36731,9.0
upv_5,p32003,2035,56293,10.0
upv_5,p06065,2035,63512,21.0
upv_4,p12027,2035,89992,25.0
upv_2,p17031,2036,36731,9.0
upv_5,p32003,2036,56293,10.0
upv_5,p06065,2036,63512,21.0
upv_4,p12027,2036,89992,25.0
upv_2,p17031,2037,36731,9.0
upv_5,p32003,2037,56293,10.0
upv_5,p06065,2037,63512,21.0
upv_4,p12027,2037,89992,25.0
upv_2,p17031,2038,36731,9.0
upv_5,p32003,2038,56293,10.0
upv_5,p06065,2038,63512,21.0
upv_4,p12027,2038,89992,25.0
upv_2,p17031,2039,36731,9.0
upv_5,p06065,2039,63512,21.0
upv_4,p12027,2039,89992,25.0
