*r,t,value
p1,2010,0.00876506112723
p1,2011,0.00876506112723
p1,2012,0.00876506112723
p1,2013,0.00876506112723
p1,2014,0.00876506112723
p1,2015,0.00876506112723
p1,2016,0.00876506112723
p1,2017,0.00853698161718
p1,2018,0.00853698161718
p1,2019,0.00853698161718
p1,2020,0.00853698161718
p1,2021,0.00853698161718
p1,2022,0.00853698161718
p1,2023,0.00853698161718
p1,2024,0.00853698161718
p1,2025,0.00853698161718
p1,2026,0.00853698161718
p1,2027,0.00853698161718
p1,2028,0.00853698161718
p1,2029,0.00853698161718
p1,2030,0
p1,2031,0
p1,2032,0
p1,2033,0
p1,2034,0
p1,2035,0
p1,2036,0
p1,2037,0
p1,2038,0
p1,2039,0
p1,2040,0
p1,2041,0
p1,2042,0
p1,2043,0
p1,2044,0
p1,2045,0
p1,2046,0
p1,2047,0
p1,2048,0
p1,2049,0
p1,2050,0
p1,2051,0
p1,2052,0
p1,2053,0
p1,2054,0
p1,2055,0
p1,2056,0
p1,2057,0
p1,2058,0
p1,2059,0
p1,2060,0
p1,2061,0
p1,2062,0
p1,2063,0
p1,2064,0
p1,2065,0
p1,2066,0
p1,2067,0
p1,2068,0
p1,2069,0
p1,2070,0
p2,2010,0.00237138378255
p2,2011,0.00237138378255
p2,2012,0.00237138378255
p2,2013,0.00237138378255
p2,2014,0.00237138378255
p2,2015,0.00237138378255
p2,2016,0.00237138378255
p2,2017,0.00237138378255
p2,2018,0.00237138378255
p2,2019,0.00237138378255
p2,2020,0.00047427675651
p2,2021,0
p2,2022,0
p2,2023,0
p2,2024,0
p2,2025,0
p2,2026,0
p2,2027,0
p2,2028,0
p2,2029,0
p2,2030,0
p2,2031,0
p2,2032,0
p2,2033,0
p2,2034,0
p2,2035,0
p2,2036,0
p2,2037,0
p2,2038,0
p2,2039,0
p2,2040,0
p2,2041,0
p2,2042,0
p2,2043,0
p2,2044,0
p2,2045,0
p2,2046,0
p2,2047,0
p2,2048,0
p2,2049,0
p2,2050,0
p2,2051,0
p2,2052,0
p2,2053,0
p2,2054,0
p2,2055,0
p2,2056,0
p2,2057,0
p2,2058,0
p2,2059,0
p2,2060,0
p2,2061,0
p2,2062,0
p2,2063,0
p2,2064,0
p2,2065,0
p2,2066,0
p2,2067,0
p2,2068,0
p2,2069,0
p2,2070,0
p3,2010,0.00047427675651
p3,2011,0.00047427675651
p3,2012,0
p3,2013,0
p3,2014,0
p3,2015,0
p3,2016,0
p3,2017,0
p3,2018,0
p3,2019,0
p3,2020,0
p3,2021,0
p3,2022,0
p3,2023,0
p3,2024,0
p3,2025,0
p3,2026,0
p3,2027,0
p3,2028,0
p3,2029,0
p3,2030,0
p3,2031,0
p3,2032,0
p3,2033,0
p3,2034,0
p3,2035,0
p3,2036,0
p3,2037,0
p3,2038,0
p3,2039,0
p3,2040,0
p3,2041,0
p3,2042,0
p3,2043,0
p3,2044,0
p3,2045,0
p3,2046,0
p3,2047,0
p3,2048,0
p3,2049,0
p3,2050,0
p3,2051,0
p3,2052,0
p3,2053,0
p3,2054,0
p3,2055,0
p3,2056,0
p3,2057,0
p3,2058,0
p3,2059,0
p3,2060,0
p3,2061,0
p3,2062,0
p3,2063,0
p3,2064,0
p3,2065,0
p3,2066,0
p3,2067,0
p3,2068,0
p3,2069,0
p3,2070,0
p4,2010,0
p4,2011,0
p4,2012,0
p4,2013,0
p4,2014,0
p4,2015,0
p4,2016,0
p4,2017,0
p4,2018,0
p4,2019,0
p4,2020,0
p4,2021,0
p4,2022,0
p4,2023,0
p4,2024,0
p4,2025,0
p4,2026,0
p4,2027,0
p4,2028,0
p4,2029,0
p4,2030,0
p4,2031,0
p4,2032,0
p4,2033,0
p4,2034,0
p4,2035,0
p4,2036,0
p4,2037,0
p4,2038,0
p4,2039,0
p4,2040,0
p4,2041,0
p4,2042,0
p4,2043,0
p4,2044,0
p4,2045,0
p4,2046,0
p4,2047,0
p4,2048,0
p4,2049,0
p4,2050,0
p4,2051,0
p4,2052,0
p4,2053,0
p4,2054,0
p4,2055,0
p4,2056,0
p4,2057,0
p4,2058,0
p4,2059,0
p4,2060,0
p4,2061,0
p4,2062,0
p4,2063,0
p4,2064,0
p4,2065,0
p4,2066,0
p4,2067,0
p4,2068,0
p4,2069,0
p4,2070,0
p5,2010,0.0094855351302
p5,2011,0.0094855351302
p5,2012,0.0094855351302
p5,2013,0.00853698161718
p5,2014,0.00758842810416
p5,2015,0.00758842810416
p5,2016,0.00616559783463
p5,2017,0.00616559783463
p5,2018,0.00616559783463
p5,2019,0.00616559783463
p5,2020,0.00616559783463
p5,2021,0.00616559783463
p5,2022,0.00616559783463
p5,2023,0.00616559783463
p5,2024,0.00616559783463
p5,2025,0.00616559783463
p5,2026,0.00616559783463
p5,2027,0.00616559783463
p5,2028,0.00379421405208
p5,2029,0.00379421405208
p5,2030,0
p5,2031,0
p5,2032,0
p5,2033,0
p5,2034,0
p5,2035,0
p5,2036,0
p5,2037,0
p5,2038,0
p5,2039,0
p5,2040,0
p5,2041,0
p5,2042,0
p5,2043,0
p5,2044,0
p5,2045,0
p5,2046,0
p5,2047,0
p5,2048,0
p5,2049,0
p5,2050,0
p5,2051,0
p5,2052,0
p5,2053,0
p5,2054,0
p5,2055,0
p5,2056,0
p5,2057,0
p5,2058,0
p5,2059,0
p5,2060,0
p5,2061,0
p5,2062,0
p5,2063,0
p5,2064,0
p5,2065,0
p5,2066,0
p5,2067,0
p5,2068,0
p5,2069,0
p5,2070,0
p6,2010,0.00022807951005
p6,2011,0.00022807951005
p6,2012,0.00022807951005
p6,2013,0.00022807951005
p6,2014,0.00022807951005
p6,2015,0.00022807951005
p6,2016,0.00022807951005
p6,2017,0.00022807951005
p6,2018,0.00022807951005
p6,2019,0.00022807951005
p6,2020,0.00022807951005
p6,2021,0.00022807951005
p6,2022,0.00022807951005
p6,2023,0.00022807951005
p6,2024,0.00022807951005
p6,2025,0.00022807951005
p6,2026,0.00022807951005
p6,2027,0.00022807951005
p6,2028,0.00022807951005
p6,2029,0.00022807951005
p6,2030,0
p6,2031,0
p6,2032,0
p6,2033,0
p6,2034,0
p6,2035,0
p6,2036,0
p6,2037,0
p6,2038,0
p6,2039,0
p6,2040,0
p6,2041,0
p6,2042,0
p6,2043,0
p6,2044,0
p6,2045,0
p6,2046,0
p6,2047,0
p6,2048,0
p6,2049,0
p6,2050,0
p6,2051,0
p6,2052,0
p6,2053,0
p6,2054,0
p6,2055,0
p6,2056,0
p6,2057,0
p6,2058,0
p6,2059,0
p6,2060,0
p6,2061,0
p6,2062,0
p6,2063,0
p6,2064,0
p6,2065,0
p6,2066,0
p6,2067,0
p6,2068,0
p6,2069,0
