*tech,region,year,sc_point_gid,capacity
wind-ons_8,p18,2010,7317,101.4
wind-ons_8,p18,2010,7697,104.2
wind-ons_7,p134,2010,8728,42.0
wind-ons_3,p1,2010,9165,44.0
wind-ons_7,p1,2010,9166,156.0
wind-ons_6,p1,2010,9546,72.6
wind-ons_8,p37,2010,10440,118.5
wind-ons_9,p37,2010,10441,40.5
wind-ons_7,p37,2010,10810,60.0
wind-ons_7,p37,2010,10811,89.0
wind-ons_8,p37,2010,10820,40.5
wind-ons_7,p18,2010,11880,9.0
wind-ons_8,p37,2010,12322,4.5
wind-ons_7,p37,2010,12324,11.9
wind-ons_9,p37,2010,12702,115.5
wind-ons_8,p37,2010,12703,2.6
wind-ons_8,p134,2010,12911,57.0
wind-ons_7,p2,2010,12978,149.4
wind-ons_7,p2,2010,12979,78.0
wind-ons_5,p2,2010,13339,136.3
wind-ons_5,p2,2010,13342,199.0
wind-ons_6,p2,2010,13350,95.0
wind-ons_6,p2,2010,13358,7.2
wind-ons_8,p2,2010,13359,156.0
wind-ons_6,p2,2010,13718,252.0
wind-ons_7,p2,2010,13719,10.2
wind-ons_6,p2,2010,13720,94.0
wind-ons_5,p2,2010,13721,98.9
wind-ons_7,p2,2010,13722,204.0
wind-ons_5,p2,2010,13731,176.9
wind-ons_6,p5,2010,14100,163.3
wind-ons_3,p5,2010,14107,5.0
wind-ons_3,p5,2010,14110,25.0
wind-ons_6,p5,2010,14111,122.8
wind-ons_8,p5,2010,14480,221.0
wind-ons_5,p5,2010,14485,9.9
wind-ons_5,p5,2010,14486,8.3
wind-ons_4,p5,2010,14487,10.0
wind-ons_6,p5,2010,14493,98.9
wind-ons_7,p43,2010,14655,25.0
wind-ons_10,p134,2010,14795,66.0
wind-ons_7,p5,2010,14858,76.5
wind-ons_8,p5,2010,14859,125.4
wind-ons_8,p5,2010,14860,100.8
wind-ons_5,p5,2010,14861,102.9
wind-ons_6,p5,2010,14864,98.7
wind-ons_5,p5,2010,14866,9.9
wind-ons_6,p5,2010,14867,10.0
wind-ons_6,p5,2010,15238,24.0
wind-ons_8,p5,2010,15239,81.0
wind-ons_5,p5,2010,15241,100.5
wind-ons_6,p5,2010,15242,102.9
wind-ons_5,p5,2010,15244,72.0
wind-ons_6,p5,2010,15247,9.9
wind-ons_6,p5,2010,15248,6.6
wind-ons_9,p37,2010,15383,49.5
wind-ons_6,p5,2010,15626,3.3
