*tech,region,year,sc_point_gid,capacity
wind-ons_9,p55029,2010,24569,0.7
wind-ons_7,p26135,2010,24590,52.8
wind-ons_7,p36075,2010,24646,68.5
wind-ons_5,p36049,2010,24650,6.6
wind-ons_7,p27073,2010,24892,0.969
wind-ons_7,p27073,2010,24893,0.969
wind-ons_8,p27073,2010,24894,0.931
wind-ons_8,p27073,2010,24895,0.931
wind-ons_8,p27073,2010,24896,0.931
wind-ons_8,p27023,2010,24897,0.017
wind-ons_8,p55029,2010,24949,0.7
wind-ons_6,p36049,2010,25027,30.55
wind-ons_6,p36049,2010,25028,45.5
wind-ons_7,p27073,2010,25272,0.969
wind-ons_8,p27073,2010,25273,0.969
wind-ons_8,p27073,2010,25274,0.969
wind-ons_8,p27073,2010,25275,0.969
wind-ons_8,p27129,2010,25278,0.017
wind-ons_5,p36075,2010,25406,27.5
wind-ons_5,p36065,2010,25407,37.5
wind-ons_6,p36065,2010,25408,30.0
wind-ons_6,p36065,2010,25409,20.0
wind-ons_6,p50025,2010,25428,5.2
wind-ons_9,p27173,2010,25656,0.969
wind-ons_8,p27129,2010,25658,0.931
wind-ons_8,p27129,2010,25659,0.017
wind-ons_8,p26129,2010,25730,21.0
wind-ons_5,p36043,2010,25792,11.5
wind-ons_10,p27173,2010,26032,8.4
wind-ons_9,p27173,2010,26033,2.95
wind-ons_8,p27173,2010,26034,1.9
wind-ons_8,p27173,2010,26035,1.683
wind-ons_8,p27173,2010,26036,0.969
wind-ons_9,p27173,2010,26037,0.969
wind-ons_8,p27127,2010,26039,0.931
wind-ons_5,p36065,2010,26167,60.0
wind-ons_9,p46069,2010,26392,40.5
wind-ons_8,p46059,2010,26394,25.0
wind-ons_9,p27081,2010,26413,8.85
wind-ons_8,p27083,2010,26414,2.0
wind-ons_8,p27083,2010,26415,1.683
wind-ons_8,p27083,2010,26416,1.683
wind-ons_8,p27173,2010,26417,0.969
wind-ons_8,p27173,2010,26418,0.969
wind-ons_8,p27127,2010,26419,0.931
wind-ons_8,p27127,2010,26420,1.7
wind-ons_9,p26113,2010,26484,59.0
wind-ons_7,p25011,2010,26571,1.8
wind-ons_6,p16039,2010,26665,21.0
wind-ons_6,p16039,2010,26666,21.0
wind-ons_9,p27083,2010,26794,2.8
wind-ons_8,p27083,2010,26795,2.1
wind-ons_8,p27083,2010,26796,2.1
wind-ons_8,p27083,2010,26797,1.3
wind-ons_8,p27127,2010,26798,0.969
wind-ons_8,p27127,2010,26799,0.931
wind-ons_8,p27127,2010,26800,1.7
wind-ons_7,p27049,2010,26814,1.6
wind-ons_7,p25011,2010,26951,1.7
wind-ons_9,p46011,2010,27171,50.4
wind-ons_9,p27081,2010,27172,103.5
wind-ons_9,p27083,2010,27174,3.9
wind-ons_9,p27083,2010,27175,4.2
wind-ons_8,p27083,2010,27176,4.2
wind-ons_8,p27083,2010,27177,1.683
wind-ons_8,p27127,2010,27178,0.969
wind-ons_8,p27127,2010,27179,0.931
wind-ons_9,p36065,2010,27311,34.5
wind-ons_6,p16019,2010,27450,64.5
wind-ons_9,p27081,2010,27552,150.0
wind-ons_9,p27081,2010,27553,21.9
wind-ons_9,p27083,2010,27554,2.0
wind-ons_9,p27083,2010,27555,2.1
wind-ons_9,p27083,2010,27556,4.2
wind-ons_9,p27083,2010,27557,2.0
wind-ons_8,p27127,2010,27558,1.5
wind-ons_8,p27127,2010,27559,0.931
wind-ons_8,p27127,2010,27560,0.931
wind-ons_8,p27015,2010,27561,0.05
wind-ons_5,p16047,2010,27809,18.9
wind-ons_5,p16047,2010,27810,10.5
wind-ons_9,p27117,2010,27933,49.5
wind-ons_9,p27117,2010,27934,103.5
wind-ons_9,p27101,2010,27935,9.2
wind-ons_9,p27101,2010,27936,2.0
wind-ons_9,p27101,2010,27937,2.0
wind-ons_8,p27033,2010,27940,1.0
wind-ons_8,p27015,2010,27941,0.9
wind-ons_9,p27039,2010,27954,8.0
wind-ons_7,p55001,2010,27976,0.1
wind-ons_8,p55015,2010,27985,42.0
wind-ons_5,p16039,2010,28187,10.5
wind-ons_10,p46073,2010,28297,51.0
wind-ons_8,p27117,2010,28312,5.2
wind-ons_8,p27117,2010,28313,51.0
wind-ons_9,p27101,2010,28316,2.0
wind-ons_9,p27101,2010,28317,2.0
wind-ons_9,p27033,2010,28318,1.683
wind-ons_9,p27033,2010,28319,49.95
wind-ons_10,p27033,2010,28320,1.3
wind-ons_9,p27033,2010,28321,1.2
wind-ons_10,p27165,2010,28322,0.02
wind-ons_8,p27147,2010,28333,3.0
wind-ons_9,p55039,2010,28365,84.0
wind-ons_7,p46015,2010,28673,1.3
wind-ons_9,p27101,2010,28695,85.5
wind-ons_9,p27101,2010,28696,10.4
wind-ons_9,p27101,2010,28697,2.0
wind-ons_9,p27033,2010,28698,2.0
wind-ons_9,p27033,2010,28699,1.3
wind-ons_10,p27033,2010,28700,15.6
wind-ons_10,p27033,2010,28701,1.3
wind-ons_10,p27165,2010,28702,19.98
wind-ons_9,p55039,2010,28745,19.2
wind-ons_9,p55117,2010,28746,42.0
wind-ons_8,p46015,2010,29053,1.3
wind-ons_8,p27101,2010,29074,205.5
wind-ons_9,p27101,2010,29075,12.0
wind-ons_9,p27101,2010,29076,2.0
wind-ons_9,p27101,2010,29077,2.0
wind-ons_9,p27033,2010,29078,2.0
wind-ons_10,p27033,2010,29079,1.3
wind-ons_10,p27033,2010,29080,39.0
wind-ons_9,p27099,2010,29094,32.0
wind-ons_8,p27045,2010,29098,4.5
wind-ons_9,p55039,2010,29124,54.0
wind-ons_9,p55039,2010,29125,45.0
wind-ons_9,p55117,2010,29126,24.0
wind-ons_9,p36121,2010,29192,30.0
wind-ons_9,p27105,2010,29457,2.0
wind-ons_9,p27105,2010,29458,2.0
wind-ons_9,p27063,2010,29459,2.0
wind-ons_9,p27063,2010,29461,60.0
wind-ons_9,p27091,2010,29462,100.5
wind-ons_9,p27091,2010,29463,0.9
wind-ons_9,p27091,2010,29465,0.9
wind-ons_9,p27099,2010,29475,36.0
wind-ons_9,p27099,2010,29477,42.0
wind-ons_5,p55123,2010,29490,6.0
wind-ons_9,p36121,2010,29572,96.0
wind-ons_9,p27105,2010,29837,2.0
wind-ons_9,p27105,2010,29838,4.0
wind-ons_9,p27063,2010,29839,8.4
wind-ons_9,p27091,2010,29843,0.9
wind-ons_9,p27091,2010,29844,2.1
wind-ons_9,p27091,2010,29845,0.9
wind-ons_9,p27043,2010,29846,1.3
wind-ons_9,p27043,2010,29847,1.3
wind-ons_8,p27099,2010,29854,9.8
wind-ons_9,p27099,2010,29856,60.0
wind-ons_9,p27099,2010,29857,58.7
wind-ons_7,p27133,2010,30214,11.6
wind-ons_8,p27105,2010,30216,3.8
wind-ons_9,p27105,2010,30217,1.5
wind-ons_9,p27063,2010,30220,1.3
wind-ons_9,p27091,2010,30222,1.0
wind-ons_9,p27091,2010,30223,0.9
wind-ons_9,p27091,2010,30224,1.7
wind-ons_9,p27091,2010,30225,1.7
wind-ons_8,p27099,2010,30234,13.5
wind-ons_9,p27099,2010,30236,54.0
wind-ons_9,p27099,2010,30237,46.5
wind-ons_8,p27045,2010,30238,98.9
wind-ons_9,p55027,2010,30264,1.7
wind-ons_10,p56009,2010,30529,99.0
wind-ons_9,p19143,2010,30597,2.0
wind-ons_9,p19143,2010,30598,98.2
wind-ons_8,p19059,2010,30599,43.5
wind-ons_9,p19059,2010,30601,10.5
wind-ons_9,p19189,2010,30609,20.0
wind-ons_9,p19189,2010,30610,28.0
wind-ons_9,p19195,2010,30611,30.0
wind-ons_9,p19195,2010,30613,30.0
wind-ons_8,p19131,2010,30616,120.0
wind-ons_9,p19131,2010,30617,138.0
wind-ons_9,p19089,2010,30618,66.0
wind-ons_9,p56009,2010,30908,99.0
wind-ons_10,p56009,2010,30909,99.0
wind-ons_10,p56009,2010,30910,39.0
wind-ons_8,p19143,2010,30978,49.6
wind-ons_9,p19059,2010,30979,100.0
wind-ons_9,p19109,2010,30987,10.5
wind-ons_10,p19189,2010,30989,37.0
wind-ons_9,p19189,2010,30990,20.0
wind-ons_9,p19195,2010,30992,80.0
wind-ons_9,p19195,2010,30993,42.0
wind-ons_9,p19195,2010,30994,60.0
wind-ons_9,p19131,2010,30997,42.0
wind-ons_9,p19089,2010,30998,33.0
wind-ons_6,p55111,2010,31014,24.0
wind-ons_9,p56025,2010,31286,17.0
wind-ons_8,p19143,2010,31356,1.2
wind-ons_8,p19143,2010,31358,0.6
wind-ons_9,p19189,2010,31368,66.0
