region,year,capacity
p1,2010,190.7
p105,2010,312.5
p116,2010,100.5
p121,2010,70.0
p131,2010,4.7
p134,2010,91.5
p15,2010,60.3
p16,2010,145.5
p2,2010,56.0
p24,2010,311.0
p25,2010,1.5
p28,2010,65.1
p31,2010,102.4
p34,2010,51.0
p36,2010,158.7
p37,2010,62.4
p38,2010,309.0
p41,2010,60.0
p43,2010,20.0
p44,2010,200.8
p45,2010,2.0
p48,2010,27.5
p5,2010,334.8
p50,2010,350.2
p53,2010,60.5
p54,2010,150.0
p65,2010,551.7
p68,2010,148.8
p70,2010,6.0
p75,2010,20.0
p80,2010,500.0
p9,2010,139.0
p10,2011,772.1
p103,2011,192.0
p112,2011,401.0
p116,2011,151.3
p121,2011,50.0
p122,2011,41.2
p127,2011,125.3
p129,2011,40.0
p131,2011,21.1
p134,2011,80.0
p15,2011,55.4
p16,2011,211.5
p2,2011,198.8
p25,2011,102.0
p27,2011,10.0
p31,2011,50.4
p33,2011,248.3
p34,2011,252.0
p38,2011,172.0
p40,2011,123.4
p43,2011,91.8
p44,2011,66.0
p45,2011,137.1
p48,2011,82.4
p5,2011,199.2
p50,2011,330.6
p53,2011,200.0
p60,2011,10.0
p61,2011,132.0
p63,2011,198.0
p68,2011,406.9
p69,2011,3.1
p7,2011,3.0
p70,2011,605.8
p76,2011,162.0
p81,2011,240.9
p83,2011,450.8
p9,2011,184.2
p1,2012,4.3
p10,2012,1644.8
p103,2012,610.2
p105,2012,200.0
p111,2012,1.0
p115,2012,30.0
p12,2012,150.0
p122,2012,522.8
p126,2012,0.1
p127,2012,234.4
p129,2012,75.0
p130,2012,147.0
p131,2012,42.5
p133,2012,1.5
p134,2012,85.1
p15,2012,177.9
p16,2012,115.8
p18,2012,234.2
p2,2012,342.7
p20,2012,20.0
p28,2012,99.2
p3,2012,105.3
p33,2012,71.0
p34,2012,429.0
p36,2012,255.0
p40,2012,119.9
p44,2012,230.0
p45,2012,382.3
p47,2012,27.3
p48,2012,321.8
p49,2012,120.0
p5,2012,845.0
p50,2012,1197.8
p53,2012,1446.8
p60,2012,165.4
p61,2012,99.8
p63,2012,311.0
p65,2012,704.8
p68,2012,36.0
p69,2012,34.9
p70,2012,281.0
p77,2012,4.8
p80,2012,109.5
p81,2012,281.0
p82,2012,192.3
p83,2012,200.0
p9,2012,309.7
p103,2013,175.1
p112,2013,3.4
p127,2013,94.4
p33,2013,25.1
p34,2013,8.0
p40,2013,74.8
p53,2013,249.8
p63,2013,150.0
p70,2013,44.6
p10,2014,229.8
p103,2014,368.2
p105,2014,200.0
p121,2014,40.0
p127,2014,16.2
p134,2014,8.5
p18,2014,10.0
p2,2014,266.8
p20,2014,9.7
p33,2014,62.6
p34,2014,200.6
p38,2014,19.5
p40,2014,277.5
p42,2014,50.0
p45,2014,251.0
p47,2014,34.8
p48,2014,1723.9
p50,2014,646.6
p63,2014,67.6
p65,2014,188.0
p69,2014,140.8
p70,2014,119.6
p9,2014,2.0
p10,2015,200.5
p121,2015,30.0
p132,2015,5.0
p134,2015,173.7
p28,2015,30.0
p34,2015,400.0
p36,2015,312.5
p37,2015,148.0
p38,2015,177.8
p40,2015,80.2
p45,2015,570.7
p47,2015,250.0
p48,2015,1048.6
p49,2015,499.7
p50,2015,571.8
p51,2015,150.4
p52,2015,198.6
p53,2015,401.2
p60,2015,846.2
p62,2015,207.2
p63,2015,514.1
p65,2015,802.7
p68,2015,196.0
p70,2015,59.9
p80,2015,175.0
p83,2015,98.0
p9,2015,85.9
p103,2016,79.4
p105,2016,150.0
p112,2016,100.8
p116,2016,103.0
p122,2016,38.3
p127,2016,77.7
p130,2016,12.1
p131,2016,7.9
p133,2016,4.5
p134,2016,286.0
p18,2016,25.0
p24,2016,80.0
p25,2016,63.8
p34,2016,60.8
p36,2016,404.0
p37,2016,195.0
p40,2016,437.5
p43,2016,78.0
p45,2016,551.4
p47,2016,50.0
p48,2016,904.4
p49,2016,198.0
p5,2016,10.0
p50,2016,1356.7
p51,2016,86.0
p53,2016,879.3
p54,2016,195.8
p60,2016,607.0
p63,2016,355.0
p65,2016,650.0
p68,2016,213.0
p70,2016,56.0
p80,2016,118.0
p83,2016,66.0
p98,2016,208.0
p10,2017,1.9
p103,2017,249.0
p105,2017,219.7
p11,2017,143.0
p112,2017,66.0
p129,2017,30.0
p133,2017,1.5
p134,2017,22.8
p31,2017,298.0
p34,2017,75.0
p36,2017,249.3
p40,2017,96.0
p41,2017,43.2
p44,2017,200.0
p47,2017,354.2
p48,2017,640.6
p50,2017,253.6
p53,2017,658.8
p54,2017,300.0
p60,2017,658.4
p61,2017,149.3
p63,2017,100.5
p65,2017,572.3
p7,2017,50.0
p70,2017,205.0
p77,2017,98.0
p83,2017,278.1
p9,2017,47.9
p10,2018,198.2
p103,2018,44.0
p105,2018,200.4
p112,2018,104.5
p127,2018,158.3
p18,2018,110.1
p20,2018,4.3
p34,2018,582.3
p36,2018,48.0
p37,2018,100.0
p38,2018,40.0
p39,2018,30.0
p40,2018,211.9
p43,2018,2.0
p44,2018,44.6
p47,2018,50.9
p48,2018,598.4
p50,2018,1173.0
p53,2018,243.5
p60,2018,80.0
p61,2018,196.4
p62,2018,448.7
p63,2018,360.0
p65,2018,201.0
p69,2018,290.0
p70,2018,1010.3
p81,2018,331.0
p9,2018,3.6
p10,2019,131.1
p103,2019,285.2
p119,2019,90.0
p130,2019,28.8
p131,2019,9.6
p132,2019,3.0
p133,2019,18.0
p34,2019,59.4
p36,2019,306.7
p38,2019,497.5
p40,2019,480.6
p44,2019,100.0
p45,2019,701.7
p47,2019,220.5
p48,2019,688.1
p5,2019,200.0
p50,2019,100.0
p52,2019,275.6
p53,2019,498.6
p60,2019,1021.9
p61,2019,801.9
p65,2019,1433.7
p69,2019,15.3
p70,2019,713.5
p81,2019,194.3
p82,2019,330.2
p83,2019,60.0
p9,2019,1.8
p1,2020,136.8
p103,2020,448.6
p105,2020,630.6
p112,2020,125.1
p116,2020,56.2
p134,2020,72.6
p20,2020,80.0
p24,2020,1232.9
p27,2020,350.0
p3,2020,144.0
p32,2020,103.5
p34,2020,776.1
p36,2020,499.4
p38,2020,670.8
p40,2020,395.0
p42,2020,4.6
p44,2020,455.0
p45,2020,1187.9
p47,2020,522.0
p49,2020,200.0
p5,2020,340.0
p50,2020,950.1
p52,2020,195.8
p53,2020,500.1
p54,2020,478.5
p55,2020,145.5
p60,2020,911.7
p62,2020,160.7
p63,2020,480.0
p65,2020,545.8
p68,2020,2.5
p70,2020,312.5
p71,2020,99.0
p80,2020,24.0
p81,2020,229.0
p82,2020,352.0
p83,2020,493.0
p10,2021,293.6
p103,2021,533.5
p105,2021,502.4
p112,2021,249.8
p127,2021,203.7
p133,2021,4.5
p134,2021,15.3
p18,2021,239.8
p24,2021,503.2
p31,2021,1458.2
p33,2021,205.0
p34,2021,104.0
p36,2021,298.8
p38,2021,607.6
p40,2021,385.7
p44,2021,200.0
p45,2021,80.0
p47,2021,249.8
p48,2021,341.8
p50,2021,1097.1
p53,2021,1416.8
p54,2021,299.0
p55,2021,145.6
p60,2021,650.5
p61,2021,1318.9
p62,2021,499.5
p63,2021,480.1
p65,2021,1120.5
p68,2021,200.0
p70,2021,316.0
p81,2021,194.0
p82,2021,386.0
p83,2021,259.8
p9,2021,56.2
p10,2022,70.9
p103,2022,337.1
p116,2022,115.0
p122,2022,79.9
p127,2022,325.0
p134,2022,20.0
p20,2022,365.5
p31,2022,145.0
p33,2022,145.0
p40,2022,598.0
p41,2022,5.6
p44,2022,280.0
p45,2022,672.7
p48,2022,867.0
p49,2022,160.0
p5,2022,209.3
p50,2022,1302.6
p53,2022,197.4
p60,2022,1003.6
p61,2022,754.5
