region,node,Spring,Summer,Autumn,Winter
AESO_WI,54001_JUDY515S_WI,0.0000109,0.0000154,0.0000109,0.0000198
AESO_WI,54002_MAYERTH9_WI,0.000962,0.000739,0.000962,0.00101
AESO_WI,54003_COLINTO9_WI,0.00108,0.000908,0.00108,0.00121
AESO_WI,54004_WESTLOC9_WI,0.00128,0.00102,0.00128,0.00139
AESO_WI,54005_CLYDE  9_WI,0.000754,0.000639,0.000754,0.000792
AESO_WI,54007_BOYLE  9_WI,0.00109,0.000993,0.00109,0.00111
AESO_WI,54008_WHI 3649_WI,0.000962,0.001,0.000962,0.00167
AESO_WI,54009_WHITECO7_WI,0.00116,0.00101,0.00116,0.00114
AESO_WI,54013_KAYBOB 9_WI,0.000645,0.000431,0.000645,0.000564
AESO_WI,54015_MTN COA9_WI,0.000415,0.000562,0.000415,0.000594
AESO_WI,54016_FLATBUS9_WI,0.000415,0.000308,0.000415,0.000416
AESO_WI,54018_GULF RO9_WI,0.000372,0.000246,0.000372,0.000337
AESO_WI,54020_EDSON A9_WI,0.00275,0.00259,0.00275,0.00265
AESO_WI,54031_FINCAST9_WI,0.00103,0.000931,0.00103,0.00102
AESO_WI,54033_BRAZEAA9_WI,0.000678,0.000654,0.000678,0.000594
AESO_WI,54035_LODGEPO9_WI,0.00179,0.00179,0.00179,0.00165
AESO_WI,54036_BRAZEAU9_WI,0.00171,0.00139,0.00171,0.00157
AESO_WI,54037_HRT EXP9_WI,0.000437,0.000331,0.000437,0.000416
AESO_WI,54038_BRAZEAB9_WI,0.000426,0.000485,0.000426,0.000396
AESO_WI,54039_CYNTHIA9_WI,0.00148,0.0012,0.00148,0.00143
AESO_WI,54040_N CALDE9_WI,0.00284,0.00229,0.00284,0.00283
AESO_WI,54042_HBOG BRA_WI,0.000546,0.000439,0.000546,0.000505
AESO_WI,54044_FT ASBN9_WI,0.00167,0.00205,0.00167,0.00157
AESO_WI,54045_UN CARB9_WI,0.00236,0.0027,0.00236,0.0023
AESO_WI,54047_SHERWOO9_WI,0.00383,0.00443,0.00383,0.0041
AESO_WI,54048_DIAM SH9_WI,0.0000328,0.0000154,0.0000328,0.0000396
AESO_WI,54049_KEYSTON9_WI,0.00176,0.00148,0.00176,0.00179
