reeds_ba,node
p1,40077_BANGOR_WI
p1,40093_BELLNGHM_WI
p1,40095_BELLNGHM_WI
p1,40302_COVINGT4_WI
p1,40303_COVINGTW_WI
p1,40304_COVINGTE_WI
p1,40305_COVINGTM_WI
p1,40306_COVINGT5_WI
p1,40321_CUSTER W_WI
p1,40322_CUSTER E_WI
p1,40323_CUSTER W_WI
p1,40381_ECHOLAKE_WI
p1,40385_ELLENGTP_WI
p1,40387_ELLENSBG_WI
p1,40415_FIDALGO_WI
p1,40573_INTALCO_WI
p1,40579_JENKINS_WI
p1,40580_JENKINTP_WI
p1,40582_LAUDERTP_WI
p1,40590_LAUDERDL_WI
p1,40611_KITSAPS_WI
p1,40612_KITSAPN_WI
p1,40613_KITSAP_WI
p1,40615_KITSAP 2_WI
p1,40689_MAPLE V3_WI
p1,40691_MAPLE VL_WI
p1,40692_MAPLEV12_WI
p1,40693_MAPLE VL_WI
p1,40747_MONROE_WI
p1,40749_MONROE_WI
p1,40751_MONROE T_WI
p1,40765_MURRAY_WI
p1,40767_MURRAY_WI
p1,40790_OLYMPIA W_WI
p1,40791_OLYMPIA E_WI
p1,40792_OLY W_WI
p1,40793_OLYMPIA_WI
p1,40794_OLY E_WI
p1,40795_OLYMPIA_WI
p1,40797_OLYMPIA_WI
p1,40869_RAVER_WI
p1,40870_RAVER_WI
p1,40957_SCHULTZ_WI
p1,40963_HRTAP MS_WI
p1,40984_SNOH S1_WI
p1,40988_SNOH S2_WI
p1,40992_SNOH S3_WI
p1,40993_SNOHOMS3_WI
p1,40994_SNOHOMS4_WI
p1,41001_SNOK TAP_WI
p1,41002_SNOK S1_WI
p1,41004_SNOK S1_WI
p1,41006_SNOK S2_WI
p1,41007_SNOKING_WI
p1,41008_SNOK S3_WI
p1,41012_SNOK S2_WI
p1,41014_SNOK S3_WI
p1,41023_STAT F/G_WI
p1,41025_STAT. H_WI
p1,41026_STAT. X_WI
p1,41049_TACOMA_WI
p1,41051_TACOMA_WI
p1,41053_TACOMA N_WI
p1,41055_TACOMA S_WI
p1,41105_VALHALLA_WI
p1,41199_DECATUR_WI
p1,41202_E ELLNSB_WI
p1,41204_FIDALGO_WI
p1,41214_INTALCO1_WI
p1,41215_INTALCO2_WI
p1,41216_INTALCO3_WI
p1,41217_INTALCO4_WI
p1,41218_INTALCO5_WI
p1,41219_INTALCO6_WI
p1,41220_INTALCO7_WI
p1,41221_JIMCREEK_WI
p1,41230_LOPEZ2_WI
p1,41232_LOPEZ3_WI
p1,41233_LOPEZ3_WI
p1,41234_LOPEZ4_WI
p1,41235_LOPEZ4_WI
p1,41243_OHOP-T_WI
p1,41261_TACOMA3_WI
p1,41262_TACOMA4_WI
p1,41322_TANNER_WI
p1,41327_SNOH S1_WI
p1,41328_SNOH S2_WI
p1,41329_SNOH S3_WI
p1,41330_SNOH S4_WI
p1,42001_PORTALWY_WI
p1,42002_BELNGM P_WI
p1,42004_ARCO C_WI
p1,42005_ARCO N_WI
p1,42006_ARCO S_WI
p1,42007_LYNDEN_WI
p1,42008_KENDALL_WI
p1,42009_KENDALL_WI
p1,42010_ENSERCH_WI
p1,42011_ENSERCH1_WI
p1,42012_ENSERCH2_WI
p1,42013_ENSERCH3_WI
p1,42014_ENSERCHL_WI
p1,42018_NOOKSACK_WI
p1,42019_NOOKSACK_WI
p1,42020_SUMAS CG_WI
p1,42021_SUMAS 1_WI
p1,42022_SUMAS L_WI
p1,42030_TERRELL_WI
p1,42031_TENASKA1_WI
p1,42032_TENASKA2_WI
p1,42033_TENASKAL_WI
p1,42040_WHITHORN_WI
p1,42042_WHITHRN2_WI
p1,42043_WHITHRN3_WI
p1,42047_BAKERVUE_WI
p1,42050_BIRCHBAY_WI
p1,42051_SEMIAHMO_WI
p1,42052_BLAINE_WI
p1,42053_BLAINTAP_WI
p1,42054_LAUREL P_WI
p1,42055_TEN MILE_WI
