node,1,2,3,4,5,6,7,8,9,10,11,12
1_ROANSPRARE_ERC,0.000125336,0.000125336,6.71E-05,6.71E-05,8.54E-05,8.54E-05,8.54E-05,8.54E-05,8.54E-05,8.11E-05,8.11E-05,0.000125336
10010_PRSTMDWS1_8_ERC,0.000476437,0.000476437,0.000522154,0.000522154,0.000518017,0.000518017,0.000518017,0.000518017,0.000518017,0.000429845,0.000429845,0.000476437
10011_PRSTMDWS2_8_ERC,0,0,0,0,0,0,0,0,0,0,0,0
10020_WESTBOOK_P8_ERC,0,0,4.68E-07,4.68E-07,1.61E-05,1.61E-05,1.61E-05,1.61E-05,1.61E-05,4.94E-07,4.94E-07,0
1010_PERMIANB_8_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1011_MENTONE_SW_8_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1012_PERMISTR_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1014_MIDLNDE_3_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1015_PERMIANB_9_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1016_ODEHV3T_5_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1017_ODEHVSTR_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1018_MOSS_5_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1019_MOSS_8_ERC,0.000222551,0.000222551,0.000184868,0.000184868,0.000198201,0.000198201,0.000198201,0.000198201,0.000198201,0.00017464,0.00017464,0.000222551
1020_ODEHV1T_5_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1021_MIDLET_5_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1022_MIDLNDE_5_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1023_MIDLNDE_8_ERC,0.000239745,0.000239745,0.0004844,0.0004844,0.000367963,0.000367963,0.000367963,0.000367963,0.000367963,0.000457689,0.000457689,0.000239745
1024_FSCOGEN_8_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1025_FSCOGEN_5_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1026_ODEHV2T_5_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1027_ODESEHV_8_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1028_ODEHVC_5_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1029_ODEHVD_5_ERC,0,0,0,0,0,0,0,0,0,0,0,0
103_GROESBECK_ERC,7.57E-05,7.57E-05,4.45E-05,4.45E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.60E-05,5.60E-05,7.57E-05
1030_MRGNCRK_5_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1031_MOSS_STR_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1032_MRGNCRK_8_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1033_MRGNCRK_9_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1034_MIDLESTR_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1035_ODEHVSTR_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1036_ODEHVSTR_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1037_MRGNCSTR_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1038_MRGNCSTR_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1039_MRGNCSTR_ERC,0,0,0,0,0,0,0,0,0,0,0,0
104_BUTLER_ERC,0.000114891,0.000114891,0.000116849,0.000116849,0.000132966,0.000132966,0.000132966,0.000132966,0.000132966,0.000122248,0.000122248,0.000114891
1040_MRGNCSTR_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1048_TONKAWA_5_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1052_REXALL_8_ERC,4.82E-07,4.82E-07,1.56E-06,1.56E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.65E-06,1.65E-06,4.82E-07
1053_GENRUBR_8_ERC,3.70E-05,3.70E-05,2.11E-05,2.11E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,1.99E-05,1.99E-05,3.70E-05
1054_OLFNNSHL_8_ERC,3.78E-05,3.78E-05,2.23E-05,2.23E-05,2.28E-05,2.28E-05,2.28E-05,2.28E-05,2.28E-05,2.11E-05,2.11E-05,3.78E-05
1055_NYLONTAP_8_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1056_NYLON_8_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1058_LONGSHORE_5_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1059_MIDESSA_8_ERC,0,0,0,0,0,0,0,0,0,0,0,0
1064_SUN_8_ERC,0.00012855,0.00012855,0.000655228,0.000655228,0.000523879,0.000523879,0.000523879,0.000523879,0.000523879,0.00069197,0.00069197,0.00012855
