r,szn,t,Value
p1,fall,2010,1
p1,fall,2012,1.005
p1,fall,2014,1.011
p1,fall,2016,1.016
p1,fall,2018,1.02
p1,fall,2020,1.023
p1,fall,2022,1.024
p1,fall,2024,1.024
p1,fall,2026,1.024
p1,fall,2028,1.022
p1,fall,2030,1.021
p1,fall,2032,1.019
p1,fall,2034,1.017
p1,fall,2036,1.015
p1,fall,2038,1.013
p1,fall,2040,1.012
p1,fall,2042,1.011
p1,fall,2044,1.01
p1,fall,2046,1.009
p1,fall,2048,1.009
p1,fall,2050,1.008
p1,spri,2010,1
p1,spri,2012,1.014
p1,spri,2014,1.028
p1,spri,2016,1.043
p1,spri,2018,1.056
p1,spri,2020,1.068
p1,spri,2022,1.077
p1,spri,2024,1.085
p1,spri,2026,1.093
p1,spri,2028,1.101
p1,spri,2030,1.108
p1,spri,2032,1.116
p1,spri,2034,1.123
p1,spri,2036,1.131
p1,spri,2038,1.138
p1,spri,2040,1.145
p1,spri,2042,1.152
p1,spri,2044,1.16
p1,spri,2046,1.168
p1,spri,2048,1.175
p1,spri,2050,1.183
p1,summ,2010,1
p1,summ,2012,0.988
p1,summ,2014,0.975
p1,summ,2016,0.961
p1,summ,2018,0.947
p1,summ,2020,0.933
p1,summ,2022,0.919
p1,summ,2024,0.904
p1,summ,2026,0.887
p1,summ,2028,0.868
p1,summ,2030,0.848
p1,summ,2032,0.828
p1,summ,2034,0.808
p1,summ,2036,0.789
p1,summ,2038,0.771
p1,summ,2040,0.755
p1,summ,2042,0.741
p1,summ,2044,0.728
p1,summ,2046,0.715
p1,summ,2048,0.703
p1,summ,2050,0.691
p1,wint,2010,1
p1,wint,2012,1.014
p1,wint,2014,1.028
p1,wint,2016,1.042
p1,wint,2018,1.056
p1,wint,2020,1.068
p1,wint,2022,1.077
p1,wint,2024,1.085
p1,wint,2026,1.093
p1,wint,2028,1.1
p1,wint,2030,1.106
p1,wint,2032,1.113
p1,wint,2034,1.12
p1,wint,2036,1.128
p1,wint,2038,1.136
p1,wint,2040,1.146
p1,wint,2042,1.156
p1,wint,2044,1.169
p1,wint,2046,1.182
p1,wint,2048,1.196
p1,wint,2050,1.21
p2,fall,2010,1
p2,fall,2012,1.004
p2,fall,2014,1.009
p2,fall,2016,1.014
p2,fall,2018,1.017
p2,fall,2020,1.019
p2,fall,2022,1.019
p2,fall,2024,1.018
p2,fall,2026,1.015
p2,fall,2028,1.011
p2,fall,2030,1.007
p2,fall,2032,1.003
p2,fall,2034,0.998
p2,fall,2036,0.994
p2,fall,2038,0.991
p2,fall,2040,0.988
p2,fall,2042,0.987
p2,fall,2044,0.986
p2,fall,2046,0.986
p2,fall,2048,0.986
p2,fall,2050,0.987
p2,spri,2010,1
p2,spri,2012,1.017
p2,spri,2014,1.035
p2,spri,2016,1.053
p2,spri,2018,1.069
p2,spri,2020,1.083
p2,spri,2022,1.093
p2,spri,2024,1.102
p2,spri,2026,1.111
p2,spri,2028,1.119
p2,spri,2030,1.127
p2,spri,2032,1.135
p2,spri,2034,1.143
p2,spri,2036,1.15
p2,spri,2038,1.157
p2,spri,2040,1.163
p2,spri,2042,1.169
p2,spri,2044,1.176
p2,spri,2046,1.182
p2,spri,2048,1.189
p2,spri,2050,1.195
p2,summ,2010,1
p2,summ,2012,0.979
p2,summ,2014,0.958
p2,summ,2016,0.936
p2,summ,2018,0.914
p2,summ,2020,0.892
p2,summ,2022,0.871
p2,summ,2024,0.849
p2,summ,2026,0.824
p2,summ,2028,0.798
p2,summ,2030,0.77
p2,summ,2032,0.743
p2,summ,2034,0.716
p2,summ,2036,0.69
p2,summ,2038,0.667
p2,summ,2040,0.646
p2,summ,2042,0.629
p2,summ,2044,0.614
p2,summ,2046,0.601
p2,summ,2048,0.588
p2,summ,2050,0.577
p2,wint,2010,1
p2,wint,2012,1.016
p2,wint,2014,1.033
p2,wint,2016,1.049
p2,wint,2018,1.064
p2,wint,2020,1.077
p2,wint,2022,1.087
p2,wint,2024,1.094
p2,wint,2026,1.099
p2,wint,2028,1.103
p2,wint,2030,1.106
