r,t,Value
p1,2010,1.0
p1,2012,1.004
p1,2014,1.008
p1,2016,1.012
p1,2018,1.015
p1,2020,1.0170000000000001
p1,2022,1.018
p1,2024,1.018
p1,2026,1.016
p1,2028,1.014
p1,2030,1.012
p1,2032,1.01
p1,2034,1.0070000000000001
p1,2036,1.005
p1,2038,1.004
p1,2040,1.003
p1,2042,1.003
p1,2044,1.004
p1,2046,1.006
p1,2048,1.008
p1,2050,1.01
p2,2010,1.0
p2,2012,1.005
p2,2014,1.011
p2,2016,1.016
p2,2018,1.02
p2,2020,1.023
p2,2022,1.024
p2,2024,1.024
p2,2026,1.022
p2,2028,1.02
p2,2030,1.0170000000000001
p2,2032,1.014
p2,2034,1.012
p2,2036,1.0090000000000001
p2,2038,1.0070000000000001
p2,2040,1.0070000000000001
p2,2042,1.0070000000000001
p2,2044,1.008
p2,2046,1.01
p2,2048,1.013
p2,2050,1.016
p3,2010,1.0
p3,2012,1.004
p3,2014,1.008
p3,2016,1.012
p3,2018,1.016
p3,2020,1.018
p3,2022,1.018
p3,2024,1.0170000000000001
p3,2026,1.015
p3,2028,1.012
p3,2030,1.0090000000000001
p3,2032,1.006
p3,2034,1.002
p3,2036,0.9990000000000001
p3,2038,0.997
p3,2040,0.995
p3,2042,0.995
p3,2044,0.995
p3,2046,0.997
p3,2048,0.998
p3,2050,1.0
p4,2010,1.0
p4,2012,1.021
p4,2014,1.043
p4,2016,1.064
p4,2018,1.083
p4,2020,1.1
p4,2022,1.113
p4,2024,1.122
p4,2026,1.129
p4,2028,1.133
p4,2030,1.137
p4,2032,1.14
p4,2034,1.143
p4,2036,1.146
p4,2038,1.151
p4,2040,1.158
p4,2042,1.168
p4,2044,1.179
p4,2046,1.192
p4,2048,1.206
p4,2050,1.22
p5,2010,1.0
p5,2012,1.006
p5,2014,1.013
p5,2016,1.02
p5,2018,1.026
p5,2020,1.031
p5,2022,1.036
p5,2024,1.0390000000000001
p5,2026,1.042
p5,2028,1.044
p5,2030,1.046
p5,2032,1.048
p5,2034,1.05
p5,2036,1.052
p5,2038,1.056
p5,2040,1.06
p5,2042,1.065
p5,2044,1.073
p5,2046,1.081
p5,2048,1.089
p5,2050,1.0979999999999999
p6,2010,1.0
p6,2012,1.005
p6,2014,1.011
p6,2016,1.0170000000000001
p6,2018,1.022
p6,2020,1.026
p6,2022,1.0290000000000001
p6,2024,1.03
p6,2026,1.031
p6,2028,1.031
p6,2030,1.03
p6,2032,1.03
p6,2034,1.03
p6,2036,1.03
p6,2038,1.031
p6,2040,1.033
p6,2042,1.036
p6,2044,1.041
p6,2046,1.047
p6,2048,1.053
p6,2050,1.0590000000000002
p7,2010,1.0
p7,2012,1.013
p7,2014,1.026
p7,2016,1.038
p7,2018,1.05
p7,2020,1.0590000000000002
p7,2022,1.0659999999999998
p7,2024,1.071
p7,2026,1.073
p7,2028,1.074
p7,2030,1.075
p7,2032,1.075
p7,2034,1.075
p7,2036,1.0759999999999998
p7,2038,1.079
p7,2040,1.083
p7,2042,1.089
p7,2044,1.0959999999999999
p7,2046,1.104
p7,2048,1.114
p7,2050,1.123
p8,2010,1.0
p8,2012,1.013
p8,2014,1.026
p8,2016,1.0390000000000001
p8,2018,1.051
p8,2020,1.061
p8,2022,1.069
p8,2024,1.074
p8,2026,1.078
p8,2028,1.08
p8,2030,1.082
p8,2032,1.084
p8,2034,1.087
p8,2036,1.09
p8,2038,1.095
p8,2040,1.101
p8,2042,1.11
p8,2044,1.122
p8,2046,1.1340000000000001
p8,2048,1.148
p8,2050,1.163
