wst,r,szn,t,Value
fsu,p1,fall,2010,0.15
fsu,p1,fall,2012,0.151
fsu,p1,fall,2014,0.152
fsu,p1,fall,2016,0.153
fsu,p1,fall,2018,0.154
fsu,p1,fall,2020,0.154
fsu,p1,fall,2022,0.155
fsu,p1,fall,2024,0.155
fsu,p1,fall,2026,0.156
fsu,p1,fall,2028,0.156
fsu,p1,fall,2030,0.157
fsu,p1,fall,2032,0.157
fsu,p1,fall,2034,0.158
fsu,p1,fall,2036,0.158
fsu,p1,fall,2038,0.159
fsu,p1,fall,2040,0.159
fsu,p1,fall,2042,0.159
fsu,p1,fall,2044,0.16
fsu,p1,fall,2046,0.16
fsu,p1,fall,2048,0.16
fsu,p1,fall,2050,0.16
fsu,p1,spri,2010,0.318
fsu,p1,spri,2012,0.317
fsu,p1,spri,2014,0.317
fsu,p1,spri,2016,0.317
fsu,p1,spri,2018,0.317
fsu,p1,spri,2020,0.318
fsu,p1,spri,2022,0.318
fsu,p1,spri,2024,0.319
fsu,p1,spri,2026,0.321
fsu,p1,spri,2028,0.323
fsu,p1,spri,2030,0.325
fsu,p1,spri,2032,0.327
fsu,p1,spri,2034,0.329
fsu,p1,spri,2036,0.331
fsu,p1,spri,2038,0.333
fsu,p1,spri,2040,0.334
fsu,p1,spri,2042,0.334
fsu,p1,spri,2044,0.334
fsu,p1,spri,2046,0.334
fsu,p1,spri,2048,0.334
fsu,p1,spri,2050,0.334
fsu,p1,summ,2010,0.298
fsu,p1,summ,2012,0.288
fsu,p1,summ,2014,0.277
fsu,p1,summ,2016,0.267
fsu,p1,summ,2018,0.257
fsu,p1,summ,2020,0.248
fsu,p1,summ,2022,0.239
fsu,p1,summ,2024,0.232
fsu,p1,summ,2026,0.223
fsu,p1,summ,2028,0.215
fsu,p1,summ,2030,0.206
fsu,p1,summ,2032,0.197
fsu,p1,summ,2034,0.189
fsu,p1,summ,2036,0.18
fsu,p1,summ,2038,0.172
fsu,p1,summ,2040,0.165
fsu,p1,summ,2042,0.159
fsu,p1,summ,2044,0.153
fsu,p1,summ,2046,0.147
fsu,p1,summ,2048,0.142
fsu,p1,summ,2050,0.137
fsu,p1,wint,2010,0.234
fsu,p1,wint,2012,0.244
fsu,p1,wint,2014,0.254
fsu,p1,wint,2016,0.263
fsu,p1,wint,2018,0.272
fsu,p1,wint,2020,0.281
fsu,p1,wint,2022,0.288
fsu,p1,wint,2024,0.294
fsu,p1,wint,2026,0.3
fsu,p1,wint,2028,0.306
fsu,p1,wint,2030,0.312
fsu,p1,wint,2032,0.318
fsu,p1,wint,2034,0.324
