wst,r,t,Value
fsu,p1,2010,1.0
fsu,p1,2012,1.002
fsu,p1,2014,1.004
fsu,p1,2016,1.006
fsu,p1,2018,1.0070000000000001
fsu,p1,2020,1.008
fsu,p1,2022,1.008
fsu,p1,2024,1.0070000000000001
fsu,p1,2026,1.005
fsu,p1,2028,1.003
fsu,p1,2030,1.0
fsu,p1,2032,0.998
fsu,p1,2034,0.995
fsu,p1,2036,0.993
fsu,p1,2038,0.991
fsu,p1,2040,0.991
fsu,p1,2042,0.991
fsu,p1,2044,0.993
fsu,p1,2046,0.995
fsu,p1,2048,0.998
fsu,p1,2050,1.001
fsu,p2,2010,1.0
fsu,p2,2012,1.006
fsu,p2,2014,1.011
fsu,p2,2016,1.0170000000000001
fsu,p2,2018,1.022
fsu,p2,2020,1.025
fsu,p2,2022,1.0270000000000001
fsu,p2,2024,1.0270000000000001
fsu,p2,2026,1.025
fsu,p2,2028,1.024
fsu,p2,2030,1.021
fsu,p2,2032,1.0190000000000001
fsu,p2,2034,1.016
fsu,p2,2036,1.014
fsu,p2,2038,1.013
fsu,p2,2040,1.012
fsu,p2,2042,1.013
fsu,p2,2044,1.015
fsu,p2,2046,1.018
fsu,p2,2048,1.021
fsu,p2,2050,1.024
fsu,p3,2010,1.0
fsu,p3,2012,1.004
fsu,p3,2014,1.008
fsu,p3,2016,1.012
fsu,p3,2018,1.016
fsu,p3,2020,1.018
fsu,p3,2022,1.018
fsu,p3,2024,1.016
fsu,p3,2026,1.013
fsu,p3,2028,1.01
fsu,p3,2030,1.005
fsu,p3,2032,1.001
fsu,p3,2034,0.996
fsu,p3,2036,0.992
fsu,p3,2038,0.9890000000000001
fsu,p3,2040,0.987
fsu,p3,2042,0.986
fsu,p3,2044,0.986
fsu,p3,2046,0.988
fsu,p3,2048,0.99
fsu,p3,2050,0.992
fsu,p4,2010,1.0
fsu,p4,2012,1.002
fsu,p4,2014,1.004
fsu,p4,2016,1.006
fsu,p4,2018,1.0070000000000001
fsu,p4,2020,1.008
fsu,p4,2022,1.008
fsu,p4,2024,1.0070000000000001
fsu,p4,2026,1.005
fsu,p4,2028,1.003
fsu,p4,2030,1.0
fsu,p4,2032,0.998
fsu,p4,2034,0.995
fsu,p4,2036,0.993
fsu,p4,2038,0.991
fsu,p4,2040,0.991
fsu,p4,2042,0.991
fsu,p4,2044,0.993
fsu,p4,2046,0.995
fsu,p4,2048,0.998
fsu,p4,2050,1.001
fsu,p5,2010,1.0
fsu,p5,2012,1.001
fsu,p5,2014,1.003
fsu,p5,2016,1.004
fsu,p5,2018,1.005
fsu,p5,2020,1.006
fsu,p5,2022,1.0070000000000001
fsu,p5,2024,1.0070000000000001
fsu,p5,2026,1.0070000000000001
fsu,p5,2028,1.0070000000000001
fsu,p5,2030,1.006
fsu,p5,2032,1.006
fsu,p5,2034,1.005
fsu,p5,2036,1.005
fsu,p5,2038,1.006
fsu,p5,2040,1.0070000000000001
fsu,p5,2042,1.0090000000000001
fsu,p5,2044,1.013
fsu,p5,2046,1.0170000000000001
fsu,p5,2048,1.023
fsu,p5,2050,1.028
fsu,p6,2010,1.0
fsu,p6,2012,1.002
fsu,p6,2014,1.004
fsu,p6,2016,1.006
fsu,p6,2018,1.008
fsu,p6,2020,1.0090000000000001
fsu,p6,2022,1.0090000000000001
fsu,p6,2024,1.008
fsu,p6,2026,1.0070000000000001
fsu,p6,2028,1.005
fsu,p6,2030,1.002
fsu,p6,2032,1.0
fsu,p6,2034,0.997
fsu,p6,2036,0.996
fsu,p6,2038,0.995
fsu,p6,2040,0.995
fsu,p6,2042,0.997
fsu,p6,2044,1.0
fsu,p6,2046,1.004
fsu,p6,2048,1.0090000000000001
fsu,p6,2050,1.014
fsu,p7,2010,1.0
fsu,p7,2012,1.0170000000000001
fsu,p7,2014,1.035
fsu,p7,2016,1.052
fsu,p7,2018,1.068
fsu,p7,2020,1.082
fsu,p7,2022,1.093
fsu,p7,2024,1.102
fsu,p7,2026,1.11
fsu,p7,2028,1.1159999999999999
fsu,p7,2030,1.122
fsu,p7,2032,1.127
fsu,p7,2034,1.133
fsu,p7,2036,1.139
