r,szn,ddtype,t,Value
p1,spri,cdd,2010,2.438742238
p1,spri,cdd,2012,2.337926339
p1,spri,cdd,2014,2.196296169
p1,spri,cdd,2016,1.79012495
p1,spri,cdd,2018,1.39327966
p1,spri,cdd,2020,1.169041339
p1,spri,cdd,2022,1.617760968
p1,spri,cdd,2024,1.681100826
p1,spri,cdd,2026,1.801621801
p1,spri,cdd,2028,2.289040985
p1,spri,cdd,2030,2.124149704
p1,spri,cdd,2032,2.812100356
p1,spri,cdd,2034,2.863616724
p1,spri,cdd,2036,4.052743227
p1,spri,cdd,2038,4.27001633
p1,spri,cdd,2040,4.050398437
p1,spri,cdd,2042,3.904744185
p1,spri,cdd,2044,3.880618094
p1,spri,cdd,2046,3.726969306
p1,spri,cdd,2048,4.067341845
p1,spri,cdd,2050,4.0627177
p1,spri,hdd,2010,887.4200677
p1,spri,hdd,2012,902.4253586
p1,spri,hdd,2014,891.9754792
p1,spri,hdd,2016,874.224008
p1,spri,hdd,2018,855.9337078
p1,spri,hdd,2020,848.1445777
p1,spri,hdd,2022,831.118824
p1,spri,hdd,2024,816.9445629
p1,spri,hdd,2026,817.539153
p1,spri,hdd,2028,827.6840592
p1,spri,hdd,2030,822.3223142
p1,spri,hdd,2032,818.1623934
p1,spri,hdd,2034,824.2181432
p1,spri,hdd,2036,807.3619295
p1,spri,hdd,2038,811.7275763
p1,spri,hdd,2040,790.0374466
p1,spri,hdd,2042,793.0183566
p1,spri,hdd,2044,779.6135106
p1,spri,hdd,2046,757.4039392
p1,spri,hdd,2048,733.222976
p1,spri,hdd,2050,725.0062725
p1,summ,cdd,2010,78.61015177
p1,summ,cdd,2012,76.63268707
p1,summ,cdd,2014,72.89497206
p1,summ,cdd,2016,75.82001299
p1,summ,cdd,2018,84.692491
p1,summ,cdd,2020,92.08811895
p1,summ,cdd,2022,106.9929091
p1,summ,cdd,2024,115.1022244
p1,summ,cdd,2026,120.6350425
p1,summ,cdd,2028,127.2902856
p1,summ,cdd,2030,137.4381696
p1,summ,cdd,2032,144.2756903
p1,summ,cdd,2034,149.6480765
p1,summ,cdd,2036,161.4135739
p1,summ,cdd,2038,170.870173
p1,summ,cdd,2040,172.7194775
p1,summ,cdd,2042,172.3403985
p1,summ,cdd,2044,174.1079187
p1,summ,cdd,2046,176.0161855
p1,summ,cdd,2048,185.819236
p1,summ,cdd,2050,192.6867201
p1,summ,hdd,2010,218.7209324
p1,summ,hdd,2012,217.1097843
p1,summ,hdd,2014,215.5654466
p1,summ,hdd,2016,203.7531255
p1,summ,hdd,2018,190.1194071
p1,summ,hdd,2020,174.2424331
p1,summ,hdd,2022,161.5269598
p1,summ,hdd,2024,147.5488896
p1,summ,hdd,2026,147.9555466
p1,summ,hdd,2028,138.1341474
p1,summ,hdd,2030,136.6781474
p1,summ,hdd,2032,130.6860649
p1,summ,hdd,2034,120.8770045
p1,summ,hdd,2036,118.841426
p1,summ,hdd,2038,121.0311596
p1,summ,hdd,2040,121.4626791
p1,summ,hdd,2042,121.6421409
p1,summ,hdd,2044,118.4186792
p1,summ,hdd,2046,107.92392
p1,summ,hdd,2048,100.2451963
p1,summ,hdd,2050,88.37968026
p1,fall,cdd,2010,7.055549891
p1,fall,cdd,2012,6.07152044
p1,fall,cdd,2014,5.535740066
p1,fall,cdd,2016,6.683038823
p1,fall,cdd,2018,6.946201243
p1,fall,cdd,2020,8.470299295
p1,fall,cdd,2022,9.964294725
p1,fall,cdd,2024,11.0299957
p1,fall,cdd,2026,8.888718476
p1,fall,cdd,2028,10.46428931
p1,fall,cdd,2030,8.964527265
p1,fall,cdd,2032,10.11367941
p1,fall,cdd,2034,14.93845699
p1,fall,cdd,2036,19.51114277
p1,fall,cdd,2038,20.28643636
p1,fall,cdd,2040,22.53782889
p1,fall,cdd,2042,24.30248962
p1,fall,cdd,2044,25.78219743
p1,fall,cdd,2046,27.68569985
p1,fall,cdd,2048,26.7162774
p1,fall,cdd,2050,32.28822912
p1,fall,hdd,2010,410.8984997
p1,fall,hdd,2012,412.8068782
p1,fall,hdd,2014,415.5976029
p1,fall,hdd,2016,416.4309374
p1,fall,hdd,2018,397.4834332
p1,fall,hdd,2020,387.3465344
p1,fall,hdd,2022,380.4237283
p1,fall,hdd,2024,374.9881322
p1,fall,hdd,2026,377.3503314
p1,fall,hdd,2028,374.7398937
p1,fall,hdd,2030,375.3030946
p1,fall,hdd,2032,367.8806965
p1,fall,hdd,2034,351.9257291
p1,fall,hdd,2036,346.470458
p1,fall,hdd,2038,350.6109402
p1,fall,hdd,2040,342.9832623
p1,fall,hdd,2042,329.606843
p1,fall,hdd,2044,311.8861261
p1,fall,hdd,2046,295.4790502
p1,fall,hdd,2048,282.1121229
p1,fall,hdd,2050,269.7788143
p1,wint,cdd,2010,0
p1,wint,cdd,2012,0
