,start,stop
1,2010,2016
2,2012,2018
3,2014,2020
4,2016,2025
5,2018,2030
6,2020,2035
7,2025,2040
8,2030,2045
9,2035,2050
10,2040,2060
11,2045,2070
12,2050,2080
13,2060,2090
14,2070,2100
15,2080,2110
16,2090,2120
17,2100,2130
18,2110,2140
19,2120,2150
20,2130,2160
21,2140,2170
22,2150,2180
23,2160,2190
24,2170,2200
25,2180,2210
26,2190,2220
27,2200,2230
28,2210,2240
29,2220,2250
30,2230,2260
31,2240,2270
32,2250,2280
33,2260,2290
34,2270,2300
35,2280,2300
36,2290,2300
