i,years_per_step
ice,0
battery_2,1
battery_4,1
battery_6,1
battery_8,1
battery_10,1
biopower,5
beccs_mod,5
beccs_max,5
caes,1
can-imports,0
coal-CCS_mod,5
coal-CCS_max,5
coal-CCS-F1,5
coal-CCS-F2,5
coal-CCS-F3,5
Coal-IGCC,5
coal-new,5
CoalOldScr,0
CoalOldUns,0
CofireNew,5
CofireOld,0
csp-ns,0
distpv,0
Gas-CC,5
Gas-CC-CCS_mod,5
Gas-CC-CCS_max,5
Gas-CC-CCS-F1,5
Gas-CC-CCS-F2,5
Gas-CC-CCS-F3,5
Gas-CT,5
RE-CT,5
RE-CC,5
geothermal,0
Hydro,0
lfill-gas,5
MHKwave,0
Nuclear,5
Nuclear-SMR,5
Ocean,5
o-g-s,5
pumped-hydro,1
pumped-hydro-flex,1
upv_1*upv_10,1
dupv_1*dupv_10,1
pvb1_1 * pvb1_10,1
pvb2_1 * pvb2_10,1
pvb3_1 * pvb3_10,1
wind-ofs_1*wind-ofs_15,1
wind-ons_1*wind-ons_10,1
csp1_1*csp1_12,5
csp2_1*csp2_12,5
csp3_1*csp3_12,5
csp4_1*csp4_12,5
dr1_1*dr1_20,2
dr2_1*dr2_20,2
hydD,5
hydND,5
hydSD,5
hydSND,5
hydUD,5
hydUND,5
hydNPD,5
hydNPND,5
hydED,5
hydEND,5
deep-egs_pbinary_1*deep-egs_pbinary_8,0
deep-egs_pflash_1*deep-egs_pflash_8,0
geohydro_pbinary_1*geohydro_pbinary_8,0
geohydro_pflash_1*geohydro_pflash_8,0
NF-EGS_pbinary_1*NF-EGS_pbinary_8,0
NF-EGS_pflash_1*NF-EGS_pflash_8,0
undisc_pbinary_1*undisc_pbinary_8,0
undisc_pflash_1*undisc_pflash_8,0
electrolyzer,1
smr,1
smr_ccs,1
dac,1
dac_gas,1
hyded_pumped-hydro,5
hyded_pumped-hydro-flex,5
