r,WA_OR_mixed,PA_aggreg_NJ_county,Pacific_county_ba,Pacific_county_agg54,WECC_ba_ID_county,PJM_county_EI_ba
p1,county,,county,county,ba,
p2,county,,county,county,ba,
p3,county,,county,county,ba,
p4,county,,county,county,ba,
p5,ba,,ba,county,ba,
p6,ba,,ba,county,ba,
p7,ba,,ba,county,ba,
p8,,,ba,aggreg,ba,
p9,,,ba,aggreg,ba,
p10,,,ba,aggreg,ba,
p11,,,ba,aggreg,ba,
p12,,,,,ba,
p13,,,,,ba,
p14,,,,,county,
p15,,,,,county,
p16,,,,,county,
p17,,,,,ba,
p18,,,,,ba,
p19,,,,,ba,
p20,,,,,ba,
p21,,,,,ba,
p22,,,,,ba,
p23,,,,,ba,
p24,,,,,ba,
p25,,,,,ba,
p26,,,,,ba,
p27,,,,,ba,
p28,,,,,ba,
p29,,,,,ba,
p30,,,,,ba,
p31,,,,,ba,
p32,,,,,ba,
p33,,,,,ba,
p34,,,,,ba,
p35,,,,,,ba
p36,,,,,,ba
p37,,,,,,ba
p38,,,,,,ba
p39,,,,,,ba
p40,,,,,,ba
p41,,,,,,ba
p42,,,,,,ba
p43,,,,,,ba
p44,,,,,,ba
p45,,,,,,ba
p46,,,,,,ba
p47,,,,,,ba
p48,,,,,,ba
p49,,,,,,ba
p50,,,,,,ba
p51,,,,,,ba
p52,,,,,,ba
p53,,,,,,ba
p54,,,,,,ba
p55,,,,,,ba
p56,,,,,,ba
p57,,,,,,ba
p58,,,,,,ba
p59,,,,,ba,
p60,,,,,,
p61,,,,,,
p62,,,,,,
p63,,,,,,
p64,,,,,,
p65,,,,,,
p66,,,,,,ba
p67,,,,,,
p68,,,,,,ba
p69,,,,,,ba
p70,,,,,,ba
p71,,,,,,ba
p72,,,,,,ba
p73,,,,,,ba
p74,,,,,,ba
p75,,,,,,ba
p76,,,,,,ba
p77,,,,,,ba
p78,,,,,,ba
p79,,,,,,ba
p80,,,,,,county
p81,,,,,,ba
p82,,,,,,ba
p83,,,,,,ba
p84,,,,,,ba
p85,,,,,,ba
p86,,,,,,ba
p87,,,,,,ba
p88,,,,,,ba
p89,,,,,,ba
p90,,,,,,ba
p91,,,,,,ba
p92,,,,,,ba
p93,,,,,,ba
p94,,,,,,ba
p95,,,,,,ba
p96,,,,,,ba
p97,,,,,,ba
p98,,,,,,ba
p99,,,,,,county
p100,,,,,,county
p101,,,,,,ba
p102,,,,,,ba
p103,,,,,,ba
p104,,,,,,county
p105,,,,,,ba
p106,,,,,,ba
p107,,,,,,ba
p108,,,,,,ba
p109,,,,,,county
p110,,,,,,county
p111,,,,,,county
p112,,,,,,county
p113,,,,,,county
p114,,,,,,county
p115,,aggreg,,,,county
p116,,,,,,county
p117,,,,,,county
p118,,,,,,county
p119,,aggreg,,,,county
p120,,aggreg,,,,county
p121,,,,,,county
p122,,aggreg,,,,county
p123,,,,,,county
p124,,,,,,county
p125,,,,,,county
p126,,county,,,,county
p127,,,,,,ba
p128,,,,,,ba
p129,,,,,,ba
p130,,,,,,ba
p131,,,,,,ba
p132,,,,,,ba
p133,,,,,,ba
p134,,,,,,ba
p135,,,,,,
p136,,,,,,
p137,,,,,,
p138,,,,,,
p139,,,,,,
p140,,,,,,
p141,,,,,,
p142,,,,,,
p143,,,,,,
p144,,,,,,
p145,,,,,,
p146,,,,,,
p147,,,,,,
p148,,,,,,
p149,,,,,,
p150,,,,,,
p151,,,,,,
p152,,,,,,
p153,,,,,,
p154,,,,,,
p155,,,,,,
p156,,,,,,
p157,,,,,,
p158,,,,,,
p159,,,,,,
p160,,,,,,
p161,,,,,,
p162,,,,,,
p163,,,,,,
p164,,,,,,
p165,,,,,,
p166,,,,,,
p167,,,,,,
p168,,,,,,
p169,,,,,,
p170,,,,,,
p171,,,,,,
p172,,,,,,
p173,,,,,,
p174,,,,,,
p175,,,,,,
p176,,,,,,
p177,,,,,,
p178,,,,,,
p179,,,,,,
p180,,,,,,
p181,,,,,,
p182,,,,,,
p183,,,,,,
p184,,,,,,
p185,,,,,,
p186,,,,,,
p187,,,,,,
p188,,,,,,
p189,,,,,,
p190,,,,,,
p191,,,,,,
p192,,,,,,
p193,,,,,,
p194,,,,,,
p195,,,,,,
p196,,,,,,
p197,,,,,,
p198,,,,,,
p199,,,,,,
p200,,,,,,
p201,,,,,,
p202,,,,,,
p203,,,,,,
p204,,,,,,
p205,,,,,,
