i,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200,p201,p202,p203,p204,p205
hydED,13631.1861,10394.05954,11131.82768,4591.649694,11205.63975,40914.59892,21440.87604,48365.40027,23382.52792,41555.73024,124051.6627,141052.9753,7421.63034,20753.6599,23592.76183,39849.61467,12536.06662,27761.02705,0,0,76234.68814,0,0,32791.46172,111163.192,31317.4802,8289.729595,9522.255909,0,0,47105.68431,105219.3967,52492.07736,30716.86946,16125.45818,8976.123303,0,9465.664198,30598.97023,33191.21711,0,73008.92688,61275.83059,182299.2341,0,53184.3278,0,0,0,24453.51915,23007.10035,0,80029.51808,0,20729.89959,18431.19044,0,15847.79491,0,0,26714.44517,0,32550.36175,36338.21215,45414.42682,29208.19072,0,93520.26956,274678.2009,25370.49501,41358.64126,15098.19073,0,84129.34732,99785.95393,71534.60643,53200.11906,176313.0142,0,85195.11601,128990.5463,0,0,121113.0245,26710.81497,0,0,0,13272.0194,19368.40926,0,21746.91464,15141.02042,21427.82756,37583.40755,18332.2835,26069.75527,24092.23533,19722.01281,169884.1888,38940.02725,0,70057.66242,123924.4955,78871.59675,0,26955.22525,217857.1577,28334.27919,0,0,33294.21951,0,140947.8489,49524.28813,33370.75861,33517.86526,27344.85866,0,0,47896.02539,19694.33302,9617.31552,0,0,77526.77797,23044.59386,0,76066.65808,48888.50516,63568.82149,72244.61486,214744.5615,57194.56475,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246
hydEND,13631.1861,10394.05954,11131.82768,4591.649694,11205.63975,40914.59892,21440.87604,48365.40027,23382.52792,41555.73024,124051.6627,141052.9753,7421.63034,20753.6599,23592.76183,39849.61467,12536.06662,27761.02705,0,0,76234.68814,0,0,32791.46172,111163.192,31317.4802,8289.729595,9522.255909,0,0,47105.68431,105219.3967,52492.07736,30716.86946,16125.45818,8976.123303,0,9465.664198,30598.97023,33191.21711,0,73008.92688,61275.83059,182299.2341,0,53184.3278,0,0,0,24453.51915,23007.10035,0,80029.51808,0,20729.89959,18431.19044,0,15847.79491,0,0,26714.44517,0,32550.36175,36338.21215,45414.42682,29208.19072,0,93520.26956,274678.2009,25370.49501,41358.64126,15098.19073,0,84129.34732,99785.95393,71534.60643,53200.11906,176313.0142,0,85195.11601,128990.5463,0,0,121113.0245,26710.81497,0,0,0,13272.0194,19368.40926,0,21746.91464,15141.02042,21427.82756,37583.40755,18332.2835,26069.75527,24092.23533,19722.01281,169884.1888,38940.02725,0,70057.66242,123924.4955,78871.59675,0,26955.22525,217857.1577,28334.27919,0,0,33294.21951,0,140947.8489,49524.28813,33370.75861,33517.86526,27344.85866,0,0,47896.02539,19694.33302,9617.31552,0,0,77526.77797,23044.59386,0,76066.65808,48888.50516,63568.82149,72244.61486,214744.5615,57194.56475,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246
hydD,111158.52,88242.64381,53885.63157,35199.38324,73235.9579,96377.44253,35719.25851,101013.1785,98695.89825,98999.79327,0,125452.3792,0,61053.93892,84733.45769,57517.59422,77395.70939,107506.7093,129049.1548,66578.03452,112305.3887,0,0,133164.2318,106724.6546,107535.3064,63818.68603,87727.62333,0,0,90665.50167,121488.0314,113306.0407,120859.0499,51639.76732,37887.57296,0,69011.32623,124341.5241,125291.0671,54981.78648,82492.89757,89351.01904,135726.2912,42934.95151,101950.4635,0,122044.09,0,91340.08515,59849.3469,138343.8172,78431.93816,25903.60466,115322.1428,82106.49982,72640.42444,56097.80244,80839.61461,0,75305.26815,0,89725.27583,96595.3466,88285.10938,105025.0764,50326.35604,106253.8003,100592.7802,84879.75,76287.70692,26018.24287,117148.8255,147180.4866,132510.0491,88660.49964,71324.87155,140623.367,0,104942.2783,60497.62981,122638.1815,94710.2291,90304.77667,55370.23729,128890.6665,99686.39352,127420.6618,70876.20743,81887.18766,64420.55367,88853.65304,61990.74151,90763.98085,86607.8625,71428.66572,86423.38952,79241.08161,84086.60145,101530.7055,64412.64266,0,124346.4898,113602.2263,83228.21728,124331.3486,51393.50601,79564.54094,83928.27631,111086.0286,89600.9624,93906.63188,119361.7758,95600.83842,84187.0029,91923.21913,87698.57128,79395.0906,68737.30631,0,76347.9789,53908.82962,45312.84944,0,0,47288.41221,104150.5544,0,115551.3725,70370.07806,108606.6763,119830.5384,0,88612.03818,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246
hydND,111158.52,88242.64381,53885.63157,35199.38324,73235.9579,96377.44253,35719.25851,101013.1785,98695.89825,98999.79327,0,125452.3792,0,61053.93892,84733.45769,57517.59422,77395.70939,107506.7093,129049.1548,66578.03452,112305.3887,0,0,133164.2318,106724.6546,107535.3064,63818.68603,87727.62333,0,0,90665.50167,121488.0314,113306.0407,120859.0499,51639.76732,37887.57296,0,69011.32623,124341.5241,125291.0671,54981.78648,82492.89757,89351.01904,135726.2912,42934.95151,101950.4635,0,122044.09,0,91340.08515,59849.3469,138343.8172,78431.93816,25903.60466,115322.1428,82106.49982,72640.42444,56097.80244,80839.61461,0,75305.26815,0,89725.27583,96595.3466,88285.10938,105025.0764,50326.35604,106253.8003,100592.7802,84879.75,76287.70692,26018.24287,117148.8255,147180.4866,132510.0491,88660.49964,71324.87155,140623.367,0,104942.2783,60497.62981,122638.1815,94710.2291,90304.77667,55370.23729,128890.6665,99686.39352,127420.6618,70876.20743,81887.18766,64420.55367,88853.65304,61990.74151,90763.98085,86607.8625,71428.66572,86423.38952,79241.08161,84086.60145,101530.7055,64412.64266,0,124346.4898,113602.2263,83228.21728,124331.3486,51393.50601,79564.54094,83928.27631,111086.0286,89600.9624,93906.63188,119361.7758,95600.83842,84187.0029,91923.21913,87698.57128,79395.0906,68737.30631,0,76347.9789,53908.82962,45312.84944,0,0,47288.41221,104150.5544,0,115551.3725,70370.07806,108606.6763,119830.5384,0,88612.03818,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246
hydSD,111158.52,88242.64381,53885.63157,35199.38324,73235.9579,96377.44253,35719.25851,101013.1785,98695.89825,98999.79327,0,125452.3792,0,61053.93892,84733.45769,57517.59422,77395.70939,107506.7093,129049.1548,66578.03452,112305.3887,0,0,133164.2318,106724.6546,107535.3064,63818.68603,87727.62333,0,0,90665.50167,121488.0314,113306.0407,120859.0499,51639.76732,37887.57296,0,69011.32623,124341.5241,125291.0671,54981.78648,82492.89757,89351.01904,135726.2912,42934.95151,101950.4635,0,122044.09,0,91340.08515,59849.3469,138343.8172,78431.93816,25903.60466,115322.1428,82106.49982,72640.42444,56097.80244,80839.61461,0,75305.26815,0,89725.27583,96595.3466,88285.10938,105025.0764,50326.35604,106253.8003,100592.7802,84879.75,76287.70692,26018.24287,117148.8255,147180.4866,132510.0491,88660.49964,71324.87155,140623.367,0,104942.2783,60497.62981,122638.1815,94710.2291,90304.77667,55370.23729,128890.6665,99686.39352,127420.6618,70876.20743,81887.18766,64420.55367,88853.65304,61990.74151,90763.98085,86607.8625,71428.66572,86423.38952,79241.08161,84086.60145,101530.7055,64412.64266,0,124346.4898,113602.2263,83228.21728,124331.3486,51393.50601,79564.54094,83928.27631,111086.0286,89600.9624,93906.63188,119361.7758,95600.83842,84187.0029,91923.21913,87698.57128,79395.0906,68737.30631,0,76347.9789,53908.82962,45312.84944,0,0,47288.41221,104150.5544,0,115551.3725,70370.07806,108606.6763,119830.5384,0,88612.03818,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246
hydSND,111158.52,88242.64381,53885.63157,35199.38324,73235.9579,96377.44253,35719.25851,101013.1785,98695.89825,98999.79327,0,125452.3792,0,61053.93892,84733.45769,57517.59422,77395.70939,107506.7093,129049.1548,66578.03452,112305.3887,0,0,133164.2318,106724.6546,107535.3064,63818.68603,87727.62333,0,0,90665.50167,121488.0314,113306.0407,120859.0499,51639.76732,37887.57296,0,69011.32623,124341.5241,125291.0671,54981.78648,82492.89757,89351.01904,135726.2912,42934.95151,101950.4635,0,122044.09,0,91340.08515,59849.3469,138343.8172,78431.93816,25903.60466,115322.1428,82106.49982,72640.42444,56097.80244,80839.61461,0,75305.26815,0,89725.27583,96595.3466,88285.10938,105025.0764,50326.35604,106253.8003,100592.7802,84879.75,76287.70692,26018.24287,117148.8255,147180.4866,132510.0491,88660.49964,71324.87155,140623.367,0,104942.2783,60497.62981,122638.1815,94710.2291,90304.77667,55370.23729,128890.6665,99686.39352,127420.6618,70876.20743,81887.18766,64420.55367,88853.65304,61990.74151,90763.98085,86607.8625,71428.66572,86423.38952,79241.08161,84086.60145,101530.7055,64412.64266,0,124346.4898,113602.2263,83228.21728,124331.3486,51393.50601,79564.54094,83928.27631,111086.0286,89600.9624,93906.63188,119361.7758,95600.83842,84187.0029,91923.21913,87698.57128,79395.0906,68737.30631,0,76347.9789,53908.82962,45312.84944,0,0,47288.41221,104150.5544,0,115551.3725,70370.07806,108606.6763,119830.5384,0,88612.03818,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246
hydUD,13631.1861,10394.05954,11131.82768,4591.649694,11205.63975,40914.59892,21440.87604,48365.40027,23382.52792,41555.73024,124051.6627,141052.9753,7421.63034,20753.6599,23592.76183,39849.61467,12536.06662,27761.02705,0,0,76234.68814,0,0,32791.46172,111163.192,31317.4802,8289.729595,9522.255909,0,0,47105.68431,105219.3967,52492.07736,30716.86946,16125.45818,8976.123303,0,9465.664198,30598.97023,33191.21711,0,73008.92688,61275.83059,182299.2341,0,53184.3278,0,0,0,24453.51915,23007.10035,0,80029.51808,0,20729.89959,18431.19044,0,15847.79491,0,0,26714.44517,0,32550.36175,36338.21215,45414.42682,29208.19072,0,93520.26956,274678.2009,25370.49501,41358.64126,15098.19073,0,84129.34732,99785.95393,71534.60643,53200.11906,176313.0142,0,85195.11601,128990.5463,0,0,121113.0245,26710.81497,0,0,0,13272.0194,19368.40926,0,21746.91464,15141.02042,21427.82756,37583.40755,18332.2835,26069.75527,24092.23533,19722.01281,169884.1888,38940.02725,0,70057.66242,123924.4955,78871.59675,0,26955.22525,217857.1577,28334.27919,0,0,33294.21951,0,140947.8489,49524.28813,33370.75861,33517.86526,27344.85866,0,0,47896.02539,19694.33302,9617.31552,0,0,77526.77797,23044.59386,0,76066.65808,48888.50516,63568.82149,72244.61486,214744.5615,57194.56475,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246
hydUND,13631.1861,10394.05954,11131.82768,4591.649694,11205.63975,40914.59892,21440.87604,48365.40027,23382.52792,41555.73024,124051.6627,141052.9753,7421.63034,20753.6599,23592.76183,39849.61467,12536.06662,27761.02705,0,0,76234.68814,0,0,32791.46172,111163.192,31317.4802,8289.729595,9522.255909,0,0,47105.68431,105219.3967,52492.07736,30716.86946,16125.45818,8976.123303,0,9465.664198,30598.97023,33191.21711,0,73008.92688,61275.83059,182299.2341,0,53184.3278,0,0,0,24453.51915,23007.10035,0,80029.51808,0,20729.89959,18431.19044,0,15847.79491,0,0,26714.44517,0,32550.36175,36338.21215,45414.42682,29208.19072,0,93520.26956,274678.2009,25370.49501,41358.64126,15098.19073,0,84129.34732,99785.95393,71534.60643,53200.11906,176313.0142,0,85195.11601,128990.5463,0,0,121113.0245,26710.81497,0,0,0,13272.0194,19368.40926,0,21746.91464,15141.02042,21427.82756,37583.40755,18332.2835,26069.75527,24092.23533,19722.01281,169884.1888,38940.02725,0,70057.66242,123924.4955,78871.59675,0,26955.22525,217857.1577,28334.27919,0,0,33294.21951,0,140947.8489,49524.28813,33370.75861,33517.86526,27344.85866,0,0,47896.02539,19694.33302,9617.31552,0,0,77526.77797,23044.59386,0,76066.65808,48888.50516,63568.82149,72244.61486,214744.5615,57194.56475,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246
hydNPD,46029.26619,57407.0244,116311.273,0,79889.23915,73554.69492,0,0,79563.37592,38443.62942,0,0,0,0,90942.70667,80992.93799,72750.36004,86396.81937,99859.31396,0,140920.6036,0,0,90370.57175,91075.80898,66430.25442,65973.96888,53341.5355,0,0,43803.79497,65443.60996,74065.27459,68681.08825,0,0,89465.89403,0,0,0,0,133460.9915,59515.16817,110809.4322,136939.9759,47493.02259,75836.73127,0,0,43793.13744,64186.05191,0,75240.30818,112604.0187,76313.81491,82480.11978,73360.8785,34384.15675,127879.4289,77095.54084,68008.25531,0,81553.38564,84609.76757,108557.576,32686.31238,71753.39405,0,47206.87825,36345.51447,28492.54664,24848.97282,0,122371.7399,0,113113.2371,34268.0982,146083.9095,0,53033.42187,24661.05351,66298.08025,92194.96035,77862.42686,32569.99725,85467.1764,74672.46537,77477.30803,40359.53562,27785.49203,112413.4633,89534.06986,28022.79882,59490.42641,101081.8984,87712.15605,79750.27492,94493.19815,78248.71993,0,95278.09216,95085.81128,117427.468,0,84596.88202,117266.2838,85670.03771,24142.03166,67514.0713,62252.88211,110930.3028,78968.91813,96579.4763,99769.61424,43658.49717,45391.07627,22558.91208,63457.66308,76952.59132,0,72362.15602,87794.19346,76746.30074,0,0,86239.33115,82050.98607,0,75190.20987,55852.26979,103970.8933,62060.04797,123365.7301,81979.36405,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246
hydNPND,46029.26619,57407.0244,116311.273,0,79889.23915,73554.69492,0,0,79563.37592,38443.62942,0,0,0,0,90942.70667,80992.93799,72750.36004,86396.81937,99859.31396,0,140920.6036,0,0,90370.57175,91075.80898,66430.25442,65973.96888,53341.5355,0,0,43803.79497,65443.60996,74065.27459,68681.08825,0,0,89465.89403,0,0,0,0,133460.9915,59515.16817,110809.4322,136939.9759,47493.02259,75836.73127,0,0,43793.13744,64186.05191,0,75240.30818,112604.0187,76313.81491,82480.11978,73360.8785,34384.15675,127879.4289,77095.54084,68008.25531,0,81553.38564,84609.76757,108557.576,32686.31238,71753.39405,0,47206.87825,36345.51447,28492.54664,24848.97282,0,122371.7399,0,113113.2371,34268.0982,146083.9095,0,53033.42187,24661.05351,66298.08025,92194.96035,77862.42686,32569.99725,85467.1764,74672.46537,77477.30803,40359.53562,27785.49203,112413.4633,89534.06986,28022.79882,59490.42641,101081.8984,87712.15605,79750.27492,94493.19815,78248.71993,0,95278.09216,95085.81128,117427.468,0,84596.88202,117266.2838,85670.03771,24142.03166,67514.0713,62252.88211,110930.3028,78968.91813,96579.4763,99769.61424,43658.49717,45391.07627,22558.91208,63457.66308,76952.59132,0,72362.15602,87794.19346,76746.30074,0,0,86239.33115,82050.98607,0,75190.20987,55852.26979,103970.8933,62060.04797,123365.7301,81979.36405,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246,11741.15246
