*i,month,r,value
hydD,JAN,p1,1.0
hydD,JAN,p10,1.0
hydD,JAN,p100,1.0
hydD,JAN,p101,1.0
hydD,JAN,p102,1.0
hydD,JAN,p103,1.0
hydD,JAN,p104,1.0
hydD,JAN,p105,1.0
hydD,JAN,p106,1.0
hydD,JAN,p107,1.0
hydD,JAN,p108,1.0
hydD,JAN,p109,1.0
hydD,JAN,p11,1.0
hydD,JAN,p110,1.0
hydD,JAN,p111,1.0
hydD,JAN,p112,1.0
hydD,JAN,p113,1.0
hydD,JAN,p114,1.0
hydD,JAN,p115,1.0
hydD,JAN,p116,1.0
hydD,JAN,p117,1.0
hydD,JAN,p118,1.0
hydD,JAN,p119,1.0
hydD,JAN,p12,1.0
hydD,JAN,p120,1.0
hydD,JAN,p121,1.0
hydD,JAN,p122,1.0
hydD,JAN,p123,1.0
hydD,JAN,p124,1.0
hydD,JAN,p125,1.0
hydD,JAN,p126,1.0
hydD,JAN,p127,1.0
hydD,JAN,p128,1.0
hydD,JAN,p129,1.0
hydD,JAN,p13,1.0
hydD,JAN,p130,1.0
hydD,JAN,p131,1.0
hydD,JAN,p132,1.0
hydD,JAN,p133,1.0
hydD,JAN,p134,1.0
hydD,JAN,p135,1.0
hydD,JAN,p136,1.0
hydD,JAN,p137,1.0
hydD,JAN,p138,1.0
hydD,JAN,p139,1.0
hydD,JAN,p14,1.0
hydD,JAN,p140,1.0
hydD,JAN,p141,1.0
hydD,JAN,p142,1.0
hydD,JAN,p143,1.0
hydD,JAN,p144,1.0
hydD,JAN,p145,1.0
hydD,JAN,p146,1.0
hydD,JAN,p147,1.0
hydD,JAN,p148,1.0
hydD,JAN,p149,1.0
hydD,JAN,p15,1.0
hydD,JAN,p150,1.0
hydD,JAN,p151,1.0
hydD,JAN,p152,1.0
hydD,JAN,p153,1.0
hydD,JAN,p154,1.0
hydD,JAN,p155,1.0
hydD,JAN,p156,1.0
hydD,JAN,p157,1.0
hydD,JAN,p158,1.0
hydD,JAN,p159,1.0
hydD,JAN,p16,1.0
hydD,JAN,p160,1.0
hydD,JAN,p161,1.0
hydD,JAN,p162,1.0
hydD,JAN,p163,1.0
hydD,JAN,p164,1.0
hydD,JAN,p165,1.0
hydD,JAN,p166,1.0
hydD,JAN,p167,1.0
hydD,JAN,p168,1.0
hydD,JAN,p169,1.0
hydD,JAN,p17,1.0
hydD,JAN,p170,1.0
hydD,JAN,p171,1.0
hydD,JAN,p172,1.0
hydD,JAN,p173,1.0
hydD,JAN,p174,1.0
hydD,JAN,p175,1.0
hydD,JAN,p176,1.0
hydD,JAN,p177,1.0
hydD,JAN,p178,1.0
hydD,JAN,p179,1.0
hydD,JAN,p18,1.0
hydD,JAN,p180,1.0
hydD,JAN,p181,1.0
hydD,JAN,p182,1.0
hydD,JAN,p183,1.0
hydD,JAN,p184,1.0
hydD,JAN,p185,1.0
hydD,JAN,p186,1.0
hydD,JAN,p187,1.0
hydD,JAN,p188,1.0
hydD,JAN,p189,1.0
hydD,JAN,p19,1.0
hydD,JAN,p190,1.0
hydD,JAN,p191,1.0
hydD,JAN,p192,1.0
hydD,JAN,p193,1.0
hydD,JAN,p194,1.0
hydD,JAN,p195,1.0
hydD,JAN,p196,1.0
hydD,JAN,p197,1.0
hydD,JAN,p198,1.0
hydD,JAN,p199,1.0
hydD,JAN,p2,1.0
hydD,JAN,p20,1.0
hydD,JAN,p200,1.0
hydD,JAN,p201,1.0
hydD,JAN,p202,1.0
hydD,JAN,p203,1.0
hydD,JAN,p204,1.0
hydD,JAN,p205,1.0
hydD,JAN,p21,1.0
hydD,JAN,p22,1.0
hydD,JAN,p23,1.0
hydD,JAN,p24,1.0
hydD,JAN,p25,1.0
hydD,JAN,p26,1.0
hydD,JAN,p27,1.0
hydD,JAN,p28,1.0
hydD,JAN,p29,1.0
hydD,JAN,p3,1.0
hydD,JAN,p30,1.0
hydD,JAN,p31,1.0
hydD,JAN,p32,1.0
hydD,JAN,p33,1.0
hydD,JAN,p34,1.0
hydD,JAN,p35,1.0
hydD,JAN,p36,1.0
hydD,JAN,p37,1.0
hydD,JAN,p38,1.0
hydD,JAN,p39,1.0
hydD,JAN,p4,1.0
hydD,JAN,p40,1.0
hydD,JAN,p41,1.0
hydD,JAN,p42,1.0
hydD,JAN,p43,1.0
hydD,JAN,p44,1.0
hydD,JAN,p45,1.0
hydD,JAN,p46,1.0
hydD,JAN,p47,1.0
hydD,JAN,p48,1.0
hydD,JAN,p49,1.0
hydD,JAN,p5,1.0
hydD,JAN,p50,1.0
hydD,JAN,p51,1.0
hydD,JAN,p52,1.0
hydD,JAN,p53,1.0
hydD,JAN,p54,1.0
hydD,JAN,p55,1.0
hydD,JAN,p56,1.0
hydD,JAN,p57,1.0
hydD,JAN,p58,1.0
hydD,JAN,p59,1.0
hydD,JAN,p6,1.0
hydD,JAN,p60,1.0
hydD,JAN,p61,1.0
hydD,JAN,p62,1.0
hydD,JAN,p63,1.0
hydD,JAN,p64,1.0
hydD,JAN,p65,1.0
hydD,JAN,p66,1.0
hydD,JAN,p67,1.0
hydD,JAN,p68,1.0
hydD,JAN,p69,1.0
hydD,JAN,p7,1.0
hydD,JAN,p70,1.0
hydD,JAN,p71,1.0
hydD,JAN,p72,1.0
hydD,JAN,p73,1.0
hydD,JAN,p74,1.0
hydD,JAN,p75,1.0
hydD,JAN,p76,1.0
hydD,JAN,p77,1.0
hydD,JAN,p78,1.0
hydD,JAN,p79,1.0
hydD,JAN,p8,1.0
hydD,JAN,p80,1.0
hydD,JAN,p81,1.0
hydD,JAN,p82,1.0
hydD,JAN,p83,1.0
hydD,JAN,p84,1.0
hydD,JAN,p85,1.0
hydD,JAN,p86,1.0
hydD,JAN,p87,1.0
hydD,JAN,p88,1.0
hydD,JAN,p89,1.0
hydD,JAN,p9,1.0
hydD,JAN,p90,1.0
hydD,JAN,p91,1.0
hydD,JAN,p92,1.0
hydD,JAN,p93,1.0
hydD,JAN,p94,1.0
hydD,JAN,p95,1.0
hydD,JAN,p96,1.0
hydD,JAN,p97,1.0
hydD,JAN,p98,1.0
hydD,JAN,p99,1.0
hydD,FEB,p1,1.0
hydD,FEB,p10,1.0
hydD,FEB,p100,1.0
hydD,FEB,p101,1.0
hydD,FEB,p102,1.0
hydD,FEB,p103,1.0
hydD,FEB,p104,1.0
hydD,FEB,p105,1.0
hydD,FEB,p106,1.0
hydD,FEB,p107,1.0
hydD,FEB,p108,1.0
hydD,FEB,p109,1.0
hydD,FEB,p11,1.0
hydD,FEB,p110,1.0
hydD,FEB,p111,1.0
hydD,FEB,p112,1.0
hydD,FEB,p113,1.0
hydD,FEB,p114,1.0
hydD,FEB,p115,1.0
hydD,FEB,p116,1.0
hydD,FEB,p117,1.0
hydD,FEB,p118,1.0
hydD,FEB,p119,1.0
hydD,FEB,p12,1.0
hydD,FEB,p120,1.0
hydD,FEB,p121,1.0
hydD,FEB,p122,1.0
hydD,FEB,p123,1.0
hydD,FEB,p124,1.0
hydD,FEB,p125,1.0
hydD,FEB,p126,1.0
hydD,FEB,p127,1.0
hydD,FEB,p128,1.0
hydD,FEB,p129,1.0
hydD,FEB,p13,1.0
hydD,FEB,p130,1.0
hydD,FEB,p131,1.0
hydD,FEB,p132,1.0
hydD,FEB,p133,1.0
hydD,FEB,p134,1.0
hydD,FEB,p135,1.0
hydD,FEB,p136,1.0
hydD,FEB,p137,1.0
hydD,FEB,p138,1.0
hydD,FEB,p139,1.0
hydD,FEB,p14,1.0
hydD,FEB,p140,1.0
hydD,FEB,p141,1.0
hydD,FEB,p142,1.0
hydD,FEB,p143,1.0
hydD,FEB,p144,1.0
hydD,FEB,p145,1.0
hydD,FEB,p146,1.0
hydD,FEB,p147,1.0
hydD,FEB,p148,1.0
hydD,FEB,p149,1.0
hydD,FEB,p15,1.0
hydD,FEB,p150,1.0
hydD,FEB,p151,1.0
hydD,FEB,p152,1.0
hydD,FEB,p153,1.0
hydD,FEB,p154,1.0
hydD,FEB,p155,1.0
hydD,FEB,p156,1.0
