*i,r,quarter,value
hydED,p1,summ,0.082883
hydED,p2,summ,0.13776
hydED,p3,summ,0.5
hydED,p4,summ,0.122608
hydED,p5,summ,0.187675
hydED,p6,summ,0.5
hydED,p7,summ,0.5
hydED,p8,summ,0.5
hydED,p9,summ,0.014178
hydED,p10,summ,0.5
hydED,p11,summ,0.5
hydED,p12,summ,0.5
hydED,p13,summ,0.02185
hydED,p14,summ,0.5
hydED,p15,summ,0.5
hydED,p16,summ,0.5
hydED,p17,summ,0.5
hydED,p18,summ,0.5
hydED,p19,summ,0.5
hydED,p20,summ,0.5
hydED,p21,summ,0.5
hydED,p22,summ,0.5
hydED,p23,summ,0.5
hydED,p24,summ,0.5
hydED,p25,summ,0.5
hydED,p26,summ,0.5
hydED,p27,summ,0.01717
hydED,p28,summ,0.034286
hydED,p29,summ,0.5
hydED,p30,summ,0.5
hydED,p31,summ,0.5
hydED,p32,summ,0.5
hydED,p33,summ,0.5
hydED,p34,summ,0.5
hydED,p35,summ,0.5
hydED,p36,summ,0.5
hydED,p37,summ,0.5
hydED,p38,summ,0.5
hydED,p39,summ,0.5
hydED,p40,summ,0.5
hydED,p41,summ,0.5
hydED,p42,summ,0.5
hydED,p43,summ,0.5
hydED,p44,summ,0.5
hydED,p45,summ,0.5
hydED,p46,summ,0.5
hydED,p47,summ,0.5
hydED,p48,summ,0.5
hydED,p49,summ,0.5
hydED,p50,summ,0.5
hydED,p51,summ,0.5
hydED,p52,summ,0.5
hydED,p53,summ,0.5
hydED,p54,summ,0.5
hydED,p55,summ,0.5
hydED,p56,summ,0.5
hydED,p57,summ,0.5
hydED,p58,summ,0.5
hydED,p59,summ,0.5
hydED,p60,summ,0.5
hydED,p61,summ,0.5
hydED,p62,summ,0.5
hydED,p63,summ,0.5
hydED,p64,summ,0.5
hydED,p65,summ,0.5
hydED,p66,summ,0.5
hydED,p67,summ,0.5
hydED,p68,summ,0.5
hydED,p69,summ,0.5
hydED,p70,summ,0.5
hydED,p71,summ,0.5
hydED,p72,summ,0.5
hydED,p73,summ,0.5
hydED,p74,summ,0.5
hydED,p75,summ,0.5
hydED,p76,summ,0.5
hydED,p77,summ,0.5
hydED,p78,summ,0.5
hydED,p79,summ,0.5
hydED,p80,summ,0.5
hydED,p81,summ,0.5
hydED,p82,summ,0.5
hydED,p83,summ,0.5
hydED,p84,summ,0.5
hydED,p85,summ,0.5
hydED,p86,summ,0.5
hydED,p87,summ,0.5
hydED,p88,summ,0.5
hydED,p89,summ,0.5
hydED,p90,summ,0.5
hydED,p91,summ,0.5
hydED,p92,summ,0.5
hydED,p93,summ,0.5
hydED,p94,summ,0.5
hydED,p95,summ,0.5
hydED,p96,summ,0.5
hydED,p97,summ,0.5
hydED,p98,summ,0.5
hydED,p99,summ,0.5
hydED,p100,summ,0.5
hydED,p101,summ,0.5
hydED,p102,summ,0.5
hydED,p103,summ,0.5
hydED,p104,summ,0.5
hydED,p105,summ,0.5
hydED,p106,summ,0.5
hydED,p107,summ,0.5
hydED,p108,summ,0.5
hydED,p109,summ,0.5
hydED,p110,summ,0.5
hydED,p111,summ,0.5
hydED,p112,summ,0.5
hydED,p113,summ,0.5
hydED,p114,summ,0.5
hydED,p115,summ,0.5
hydED,p116,summ,0.5
hydED,p117,summ,0.5
hydED,p118,summ,0.5
hydED,p119,summ,0.5
hydED,p120,summ,0.5
hydED,p121,summ,0.5
hydED,p122,summ,0.5
hydED,p123,summ,0.5
hydED,p124,summ,0.5
hydED,p125,summ,0.5
hydED,p126,summ,0.5
hydED,p127,summ,0.5
hydED,p128,summ,0.5
hydED,p129,summ,0.5
hydED,p130,summ,0.5
hydED,p131,summ,0.5
hydED,p132,summ,0.5
hydED,p133,summ,0.5
hydED,p134,summ,0.5
hydED,p135,summ,0.5
hydED,p136,summ,0.5
hydED,p137,summ,0.5
hydED,p138,summ,0.5
hydED,p139,summ,0.5
hydED,p140,summ,0.5
hydED,p141,summ,0.5
hydED,p142,summ,0.5
hydED,p143,summ,0.5
hydED,p144,summ,0.5
hydED,p145,summ,0.5
hydED,p146,summ,0.5
hydED,p147,summ,0.5
hydED,p148,summ,0.5
hydED,p149,summ,0.5
hydED,p150,summ,0.5
hydED,p151,summ,0.5
hydED,p152,summ,0.5
hydED,p153,summ,0.5
hydED,p154,summ,0.5
hydED,p155,summ,0.5
hydED,p156,summ,0.5
hydED,p157,summ,0.5
hydED,p158,summ,0.5
hydED,p159,summ,0.5
hydED,p160,summ,0.5
hydED,p161,summ,0.5
hydED,p162,summ,0.5
hydED,p163,summ,0.5
hydED,p164,summ,0.5
hydED,p165,summ,0.5
hydED,p166,summ,0.5
hydED,p167,summ,0.5
hydED,p168,summ,0.5
hydED,p169,summ,0.5
hydED,p170,summ,0.5
hydED,p171,summ,0.5
hydED,p172,summ,0.5
hydED,p173,summ,0.5
hydED,p174,summ,0.5
hydED,p175,summ,0.5
hydED,p176,summ,0.5
hydED,p177,summ,0.5
hydED,p178,summ,0.5
hydED,p179,summ,0.5
hydED,p180,summ,0.5
hydED,p181,summ,0.5
hydED,p182,summ,0.5
hydED,p183,summ,0.5
hydED,p184,summ,0.5
hydED,p185,summ,0.5
hydED,p186,summ,0.5
hydED,p187,summ,0.5
hydED,p188,summ,0.5
hydED,p189,summ,0.5
hydED,p190,summ,0.5
hydED,p191,summ,0.5
hydED,p192,summ,0.5
hydED,p193,summ,0.5
hydED,p194,summ,0.5
hydED,p195,summ,0.5
hydED,p196,summ,0.5
hydED,p197,summ,0.5
hydED,p198,summ,0.5
hydED,p199,summ,0.5
hydED,p200,summ,0.5
hydED,p201,summ,0.5
hydED,p202,summ,0.5
hydED,p203,summ,0.5
hydED,p204,summ,0.5
hydED,p205,summ,0.5
hydED,p1,fall,0.082883
hydED,p2,fall,0.138977
hydED,p3,fall,0.5
hydED,p4,fall,0.122608
hydED,p5,fall,0.187675
hydED,p6,fall,0.5
hydED,p7,fall,0.5
hydED,p8,fall,0.5
hydED,p9,fall,0.012104
hydED,p10,fall,0.5
hydED,p11,fall,0.5
hydED,p12,fall,0.5
hydED,p13,fall,0.02185
hydED,p14,fall,0.5
hydED,p15,fall,0.5
hydED,p16,fall,0.5
hydED,p17,fall,0.5
hydED,p18,fall,0.5
hydED,p19,fall,0.5
hydED,p20,fall,0.5
hydED,p21,fall,0.5
hydED,p22,fall,0.5
hydED,p23,fall,0.5
hydED,p24,fall,0.5
hydED,p25,fall,0.5
hydED,p26,fall,0.5
hydED,p27,fall,0.01717
hydED,p28,fall,0.034286
hydED,p29,fall,0.5
hydED,p30,fall,0.5
hydED,p31,fall,0.5
hydED,p32,fall,0.5
hydED,p33,fall,0.5
hydED,p34,fall,0.5
hydED,p35,fall,0.5
hydED,p36,fall,0.5
hydED,p37,fall,0.5
hydED,p38,fall,0.5
hydED,p39,fall,0.5
hydED,p40,fall,0.5
hydED,p41,fall,0.5
hydED,p42,fall,0.5
hydED,p43,fall,0.5
hydED,p44,fall,0.5
hydED,p45,fall,0.5
hydED,p46,fall,0.5
hydED,p47,fall,0.5
hydED,p48,fall,0.5
hydED,p49,fall,0.5
hydED,p50,fall,0.5
hydED,p51,fall,0.5
hydED,p52,fall,0.5
hydED,p53,fall,0.5
hydED,p54,fall,0.5
hydED,p55,fall,0.5
hydED,p56,fall,0.5
hydED,p57,fall,0.5
hydED,p58,fall,0.5
hydED,p59,fall,0.5
hydED,p60,fall,0.5
hydED,p61,fall,0.5
hydED,p62,fall,0.5
hydED,p63,fall,0.5
hydED,p64,fall,0.5
hydED,p65,fall,0.5
hydED,p66,fall,0.5
hydED,p67,fall,0.5
hydED,p68,fall,0.5
hydED,p69,fall,0.5
hydED,p70,fall,0.5
hydED,p71,fall,0.5
hydED,p72,fall,0.5
hydED,p73,fall,0.5
hydED,p74,fall,0.5
hydED,p75,fall,0.5
hydED,p76,fall,0.5
hydED,p77,fall,0.5
hydED,p78,fall,0.5
hydED,p79,fall,0.5
hydED,p80,fall,0.5
hydED,p81,fall,0.5
hydED,p82,fall,0.5
hydED,p83,fall,0.5
hydED,p84,fall,0.5
hydED,p85,fall,0.5
hydED,p86,fall,0.5
hydED,p87,fall,0.5
hydED,p88,fall,0.5
hydED,p89,fall,0.5
hydED,p90,fall,0.5
hydED,p91,fall,0.5
hydED,p92,fall,0.5
hydED,p93,fall,0.5
hydED,p94,fall,0.5
hydED,p95,fall,0.5
hydED,p96,fall,0.5
hydED,p97,fall,0.5
hydED,p98,fall,0.5
hydED,p99,fall,0.5
hydED,p100,fall,0.5
hydED,p101,fall,0.5
hydED,p102,fall,0.5
hydED,p103,fall,0.5
hydED,p104,fall,0.5
hydED,p105,fall,0.5
hydED,p106,fall,0.5
hydED,p107,fall,0.5
hydED,p108,fall,0.5
hydED,p109,fall,0.5
hydED,p110,fall,0.5
hydED,p111,fall,0.5
hydED,p112,fall,0.5
hydED,p113,fall,0.5
hydED,p114,fall,0.5
hydED,p115,fall,0.5
hydED,p116,fall,0.5
hydED,p117,fall,0.5
hydED,p118,fall,0.5
hydED,p119,fall,0.5
hydED,p120,fall,0.5
hydED,p121,fall,0.5
hydED,p122,fall,0.5
hydED,p123,fall,0.5
hydED,p124,fall,0.5
hydED,p125,fall,0.5
hydED,p126,fall,0.5
hydED,p127,fall,0.5
hydED,p128,fall,0.5
hydED,p129,fall,0.5
hydED,p130,fall,0.5
hydED,p131,fall,0.5
hydED,p132,fall,0.5
hydED,p133,fall,0.5
hydED,p134,fall,0.5
hydED,p135,fall,0.5
hydED,p136,fall,0.5
hydED,p137,fall,0.5
hydED,p138,fall,0.5
hydED,p139,fall,0.5
hydED,p140,fall,0.5
hydED,p141,fall,0.5
hydED,p142,fall,0.5
hydED,p143,fall,0.5
hydED,p144,fall,0.5
hydED,p145,fall,0.5
hydED,p146,fall,0.5
hydED,p147,fall,0.5
hydED,p148,fall,0.5
hydED,p149,fall,0.5
hydED,p150,fall,0.5
hydED,p151,fall,0.5
hydED,p152,fall,0.5
hydED,p153,fall,0.5
hydED,p154,fall,0.5
hydED,p155,fall,0.5
hydED,p156,fall,0.5
hydED,p157,fall,0.5
hydED,p158,fall,0.5
hydED,p159,fall,0.5
hydED,p160,fall,0.5
hydED,p161,fall,0.5
hydED,p162,fall,0.5
hydED,p163,fall,0.5
hydED,p164,fall,0.5
hydED,p165,fall,0.5
hydED,p166,fall,0.5
hydED,p167,fall,0.5
hydED,p168,fall,0.5
hydED,p169,fall,0.5
hydED,p170,fall,0.5
hydED,p171,fall,0.5
hydED,p172,fall,0.5
hydED,p173,fall,0.5
hydED,p174,fall,0.5
hydED,p175,fall,0.5
hydED,p176,fall,0.5
hydED,p177,fall,0.5
hydED,p178,fall,0.5
hydED,p179,fall,0.5
hydED,p180,fall,0.5
hydED,p181,fall,0.5
hydED,p182,fall,0.5
hydED,p183,fall,0.5
hydED,p184,fall,0.5
hydED,p185,fall,0.5
hydED,p186,fall,0.5
hydED,p187,fall,0.5
hydED,p188,fall,0.5
hydED,p189,fall,0.5
hydED,p190,fall,0.5
hydED,p191,fall,0.5
hydED,p192,fall,0.5
hydED,p193,fall,0.5
hydED,p194,fall,0.5
hydED,p195,fall,0.5
hydED,p196,fall,0.5
hydED,p197,fall,0.5
hydED,p198,fall,0.5
hydED,p199,fall,0.5
hydED,p200,fall,0.5
hydED,p201,fall,0.5
hydED,p202,fall,0.5
hydED,p203,fall,0.5
hydED,p204,fall,0.5
hydED,p205,fall,0.5
hydED,p1,wint,0.082883
hydED,p2,wint,0.120044
hydED,p3,wint,0.5
hydED,p4,wint,0.122608
hydED,p5,wint,0.187675
hydED,p6,wint,0.5
hydED,p7,wint,0.5
hydED,p8,wint,0.5
hydED,p9,wint,0.014763
hydED,p10,wint,0.5
hydED,p11,wint,0.5
hydED,p12,wint,0.5
hydED,p13,wint,0.02185
hydED,p14,wint,0.5
hydED,p15,wint,0.5
hydED,p16,wint,0.5
hydED,p17,wint,0.5
hydED,p18,wint,0.5
hydED,p19,wint,0.5
hydED,p20,wint,0.5
hydED,p21,wint,0.5
hydED,p22,wint,0.5
hydED,p23,wint,0.5
hydED,p24,wint,0.5
hydED,p25,wint,0.5
hydED,p26,wint,0.5
hydED,p27,wint,0.01717
hydED,p28,wint,0.034286
hydED,p29,wint,0.5
hydED,p30,wint,0.5
hydED,p31,wint,0.5
hydED,p32,wint,0.5
hydED,p33,wint,0.5
hydED,p34,wint,0.5
hydED,p35,wint,0.5
hydED,p36,wint,0.5
hydED,p37,wint,0.5
hydED,p38,wint,0.5
hydED,p39,wint,0.5
hydED,p40,wint,0.5
hydED,p41,wint,0.5
hydED,p42,wint,0.5
hydED,p43,wint,0.5
hydED,p44,wint,0.5
hydED,p45,wint,0.5
hydED,p46,wint,0.5
hydED,p47,wint,0.5
hydED,p48,wint,0.5
hydED,p49,wint,0.5
hydED,p50,wint,0.5
hydED,p51,wint,0.5
hydED,p52,wint,0.5
hydED,p53,wint,0.5
hydED,p54,wint,0.5
hydED,p55,wint,0.5
hydED,p56,wint,0.5
hydED,p57,wint,0.5
hydED,p58,wint,0.5
hydED,p59,wint,0.5
hydED,p60,wint,0.5
hydED,p61,wint,0.5
hydED,p62,wint,0.5
hydED,p63,wint,0.5
hydED,p64,wint,0.5
hydED,p65,wint,0.5
hydED,p66,wint,0.5
hydED,p67,wint,0.5
hydED,p68,wint,0.5
hydED,p69,wint,0.5
hydED,p70,wint,0.5
hydED,p71,wint,0.5
hydED,p72,wint,0.5
hydED,p73,wint,0.5
hydED,p74,wint,0.5
hydED,p75,wint,0.5
hydED,p76,wint,0.5
hydED,p77,wint,0.5
hydED,p78,wint,0.5
hydED,p79,wint,0.5
hydED,p80,wint,0.5
hydED,p81,wint,0.5
hydED,p82,wint,0.5
hydED,p83,wint,0.5
hydED,p84,wint,0.5
hydED,p85,wint,0.5
hydED,p86,wint,0.5
hydED,p87,wint,0.5
hydED,p88,wint,0.5
hydED,p89,wint,0.5
hydED,p90,wint,0.5
hydED,p91,wint,0.5
hydED,p92,wint,0.5
hydED,p93,wint,0.5
hydED,p94,wint,0.5
hydED,p95,wint,0.5
hydED,p96,wint,0.5
hydED,p97,wint,0.5
hydED,p98,wint,0.5
hydED,p99,wint,0.5
hydED,p100,wint,0.5
hydED,p101,wint,0.5
hydED,p102,wint,0.5
hydED,p103,wint,0.5
hydED,p104,wint,0.5
hydED,p105,wint,0.5
hydED,p106,wint,0.5
hydED,p107,wint,0.5
hydED,p108,wint,0.5
hydED,p109,wint,0.5
hydED,p110,wint,0.5
