pshsupplycurve,duration
8hr_ref_mar2024,8
8hr_wEphemeral_mar2024,8
10hr_ref_mar2024,10
10hr_wEphemeral_mar2024,10
12hr_ref_mar2024,12
12hr_wEphemeral_mar2024,12
8hr_wExist_mar2024,8
8hr_wExist_wEph_mar2024,8
10hr_wExist_mar2024,10
10hr_wExist_wEph_mar2024,10
12hr_wExist_mar2024,12
12hr_wExist_wEph_mar2024,12
8hr_ref_apr2025,8
8hr_wEph_apr2025,8
10hr_ref_apr2025,10
10hr_wEph_apr2025,10
12hr_ref_apr2025,12
12hr_wEph_apr2025,12
8hr_wExist_apr2025,8
8hr_wExist_wEph_apr2025,8
10hr_wExist_apr2025,10
10hr_wExist_wEph_apr2025,10
12hr_wExist_apr2025,12
12hr_wExist_wEph_apr2025,12
