tech,ba,year,var_name,con_name,value
ccgt-gas,Andhra_Pradesh,2029,cap,eq_growthlimit_relative,0.0
ccgt-gas,Andhra_Pradesh,2029,cap,eq_capacity_limit,99.49665634396115
ccgt-gas,Andhra_Pradesh,2029,cap,eq_reserve_margin,8387.14502243857
ccgt-gas,Andhra_Pradesh,2030,cap,_obj,-12908.115548958442
ccgt-gas,Andhra_Pradesh,2030,cap,eq_cap_init_retub,0.0
ccgt-gas,Andhra_Pradesh,2030,cap,eq_cap_init_retmo,-78840.24158050583
ccgt-gas,Andhra_Pradesh,2030,cap,eq_growthlimit_relative,0.0
ccgt-gas,Andhra_Pradesh,2030,cap,eq_capacity_limit,1020.9370031600104
ccgt-gas,Andhra_Pradesh,2030,cap,eq_reserve_margin,90727.42012630423
ccgt-gas,Delhi,2017,cap,_obj,-1597.857782
ccgt-gas,Delhi,2017,cap,eq_cap_init_noret,96.77574191855865
ccgt-gas,Delhi,2017,cap,eq_capacity_limit,1501.082040081441
ccgt-gas,Delhi,2017,cap,eq_reserve_margin,9.9342756243459e-13
ccgt-gas,Delhi,2018,cap,_obj,-1465.9242627980418
ccgt-gas,Delhi,2018,cap,eq_cap_init_noret,0.8681414647185193
ccgt-gas,Delhi,2018,cap,eq_capacity_limit,1465.0561213333226
ccgt-gas,Delhi,2018,cap,eq_reserve_margin,4.96713781217295e-13
ccgt-gas,Delhi,2019,cap,_obj,-1344.88493795376
ccgt-gas,Delhi,2019,cap,eq_cap_init_noret,163.2752382021091
ccgt-gas,Delhi,2019,cap,eq_capacity_limit,1181.6096997516504
ccgt-gas,Delhi,2019,cap,eq_reserve_margin,4.96713781217295e-13
ccgt-gas,Delhi,2020,cap,_obj,-1233.838615678106
ccgt-gas,Delhi,2020,cap,eq_cap_init_noret,306.5467264765863
ccgt-gas,Delhi,2020,cap,eq_capacity_limit,927.2918892015191
ccgt-gas,Delhi,2020,cap,eq_reserve_margin,0.0
ccgt-gas,Delhi,2021,cap,_obj,-1131.96239921335
ccgt-gas,Delhi,2021,cap,eq_cap_init_noret,366.45767220960875
ccgt-gas,Delhi,2021,cap,eq_capacity_limit,765.5047270037409
ccgt-gas,Delhi,2021,cap,eq_reserve_margin,2.483568906086475e-12
ccgt-gas,Delhi,2022,cap,_obj,-1038.497306113042
ccgt-gas,Delhi,2022,cap,eq_cap_init_noret,332.4782491721154
ccgt-gas,Delhi,2022,cap,eq_cap_init_retmo,0.0
ccgt-gas,Delhi,2022,cap,eq_growthlimit_relative,0.0
ccgt-gas,Delhi,2022,cap,eq_capacity_limit,706.0190569409264
ccgt-gas,Delhi,2022,cap,eq_reserve_margin,2.9802826873037702e-12
ccgt-gas,Delhi,2023,cap,_obj,-952.749866099794
ccgt-gas,Delhi,2023,cap,eq_cap_init_retub,-71058.5638417126
ccgt-gas,Delhi,2023,cap,eq_cap_init_retmo,65722.07175819232
ccgt-gas,Delhi,2023,cap,eq_growthlimit_relative,2363.076625479113
ccgt-gas,Delhi,2023,cap,eq_capacity_limit,659.427249127707
ccgt-gas,Delhi,2023,cap,eq_reserve_margin,3266.738075013246
ccgt-gas,Delhi,2024,cap,_obj,-874.082533918588
ccgt-gas,Delhi,2024,cap,eq_cap_init_retub,0.0
