,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0.016797146,10.33332393,24.4256,60.7343,99.5596,139.8823,143.4945,157.3063,192.2886,260.9964,374.7614,475.1091,540.3049,581.3971,622.4384,660.3767,701.387,717.8909,752.4127,804.7438,849.7676
p10,534.6252872,865.8653054,1685.7395,3164.0974,4730.3466,5583.0354,6346.5418,6516.2147,6774.8027,7192.2761,7789.0136,8291.1689,8748.9686,9103.4274,9427.9408,9738.0639,10056.3555,10390.1731,11096.2177,11535.9101,11657.5624
p100,0,0,0.4867,1.3284,3.0351,7.0444,13.1997,22.5771,27.7255,37.7715,53.535,68.1806,81.1366,91.0011,99.8294,108.7322,120.4421,130.4237,146.2442,160.9858,172.3509
p101,8.377123095,26.91038637,62.2131,106.5219,211.1547,425.3129,744.0381,1212.8571,1930.4254,2943.429,4398.0052,5748.7227,6012.0538,6210.4955,6373.3827,6529.6962,6714.9612,6842.2509,6900.03,6974.5714,7440.3727
p102,5.087078563,14.23755315,24.6048,45.3307,111.666,219.2069,359.4221,575.118,925.0659,1415.5357,2103.2472,2707.4358,2812.4537,2882.5377,2945.5439,3014.0613,3095.7346,3146.1542,3162.6062,3195.7853,3413.8772
p103,0,0,12.7605,25.0555,44.5389,60.5113,82.8158,125.2788,212.9069,395.2534,777.466,1237.8592,1715.9073,2135.0375,2491.8916,2766.8926,3054.6516,3244.1468,3526.577,3795.2693,4045.0394
p104,0,0,0.9857,2.1787,3.7736,4.834,6.2416,9.0582,14.6634,25.2183,42.3134,62.2289,83.1786,102.2649,118.5726,130.8821,145.4103,157.0702,173.9044,191.9467,212.6897
p105,0,0,3.5263,9.3025,43.0549,65.2054,96.5634,112.1398,143.2969,204.5525,320.9747,451.1512,590.1345,718.7992,850.3143,979.3487,1142.9705,1312.1487,1500.036,1679.6423,1821.3144
p106,0,0,1.2061,3.3818,14.6428,24.6306,40.4438,45.1201,53.7787,70.4475,103.4849,138.1086,173.7586,208.1416,245.9491,285.1145,342.6834,402.8841,462.0769,499.8516,543.6763
p107,0,0,1.5267,4.4447,20.14,41.3993,65.2913,76.5409,100.3228,145.984,235.5131,339.8883,454.4866,561.829,669.0033,769.3009,887.3466,997.2528,1111.8911,1210.6257,1294.9209
p108,0,0,0.1397,0.6267,4.889,4.889,4.889,4.889,4.889,4.889,4.9745,5.1097,6.1133,7.4429,9.3296,11.7065,15.1411,19.7795,25.7496,32.8967,41.2435
p109,0,0,0.1617,0.6613,5.0323,5.0323,5.0323,5.0323,5.0323,5.0323,5.495,6.1803,8.0799,10.769,15.637,22.5709,32.9313,48.121,70.2729,101.4915,144.8464
p11,107.3777754,132.949176,225.2177,483.462,731.9114,915.5034,1073.4106,1093.6601,1132.8938,1184.2981,1263.238,1324.3607,1388.6465,1446.5793,1498.5924,1539.1221,1573.8244,1616.3225,1758.5294,1848.4968,1859.2027
p110,0,0,0.0572,0.2133,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3048,2.4487,2.6167,3.1153,3.9062,5.0524,6.5979,8.7425,11.5325,15.1215
p111,0.030012846,18.41141759,24.2202,30.4039,44.0262,57.0938,76.8584,107.9377,158.2546,237.7569,363.9494,538.3548,763.1253,1028.7806,1320.4919,1612.8307,1678.4245,1752.8354,1839.6076,1932.0927,2030.032
p112,0,15.96889695,36.9075,45.1301,62.7868,72.8975,88.2213,112.654,152.8958,218.3258,325.0003,478.1867,684.4317,938.306,1228.2949,1532.8022,1631.9775,1733.9133,1842.6291,1951.6011,2062.7875
p113,0.00074308,3.858751976,6.0568,7.5726,11.0762,14.7323,20.4913,29.6217,44.372,67.4201,103.7258,153.6597,216.9243,289.9696,368.8218,448.149,466.847,484.9682,503.7416,521.5635,538.2817
p114,0,5.660933492,10.8635,12.87,17.3395,19.0739,21.9985,26.9433,35.3728,49.3732,72.4035,106.7094,154.2894,215.0052,287.4778,369.9749,410.1691,454.4059,504.4221,556.4399,607.5622
p115,0.438228156,35.5977707,57.2537,70.0099,94.0392,131.2909,181.4074,249.9686,353.1648,497.1641,700.7797,879.8143,894.7986,908.6543,923.2035,936.3253,951.3429,963.5459,978.6296,991.5581,1006.9364
p116,0,0,22.7286,37.1229,51.4109,61.3361,70.1258,82.295,102.6583,131.3364,172.5256,219.1598,269.589,321.3774,373.5476,425.7689,437.8711,451.6349,477.1222,503.0567,520.387
p117,0,0,2.5018,3.5436,4.3746,4.4068,4.427,4.4618,4.6714,5.4192,7.0543,9.5982,13.5468,19.5172,28.4826,41.6558,49.3354,59.9003,89.8718,125.3308,144.8467
p118,0,0,2.313,4.7832,9.55,13.317,18.9788,28.444,33.7857,46.1526,76.8291,116.2827,169.2229,233.0563,304.4621,371.3701,442.1306,497.8871,556.1544,618.1067,661.6392
p119,0.123533323,4.106571736,9.5251,11.2675,13.8315,16.9414,20.8118,26.0761,34.6537,46.9055,65.3712,83.6663,86.5819,89.2514,91.7629,93.7919,96.0118,97.836,99.9462,101.6529,102.9372
p12,0.408189973,14.22757422,30.2713,72.383,91.2838,95.4996,98.32,104.1046,117.4206,139.3986,165.2081,185.9351,205.8542,219.0579,231.9777,245.7107,260.3711,267.6261,276.622,290.3166,309.445
p120,0.304902382,2.880211639,7.4432,8.7247,10.5089,12.2368,14.5367,17.8197,23.2504,31.0915,42.6191,53.8483,56.8782,59.5988,61.7324,63.4465,65.1307,66.7137,68.651,69.9784,71.0985
p121,0,8.308360209,28.6537,80.2312,111.9173,121.6815,122.8258,124.4541,136.2423,157.8604,167.4828,175.6897,182.686,188.4887,193.3431,197.566,202.1618,206.5457,211.1348,214.8527,218.5813
p122,2.438565672,132.0154459,149.0034,189.771,277.0508,443.8746,657.8469,958.2966,1409.3188,2025.9323,2897.2904,3665.3816,3724.4624,3775.5965,3824.3789,3868.682,3926.293,3981.7403,4042.628,4093.182,4150.221
p123,0.002115553,75.49163979,173.0078,555.9835,836.6657,972.6238,1040.1214,1107.6675,1251.6964,1465.9195,1571.8867,1659.4074,1733.8131,1795.9616,1853.6606,1902.25,1951.8343,1999.2234,2054.1406,2097.3349,2160.5498
p124,0,0,0.072,0.1861,0.3411,0.5865,1.0098,1.6933,2.01,2.9821,5.3982,8.2889,11.7754,15.2946,18.8195,21.9735,25.9013,29.0956,33.369,35.9628,38.5364
p125,0.947636682,17.6,27.561,62.1679,92.3669,118.0687,139.9744,167.6518,210.6119,274.2307,372.4603,388.472,405.6681,420.3348,437.555,452.356,471.1608,489.3794,508.9978,522.7932,542.564
p126,4.57672123,816.9,1210.57,1625.2456,2169.931,2502.5075,2708.1728,2883.1073,3114.3967,3450.6196,3944.7787,4407.5087,4440.7027,4472.3287,4507.3675,4542.443,4585.0798,4629.2341,4684.4246,4740.3658,4808.4367
