i,t,capcost,fom,vom,conversionrate
dac_gas,2020,14375160,394200,59,0.3265
dac_gas,2021,14375160,394200,59,0.3265
dac_gas,2022,14375160,394200,59,0.3265
dac_gas,2023,14375160,394200,59,0.3265
dac_gas,2024,14375160,394200,59,0.3265
dac_gas,2025,14375160,394200,59,0.3265
dac_gas,2026,14375160,394200,59,0.3265
dac_gas,2027,14375160,394200,59,0.3265
dac_gas,2028,14375160,394200,59,0.3265
dac_gas,2029,14375160,394200,59,0.3265
dac_gas,2030,14375160,394200,59,0.3265
dac_gas,2031,14375160,394200,59,0.3265
dac_gas,2032,14375160,394200,59,0.3265
dac_gas,2033,14375160,394200,59,0.3265
dac_gas,2034,14375160,394200,59,0.3265
dac_gas,2035,14375160,394200,59,0.3265
dac_gas,2036,14375160,394200,59,0.3265
dac_gas,2037,14375160,394200,59,0.3265
dac_gas,2038,14375160,394200,59,0.3265
dac_gas,2039,14375160,394200,59,0.3265
dac_gas,2040,14375160,394200,59,0.3265
dac_gas,2041,14375160,394200,59,0.3265
dac_gas,2042,14375160,394200,59,0.3265
dac_gas,2043,14375160,394200,59,0.3265
dac_gas,2044,14375160,394200,59,0.3265
dac_gas,2045,14375160,394200,59,0.3265
dac_gas,2046,14375160,394200,59,0.3265
dac_gas,2047,14375160,394200,59,0.3265
dac_gas,2048,14375160,394200,59,0.3265
dac_gas,2049,14375160,394200,59,0.3265
dac_gas,2050,14375160,394200,59,0.3265
