i,t,capcost,fom,vom,conversionrate
dac,2020,1,1,1,1
dac,2021,1,1,1,1
dac,2022,1,1,1,1
dac,2023,1,1,1,1
dac,2024,1,1,1,1
dac,2025,1,1,1,1
dac,2026,1,1,1,1
dac,2027,1,1,1,1
dac,2028,1,1,1,1
dac,2029,1,1,1,1
dac,2030,1,1,1,1
dac,2031,1,1,1,1
dac,2032,1,1,1,1
dac,2033,1,1,1,1
dac,2034,1,1,1,1
dac,2035,1,1,1,1
dac,2036,1,1,1,1
dac,2037,1,1,1,1
dac,2038,1,1,1,1
dac,2039,1,1,1,1
dac,2040,1,1,1,1
dac,2041,1,1,1,1
dac,2042,1,1,1,1
dac,2043,1,1,1,1
dac,2044,1,1,1,1
dac,2045,1,1,1,1
dac,2046,1,1,1,1
dac,2047,1,1,1,1
dac,2048,1,1,1,1
dac,2049,1,1,1,1
dac,2050,1,1,1,1
