p,t,none,BAU,Aggressive,Decarb_with_BAU,Decarb,LTS
H2,2010,0,10,10,10,0,0
H2,2011,0,10,10,10,0,0
H2,2012,0,10,10,10,0,0
H2,2013,0,10,10,10,0,0
H2,2014,0,10,10,10,0,0
H2,2015,0,10,10,10,0,0
H2,2016,0,10,10,10,0,0
H2,2017,0,10,10,10,0,0
H2,2018,0,10,10,10,0,0
H2,2019,0,10,10,10,0,0
H2,2020,0,10,10,10,0,0
H2,2021,0,10,10,10,0,0
H2,2022,0,10,11.06896552,10,0,0
H2,2023,0,10,12.13793103,10,0,0
H2,2024,0,10,13.20689655,12.11,0,0
H2,2025,0,10,14.27586207,13.18,0,0
H2,2026,0,10,15.34482759,13.84,3.23,2.06
H2,2027,0,10,16.4137931,14.49,4.02,2.4
H2,2028,0,10,17.48275862,15.12,4.83,2.75
H2,2029,0,10,18.55172414,15.76,5.62,3.09
H2,2030,0,10,19.62068966,16.43,6.44,3.44
H2,2031,0,10,20.68965517,17.9,7.94,4.22
H2,2032,0,10,21.75862069,19.42,9.47,5.01
H2,2033,0,10,22.82758621,20.98,11.05,5.81
H2,2034,0,10,23.89655172,22.57,12.67,6.63
H2,2035,0,10,24.96551724,24.2,14.33,7.46
H2,2036,0,10,26.03448276,25.82,16.16,8.3
H2,2037,0,10,27.10344828,27.47,18.02,9.15
H2,2038,0,10,28.17241379,29.14,19.9,10.01
H2,2039,0,10,29.24137931,30.87,21.83,10.88
H2,2040,0,10,30.31034483,32.58,23.77,11.75
H2,2041,0,10,31.37931034,34.44,25.83,13.13
H2,2042,0,10,32.44827586,36.28,27.9,14.51
H2,2043,0,10,33.51724138,38.24,30.08,15.9
H2,2044,0,10,34.5862069,40.19,32.26,17.29
H2,2045,0,10,35.65517241,42.21,34.52,18.69
H2,2046,0,10,36.72413793,44.2,36.77,20.09
H2,2047,0,10,37.79310345,46.21,39.07,21.47
H2,2048,0,10,38.86206897,48.28,41.43,22.84
H2,2049,0,10,39.93103448,50.37,43.84,24.22
H2,2050,0,10,41,52.51,46.32,25.58
