*r,t,fraction
p1,2021,0.02288073
p10,2021,0.042458585
p103,2021,0.004995944
p105,2021,0.008500044
p107,2021,0.001068577
p109,2021,0.000218573
p111,2021,0.0163409
p112,2021,0.029205536
p12,2021,0.00017347
p122,2021,0.027824632
p126,2021,0.006598809
p127,2021,0.01173353
p18,2021,0.001214292
p2,2021,0.00179101
p20,2021,0.006501666
p21,2021,0.003461179
p23,2021,0.00064184
p24,2021,0.009035072
p25,2021,0.007254527
p31,2021,0.000902045
p33,2021,0.003833693
p36,2021,0.009729694
p40,2021,0.022686128
p41,2021,0.006089434
p43,2021,0.017093761
p47,2021,0.003989816
p48,2021,0.019923339
p50,2021,0.037904478
p51,2021,0.041276893
p53,2021,0.013636301
p58,2021,0.226959481
p59,2021,0.004649003
p62,2021,0.00256736
p63,2021,0.005655131
p64,2021,0.000520411
p65,2021,0.033982827
p66,2021,0.06363417
p67,2021,0.107929495
p70,2021,0.012775872
p80,2021,0.030364237
p81,2021,0.027052685
p85,2021,0.011812987
p87,2021,0.011052278
p89,2021,0.004253378
p9,2021,0.030260155
p90,2021,0.016150083
p91,2021,0.00017347
p92,2021,0.007839947
p94,2021,0.013492276
p99,2021,0.009910256
p1,2050,0.020058168
p10,2050,0.079043737
p100,2050,6.36383E-05
p101,2050,0.009420186
p102,2050,0.01620941
p103,2050,0.01371117
p104,2050,9.36917E-05
p105,2050,0.006633813
p106,2050,0.00204926
p107,2050,0.00429412
p108,2050,0.002588928
p109,2050,0.003959902
p11,2050,0.01225365
p111,2050,0.021040265
p112,2050,0.012156151
p113,2050,0.001034358
p114,2050,0.002497153
p115,2050,0.002644772
p116,2050,0.000388194
p117,2050,0.000389696
p118,2050,7.79349E-05
p119,2050,0.000613479
p12,2050,0.00057078
p120,2050,3.05097E-05
p121,2050,0.000291676
p122,2050,0.033845753
p123,2050,0.008181391
p125,2050,0.000287765
p126,2050,0.003882002
p127,2050,0.064371114
p129,2050,0.000686106
p13,2050,0.005806827
p130,2050,0.000636003
p131,2050,0.014134597
p132,2050,0.005707657
p133,2050,0.001981582
p134,2050,0.001289185
p14,2050,5.90913E-05
p15,2050,0.001190898
p16,2050,8.98531E-05
p17,2050,0.000534587
p18,2050,0.001258003
p2,2050,0.001057601
p20,2050,0.00278326
p21,2050,0.001068556
p23,2050,0.000253333
p24,2050,0.002780459
p25,2050,0.005213283
p27,2050,7.18503E-05
p28,2050,0.010885223
p3,2050,0.000439834
p30,2050,0.001407976
p31,2050,0.001208475
p32,2050,0.005213199
p33,2050,0.01006606
p34,2050,0.000725613
p36,2050,0.006356784
p37,2050,0.001273188
p38,2050,3.01955E-05
p4,2050,0.000195853
p40,2050,0.014019897
p41,2050,0.007966281
p43,2050,0.050238414
p46,2050,3.73549E-05
p47,2050,0.001389494
p48,2050,0.007820812
p5,2050,0.005566853
p50,2050,0.016482797
p51,2050,0.018440198
p53,2050,0.018505833
p54,2050,0.007340562
p55,2050,3.19895E-05
p56,2050,5.46668E-05
p57,2050,0.000774114
p58,2050,0.066914802
p59,2050,0.002954277
p6,2050,0.000459433
p61,2050,5.41081E-05
p62,2050,0.002343489
p63,2050,0.018758811
p64,2050,0.004096295
p65,2050,0.017617578
p66,2050,0.021331255
p67,2050,0.047724712
p68,2050,0.001448054
p69,2050,2.28885E-05
p70,2050,0.014057138
p72,2050,0.008728695
p75,2050,0.005936804
p76,2050,8.32497E-05
p78,2050,0.00077877
p79,2050,0.003112785
p80,2050,0.04131554
p81,2050,0.011674454
p82,2050,0.002335555
p83,2050,0.003400934
p85,2050,0.009069306
p86,2050,1.3975E-05
p87,2050,0.011159778
p88,2050,0.002151954
p89,2050,0.008474158
p9,2050,0.046121046
p90,2050,0.010994039
p91,2050,0.005597503
p92,2050,0.015671925
p93,2050,9.32452E-07
p94,2050,0.024131646
p95,2050,0.002342346
p96,2050,0.001961844
p97,2050,0.00400908
p98,2050,0.004004878
p99,2050,0.023388899
