*h2_stor_trans,t,parameter,value
h2_pipeline,2010,cost_cap,34045.277
h2_pipeline,2011,cost_cap,34045.277
h2_pipeline,2012,cost_cap,34045.277
h2_pipeline,2013,cost_cap,34045.277
h2_pipeline,2014,cost_cap,34045.277
h2_pipeline,2015,cost_cap,34045.277
h2_pipeline,2016,cost_cap,34045.277
h2_pipeline,2017,cost_cap,34045.277
h2_pipeline,2018,cost_cap,34045.277
h2_pipeline,2019,cost_cap,34045.277
h2_pipeline,2020,cost_cap,34045.277
h2_pipeline,2021,cost_cap,34045.277
h2_pipeline,2022,cost_cap,34045.277
h2_pipeline,2023,cost_cap,34045.277
h2_pipeline,2024,cost_cap,34045.277
h2_pipeline,2025,cost_cap,32343.01315
h2_pipeline,2026,cost_cap,31491.88123
h2_pipeline,2027,cost_cap,30640.7493
h2_pipeline,2028,cost_cap,29789.61738
h2_pipeline,2029,cost_cap,28938.48545
h2_pipeline,2030,cost_cap,28087.35353
h2_pipeline,2031,cost_cap,27236.2216
h2_pipeline,2032,cost_cap,26385.08968
h2_pipeline,2033,cost_cap,25533.95775
h2_pipeline,2034,cost_cap,24682.82583
h2_pipeline,2035,cost_cap,23831.6939
h2_pipeline,2036,cost_cap,22980.56198
h2_pipeline,2037,cost_cap,22129.43005
h2_pipeline,2038,cost_cap,21278.29813
h2_pipeline,2039,cost_cap,20427.1662
h2_pipeline,2040,cost_cap,19576.03428
h2_pipeline,2041,cost_cap,18724.90235
h2_pipeline,2042,cost_cap,17873.77043
h2_pipeline,2043,cost_cap,17022.6385
h2_pipeline,2044,cost_cap,16171.50658
h2_pipeline,2045,cost_cap,15320.37465
h2_pipeline,2046,cost_cap,14469.24273
h2_pipeline,2047,cost_cap,13618.1108
h2_pipeline,2048,cost_cap,12766.97888
h2_pipeline,2049,cost_cap,11915.84695
h2_pipeline,2050,cost_cap,11064.71503
h2_pipeline,2010,fom,962.705
h2_pipeline,2011,fom,962.705
h2_pipeline,2012,fom,962.705
h2_pipeline,2013,fom,962.705
h2_pipeline,2014,fom,962.705
h2_pipeline,2015,fom,962.705
h2_pipeline,2016,fom,962.705
h2_pipeline,2017,fom,962.705
h2_pipeline,2018,fom,962.705
h2_pipeline,2019,fom,962.705
h2_pipeline,2020,fom,962.705
h2_pipeline,2021,fom,962.705
h2_pipeline,2022,fom,962.705
h2_pipeline,2023,fom,962.705
h2_pipeline,2024,fom,962.705
h2_pipeline,2025,fom,914.56975
h2_pipeline,2026,fom,890.502125
h2_pipeline,2027,fom,866.4345
h2_pipeline,2028,fom,842.366875
h2_pipeline,2029,fom,818.29925
h2_pipeline,2030,fom,794.231625
h2_pipeline,2031,fom,770.164
h2_pipeline,2032,fom,746.096375
h2_pipeline,2033,fom,722.02875
h2_pipeline,2034,fom,697.961125
h2_pipeline,2035,fom,673.8935
h2_pipeline,2036,fom,649.825875
h2_pipeline,2037,fom,625.75825
h2_pipeline,2038,fom,601.690625
h2_pipeline,2039,fom,577.623
h2_pipeline,2040,fom,553.555375
h2_pipeline,2041,fom,529.48775
h2_pipeline,2042,fom,505.420125
h2_pipeline,2043,fom,481.3525
h2_pipeline,2044,fom,457.284875
h2_pipeline,2045,fom,433.21725
h2_pipeline,2046,fom,409.149625
h2_pipeline,2047,fom,385.082
h2_pipeline,2048,fom,361.014375
h2_pipeline,2049,fom,336.94675
h2_pipeline,2050,fom,312.879125
h2_pipeline,2010,electric_load,0
h2_pipeline,2011,electric_load,0
h2_pipeline,2012,electric_load,0
h2_pipeline,2013,electric_load,0
h2_pipeline,2014,electric_load,0
h2_pipeline,2015,electric_load,0
h2_pipeline,2016,electric_load,0
h2_pipeline,2017,electric_load,0
h2_pipeline,2018,electric_load,0
h2_pipeline,2019,electric_load,0
h2_pipeline,2020,electric_load,0
h2_pipeline,2021,electric_load,0
h2_pipeline,2022,electric_load,0
h2_pipeline,2023,electric_load,0
h2_pipeline,2024,electric_load,0
h2_pipeline,2025,electric_load,0
h2_pipeline,2026,electric_load,0
h2_pipeline,2027,electric_load,0
h2_pipeline,2028,electric_load,0
h2_pipeline,2029,electric_load,0
h2_pipeline,2030,electric_load,0
h2_pipeline,2031,electric_load,0
h2_pipeline,2032,electric_load,0
h2_pipeline,2033,electric_load,0
h2_pipeline,2034,electric_load,0
h2_pipeline,2035,electric_load,0
h2_pipeline,2036,electric_load,0
h2_pipeline,2037,electric_load,0
h2_pipeline,2038,electric_load,0
h2_pipeline,2039,electric_load,0
h2_pipeline,2040,electric_load,0
h2_pipeline,2041,electric_load,0
h2_pipeline,2042,electric_load,0
h2_pipeline,2043,electric_load,0
h2_pipeline,2044,electric_load,0
h2_pipeline,2045,electric_load,0
h2_pipeline,2046,electric_load,0
h2_pipeline,2047,electric_load,0
h2_pipeline,2048,electric_load,0
h2_pipeline,2049,electric_load,0
h2_pipeline,2050,electric_load,0
h2_compressor,2010,cost_cap,430954.364
h2_compressor,2011,cost_cap,430954.364
h2_compressor,2012,cost_cap,430954.364
h2_compressor,2013,cost_cap,430954.364
h2_compressor,2014,cost_cap,430954.364
h2_compressor,2015,cost_cap,430954.364
h2_compressor,2016,cost_cap,430954.364
h2_compressor,2017,cost_cap,430954.364
h2_compressor,2018,cost_cap,430954.364
h2_compressor,2019,cost_cap,430954.364
h2_compressor,2020,cost_cap,430954.364
h2_compressor,2021,cost_cap,430954.364
h2_compressor,2022,cost_cap,430954.364
h2_compressor,2023,cost_cap,430954.364
h2_compressor,2024,cost_cap,430954.364
h2_compressor,2025,cost_cap,409406.6458
h2_compressor,2026,cost_cap,398632.7867
h2_compressor,2027,cost_cap,387858.9276
h2_compressor,2028,cost_cap,377085.0685
h2_compressor,2029,cost_cap,366311.2094
h2_compressor,2030,cost_cap,355537.3503
h2_compressor,2031,cost_cap,344763.4912
