i,t,capcost,fom,vom,conversionrate
dac,2020,8151254,304912,46.69,0.2273
dac,2021,8151254,304912,46.69,0.2273
dac,2022,8151254,304912,46.69,0.2273
dac,2023,8151254,304912,46.69,0.2273
dac,2024,8151254,304912,46.69,0.2273
dac,2025,8151254,304912,46.69,0.2273
dac,2026,8151254,304912,46.69,0.2273
dac,2027,8151254,304912,46.69,0.2273
dac,2028,8151254,304912,46.69,0.2273
dac,2029,8151254,304912,46.69,0.2273
dac,2030,8151254,304912,46.69,0.2273
dac,2031,8151254,304912,46.69,0.2273
dac,2032,8151254,304912,46.69,0.2273
dac,2033,8151254,304912,46.69,0.2273
dac,2034,8151254,304912,46.69,0.2273
dac,2035,8151254,304912,46.69,0.2273
dac,2036,8015400,304404,46.62,0.2277
dac,2037,7879546,303896,46.54,0.228
dac,2038,7743692,303387,46.46,0.2284
dac,2039,7607837,302879,46.38,0.2288
dac,2040,7471983,302371,46.3,0.2292
dac,2041,7336129,301863,46.23,0.2296
dac,2042,7200275,301355,46.15,0.23
dac,2043,7064420,300847,46.07,0.2303
dac,2044,6928566,300338,45.99,0.2307
dac,2045,6792712,299830,45.91,0.2311
dac,2046,6656858,299322,45.84,0.2315
dac,2047,6521003,298814,45.76,0.2319
dac,2048,6385149,298306,45.68,0.2323
dac,2049,6249295,297797,45.6,0.2327
dac,2050,6113441,297289,45.53,0.2331
